Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.004542,8.053329,[24 55] ; [16 10],[30.0952381 48.9047619] ; [ 9.9047619 16.0952381],0
a6,1,0.01414,6.020625,[52 29] ; [11 18],[46.39090909 34.60909091] ; [16.60909091 12.39090909],0
p4,1,0.01414,6.020625,[52 29] ; [11 18],[46.39090909 34.60909091] ; [16.60909091 12.39090909],0
v1,1,0.014227,6.009747,[45 33] ; [ 9 20],[39.36448598 38.63551402] ; [14.63551402 14.36448598],0
n4,1,0.016282,5.772138,[59 22] ; [14 15],[53.75454545 27.24545455] ; [19.24545455  9.75454545],0
s1,1,0.024514,5.057913,[ 1 80] ; [ 3 26],[ 2.94545455 78.05454545] ; [ 1.05454545 27.94545455],0
v3,1,0.046731,3.955049,[30 48] ; [ 5 23],[25.75471698 52.24528302] ; [ 9.24528302 18.75471698],0
v2,1,0.048645,3.887559,[42 36] ; [ 9 19],[37.52830189 40.47169811] ; [13.47169811 14.52830189],0
p1,1,0.056132,3.648137,[ 3 78] ; [ 4 25],[ 5.15454545 75.84545455] ; [ 1.84545455 27.15454545],0
p5,1,0.059861,3.541234,[14 66] ; [ 1 28],[11.00917431 68.99082569] ; [ 3.99082569 25.00917431],0
s7,1,0.068091,3.32844,[34 43] ; [18 10],[38.13333333 38.86666667] ; [13.86666667 14.13333333],0
p9,1,0.071469,3.248966,[70 11] ; [20  8],[66.88073394 14.11926606] ; [23.11926606  4.88073394],0
u3,1,0.086909,2.93071,[11 17] ; [10  5],[13.6744186 14.3255814] ; [7.3255814 7.6744186],0
a3,1,0.133134,2.25557,[52 29] ; [14 15],[48.6 32.4] ; [17.4 11.6],0
s2,1,0.138976,2.189266,[46 35] ; [21  8],[49.33636364 31.66363636] ; [17.66363636 11.33636364],0
d3,1,0.153276,2.039346,[54 27] ; [15 14],[50.80909091 30.19090909] ; [18.19090909 10.80909091],0
p2,1,0.161398,1.961077,[66 15] ; [20  9],[63.32727273 17.67272727] ; [22.67272727  6.32727273],0
n6,1,0.23397,1.41656,[67 14] ; [21  8],[64.8 16.2] ; [23.2  5.8],0
p11,1,0.23397,1.41656,[67 14] ; [21  8],[64.8 16.2] ; [23.2  5.8],0
p10,1,0.239076,1.386036,[63 16] ; [20  9],[60.71296296 18.28703704] ; [22.28703704  6.71296296],0
s3,1,0.250771,1.319001,[46 35] ; [20  9],[48.6 32.4] ; [17.4 11.6],0
p12,1,0.278453,1.174626,[ 8 73] ; [ 1 28],[ 6.62727273 74.37272727] ; [ 2.37272727 26.62727273],0
d2,1,0.289084,1.123883,[30 51] ; [14 15],[32.4 48.6] ; [11.6 17.4],0
b5,1,0.326831,0.961415,[53 28] ; [16 13],[50.80909091 30.19090909] ; [18.19090909 10.80909091],0
b3,1,0.349824,0.874097,[12 38] ; [ 7 13],[13.57142857 36.42857143] ; [ 5.42857143 14.57142857],0
b2,1,0.349824,0.874097,[12 38] ; [ 7 13],[13.57142857 36.42857143] ; [ 5.42857143 14.57142857],0
r4,1,0.367116,0.813404,[55 26] ; [17 12],[53.01818182 27.98181818] ; [18.98181818 10.01818182],0
n2,1,0.382777,0.761765,[14  6] ; [14  3],[15.13513514  4.86486486] ; [12.86486486  4.13513514],0
b4,1,0.418148,0.655515,[49 32] ; [20  9],[50.80909091 30.19090909] ; [18.19090909 10.80909091],0
d4,1,0.420306,0.64946,[67 14] ; [22  7],[65.53636364 15.46363636] ; [23.46363636  5.53636364],0
