Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.009159,6.79159,[33 72] ; [5 1],[35.94594595 69.05405405] ; [2.05405405 3.94594595],0
s5,1,0.021685,5.270881,[ 7 96] ; [2 4],[ 8.50458716 94.49541284] ; [0.49541284 5.50458716],0
p8,1,0.035396,4.425949,[28 77] ; [4 2],[30.27027027 74.72972973] ; [1.72972973 4.27027027],0
v1,1,0.061734,3.490181,[24 80] ; [3 2],[25.76146789 78.23853211] ; [1.23853211 3.76146789],0
d1,1,0.088667,2.898412,[35 72] ; [4 2],[36.92920354 70.07079646] ; [2.07079646 3.92920354],0
s1,1,0.136828,2.213272,[  4 102] ; [1 5],[  4.73214286 101.26785714] ; [0.26785714 5.73214286],0
p7,1,0.143255,2.142647,[39 67] ; [4 2],[40.69642857 65.30357143] ; [2.30357143 3.69642857],0
p10,1,0.15764,1.996723,[56 48] ; [5 1],[57.67272727 46.32727273] ; [3.32727273 2.67272727],0
r4,1,0.175097,1.838758,[48 59] ; [1 5],[46.39823009 60.60176991] ; [2.60176991 3.39823009],0
d4,1,0.188707,1.727686,[60 47] ; [5 1],[61.54867257 45.45132743] ; [3.45132743 2.54867257],0
u2,1,0.253721,1.302699,[16 31] ; [2 1],[16.92 30.08] ; [1.08 1.92],0
p3,1,0.26403,1.247502,[30 75] ; [3 3],[31.21621622 73.78378378] ; [1.78378378 4.21621622],0
a5,1,0.276026,1.186553,[47 60] ; [4 2],[48.2920354 58.7079646] ; [2.7079646 3.2920354],0
d5,1,0.27858,1.174004,[65 41] ; [5 1],[66.25 39.75] ; [3.75 2.25],0
n5,1,0.304426,1.054703,[67 40] ; [5 1],[68.17699115 38.82300885] ; [3.82300885 2.17699115],0
p2,1,0.319277,0.991904,[61 45] ; [4 1],[62.07207207 43.92792793] ; [2.92792793 2.07207207],0
p9,1,0.372858,0.794118,[67 35] ; [5 1],[68. 34.] ; [4. 2.],0
b2,1,0.465552,0.532514,[28 34] ; [2 1],[28.61538462 33.38461538] ; [1.38461538 1.61538462],0
b3,1,0.465552,0.532514,[28 34] ; [2 1],[28.61538462 33.38461538] ; [1.38461538 1.61538462],0
b4,1,0.466364,0.530579,[55 52] ; [4 2],[55.86725664 51.13274336] ; [3.13274336 2.86725664],0
d2,1,0.527663,0.398891,[39 66] ; [3 3],[39.72972973 65.27027027] ; [2.27027027 3.72972973],0
a2,1,0.556082,0.346534,[10 97] ; [1 5],[10.4159292 96.5840708] ; [0.5840708 5.4159292],0
r2,1,0.602858,0.270707,[76 27] ; [5 1],[76.5412844 26.4587156] ; [4.4587156 1.5412844],0
n1,1,0.607717,0.263514,[12 25] ; [1 1],[12.33333333 24.66666667] ; [0.66666667 1.33333333],0
s3,1,0.611304,0.258281,[27 77] ; [1 5],[26.47272727 77.52727273] ; [1.52727273 4.47272727],0
n2,1,0.627834,0.235009,[26 13] ; [1 1],[25.68292683 13.31707317] ; [1.31707317 0.68292683],0
n3,1,0.627834,0.235009,[26 13] ; [1 1],[25.68292683 13.31707317] ; [1.31707317 0.68292683],0
d3,1,0.731231,0.117985,[45 60] ; [3 3],[45.40540541 59.59459459] ; [2.59459459 3.40540541],0
n6,1,0.734806,0.114744,[72 35] ; [3 2],[71.65178571 35.34821429] ; [3.34821429 1.65178571],0
v4,1,0.73925,0.110787,[78 29] ; [4 2],[77.6460177 29.3539823] ; [4.3539823 1.6460177],0
a3,1,0.751076,0.100629,[60 46] ; [3 3],[59.625 46.375] ; [3.375 2.625],0
v2,1,0.761557,0.092074,[29 76] ; [2 4],[29.32432432 75.67567568] ; [1.67567568 4.32432432],0
n4,1,0.772323,0.083716,[65 42] ; [4 2],[65.33628319 41.66371681] ; [3.66371681 2.33628319],0
b5,1,0.772323,0.083716,[65 42] ; [4 2],[65.33628319 41.66371681] ; [3.66371681 2.33628319],0
p1,1,0.801292,0.063341,[14 93] ; [1 5],[14.20353982 92.79646018] ; [0.79646018 5.20353982],0
a6,1,0.80552,0.060619,[59 48] ; [3 3],[58.7079646 48.2920354] ; [3.2920354 2.7079646],0
r3,1,0.830789,0.045663,[75 31] ; [4 2],[74.76785714 31.23214286] ; [4.23214286 1.76785714],0
b1,1,0.875848,0.024409,[50 57] ; [3 3],[50.18584071 56.81415929] ; [2.81415929 3.18584071],0
a7,1,0.892549,0.018246,[56 50] ; [3 3],[55.83928571 50.16071429] ; [3.16071429 2.83928571],0
p6,1,0.893865,0.0178,[23 79] ; [1 4],[22.87850467 79.12149533] ; [1.12149533 3.87850467],0
s7,1,0.89581,0.017149,[19 82] ; [1 5],[18.87850467 82.12149533] ; [1.12149533 4.87850467],0
v3,1,0.90125,0.015397,[20 87] ; [1 5],[19.88495575 87.11504425] ; [1.11504425 4.88495575],0
a4,1,0.909896,0.012807,[33 73] ; [2 4],[33.125 72.875] ; [1.875 4.125],0
s2,1,0.992079,9.9e-05,[18 89] ; [1 5],[17.99115044 89.00884956] ; [1.00884956 4.99115044],0
