Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,162.52209,[397 146] ; [ 7 96],[339.58513932 203.41486068] ; [64.41486068 38.58513932],1
d3,1,0.0,128.612496,[467  76] ; [36 66],[423.45581395 119.54418605] ; [79.54418605 22.45581395],1
d5,1,0.0,72.252289,[481  62] ; [56 47],[451.37925697  91.62074303] ; [85.62074303 17.37925697],1
d2,1,0.0,32.374681,[292 250] ; [24 79],[265.5379845 276.4620155] ; [50.4620155 52.5379845],1
u1,1,0.0,31.237491,[140 403] ; [  1 102],[118.51857585 424.48142415] ; [22.48142415 80.51857585],1
a4,1,3e-06,22.015188,[264 278] ; [24 78],[242.38509317 299.61490683] ; [45.61490683 56.38509317],1
a2,1,7e-06,20.156326,[177 366] ; [11 92],[158.0247678 384.9752322] ; [29.9752322 73.0247678],1
a3,1,0.000605,11.760896,[403 138] ; [59 43],[388.71228616 152.28771384] ; [73.28771384 28.71228616],1
p1,1,0.001506,10.071076,[ 42 497] ; [18 83],[ 50.53125 488.46875] ; [ 9.46875 91.53125],0
a5,1,0.002053,9.50139,[416 127] ; [64 39],[403.46749226 139.53250774] ; [76.53250774 26.46749226],0
u2,1,0.002118,9.444179,[86 51] ; [16 28],[77.20441989 59.79558011] ; [24.79558011 19.20441989],0
a6,1,0.005232,7.797594,[431 111] ; [69 34],[420.15503876 121.84496124] ; [79.84496124 23.15503876],0
r1,1,0.008143,7.001667,[463  77] ; [76 25],[454.07176287  85.92823713] ; [84.92823713 16.07176287],0
r3,1,0.008309,6.96567,[523  17] ; [94  9],[518.16485226  21.83514774] ; [98.83514774  4.16485226],0
s2,1,0.010619,6.527952,[290 248] ; [40 60],[278.27586207 259.72413793] ; [51.72413793 48.27586207],0
b2,1,0.018876,5.512928,[119 199] ; [13 47],[111.04761905 206.95238095] ; [20.95238095 39.04761905],0
b3,1,0.018876,5.512928,[119 199] ; [13 47],[111.04761905 206.95238095] ; [20.95238095 39.04761905],0
b4,1,0.018906,5.510222,[336 207] ; [51 52],[325.29566563 217.70433437] ; [61.70433437 41.29566563],0
v4,1,0.025875,4.96432,[527  14] ; [95  7],[523.33125972  17.66874028] ; [98.66874028  3.33125972],0
n3,1,0.034644,4.46263,[80 36] ; [20  2],[84.05797101 31.94202899] ; [15.94202899  6.05797101],0
p11,1,0.049149,3.870259,[423 120] ; [71 32],[415.23529412 127.76470588] ; [78.76470588 24.23529412],0
s6,1,0.049933,3.843693,[366 167] ; [58 41],[357.58227848 175.41772152] ; [66.41772152 32.58227848],0
s8,1,0.063386,3.446495,[235 304] ; [34 67],[226.5484375 312.4515625] ; [42.4515625 58.5484375],0
a8,1,0.113341,2.507002,[ 70 413] ; [ 8 87],[ 65.1799308 417.8200692] ; [12.8200692 82.1799308],0
v2,1,0.113495,2.504869,[310 210] ; [50 48],[302.91262136 217.08737864] ; [57.08737864 40.91262136],0
n2,1,0.128112,2.315236,[82 34] ; [19  3],[84.89855072 31.10144928] ; [16.10144928  5.89855072],0
s7,1,0.14184,2.157884,[252 266] ; [38 56],[245.45751634 272.54248366] ; [44.54248366 49.45751634],0
p4,1,0.146218,2.111268,[332 207] ; [55 47],[325.41809672 213.58190328] ; [61.58190328 40.41809672],0
p2,1,0.15664,2.006364,[459  82] ; [80 21],[454.20404984  86.79595016] ; [84.79595016 16.20404984],0
p6,1,0.172884,1.857758,[199 337] ; [30 70],[192.99371069 343.00628931] ; [36.00628931 63.99371069],0
s5,1,0.174964,1.839892,[173 348] ; [26 73],[167.22419355 353.77580645] ; [31.77580645 67.22419355],0
u3,1,0.202592,1.623588,[90 48] ; [24 20],[86.43956044 51.56043956] ; [27.56043956 16.43956044],0
p12,1,0.242858,1.363927,[ 45 494] ; [ 5 96],[ 42.109375 496.890625] ; [ 7.890625 93.109375],0
s3,1,0.25116,1.316838,[303 231] ; [50 49],[297.79146919 236.20853081] ; [55.20853081 43.79146919],0
r4,1,0.277625,1.178682,[511  32] ; [94  9],[508.5371517  34.4628483] ; [96.4628483  6.5371517],0
s1,1,0.304145,1.055932,[ 16 518] ; [ 5 95],[ 17.68769716 516.31230284] ; [ 3.31230284 96.68769716],0
u4,1,0.363102,0.827135,[ 13 530] ; [  1 102],[ 11.76780186 531.23219814] ; [  2.23219814 100.76780186],0
n4,1,0.40694,0.687723,[414 128] ; [74 28],[410.70807453 131.29192547] ; [77.29192547 24.70807453],0
a1,1,0.43959,0.597353,[ 25 518] ; [  3 100],[ 23.53560372 519.46439628] ; [ 4.46439628 98.53560372],0
n5,1,0.570515,0.321822,[393 147] ; [77 25],[395.3271028 144.6728972] ; [74.6728972 27.3271028],0
p10,1,0.57622,0.312385,[441  97] ; [78 20],[439.02830189  98.97169811] ; [79.97169811 18.02830189],0
v3,1,0.584228,0.299449,[210 308] ; [38 63],[207.53473344 310.46526656] ; [40.46526656 60.53473344],0
b5,1,0.631624,0.229865,[356 187] ; [65 38],[353.874613 189.125387] ; [67.125387 35.874613],0
p8,1,0.632147,0.22916,[287 248] ; [50 48],[284.82622433 250.17377567] ; [52.17377567 45.82622433],0
v1,1,0.678473,0.17185,[287 242] ; [52 48],[285.10492846 243.89507154] ; [53.89507154 46.10492846],0
p9,1,0.68321,0.166535,[451  83] ; [82 17],[449.63981043  84.36018957] ; [83.36018957 15.63981043],0
s4,1,0.704339,0.143997,[ 87 447] ; [18 83],[ 88.2992126 445.7007874] ; [16.7007874 84.2992126],0
p5,1,0.739287,0.110755,[ 60 479] ; [10 90],[ 59.04538341 479.95461659] ; [10.95461659 89.04538341],0
n6,1,0.851702,0.034949,[454  85] ; [86 17],[453.36448598  85.63551402] ; [86.63551402 16.36448598],0
n1,1,0.904284,0.01446,[43 71] ; [ 8 14],[42.75 71.25] ; [ 8.25 13.75],0
b1,1,0.936735,0.0063,[192 351] ; [36 67],[191.64705882 351.35294118] ; [36.35294118 66.64705882],0
p3,1,0.9543,0.003284,[270 272] ; [50 51],[269.73561431 272.26438569] ; [50.26438569 50.73561431],0
p7,1,0.983161,0.000445,[328 198] ; [61 37],[327.90705128 198.09294872] ; [61.09294872 36.90705128],0
