Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,25.992527,[46 16] ; [52 94],[29.21153846 32.78846154] ; [68.78846154 77.21153846],1
p3,1,6e-06,20.360471,[39 24] ; [ 42 104],[24.41626794 38.58373206] ; [56.58373206 89.41626794],1
s7,1,6e-06,20.346939,[40 18] ; [46 90],[25.71134021 32.28865979] ; [60.28865979 75.71134021],1
p4,1,0.000284,13.174657,[40 23] ; [53 93],[28.03349282 34.96650718] ; [64.96650718 81.03349282],1
p9,1,0.001404,10.200422,[50 13] ; [79 62],[39.83823529 23.16176471] ; [89.16176471 51.83823529],0
p10,1,0.001768,9.77632,[45 18] ; [68 74],[34.72682927 28.27317073] ; [78.27317073 63.72682927],0
p8,1,0.002006,9.544325,[30 33] ; [ 38 109],[20.4 42.6] ; [47.6 99.4],0
u1,1,0.002442,9.183673,[18 45] ; [ 17 130],[10.5 52.5] ; [ 24.5 122.5],0
s8,1,0.005731,7.633059,[31 31] ; [ 44 103],[22.24880383 39.75119617] ; [52.75119617 94.24880383],0
s2,1,0.006123,7.513837,[40 23] ; [63 84],[30.9 32.1] ; [72.1 74.9],0
d2,1,0.008672,6.889243,[42 21] ; [68 77],[33.31730769 29.68269231] ; [76.68269231 68.31730769],0
p2,1,0.008841,6.854674,[49 14] ; [86 60],[40.6937799 22.3062201] ; [94.3062201 51.6937799],0
r3,1,0.010835,6.492159,[59  3] ; [120  27],[53.10047847  8.89952153] ; [125.89952153  21.10047847],0
v2,1,0.013215,6.14005,[37 26] ; [56 84],[28.86206897 34.13793103] ; [64.13793103 75.86206897],0
n6,1,0.015869,5.817282,[50 12] ; [93 53],[42.625 19.375] ; [100.375  45.625],0
s5,1,0.018123,5.584235,[26 31] ; [ 40 102],[18.90452261 38.09547739] ; [47.09547739 94.90452261],0
n4,1,0.022125,5.235915,[47 16] ; [84 61],[39.67788462 23.32211538] ; [91.32211538 53.67788462],0
d1,1,0.025508,4.989067,[41 22] ; [71 76],[33.6 29.4] ; [78.4 68.6],0
r4,1,0.027299,4.871795,[57  6] ; [114  33],[51.3 11.7] ; [119.7  27.3],0
u4,1,0.047374,3.932039,[ 3 60] ; [  1 146],[ 1.2 61.8] ; [  2.8 144.2],0
a4,1,0.047757,3.918516,[35 28] ; [59 86],[28.47115385 34.52884615] ; [65.52884615 79.47115385],0
d3,1,0.069727,3.289432,[46 15] ; [91 55],[40.37198068 20.62801932] ; [96.62801932 49.37198068],0
b2,1,0.071754,3.242431,[14 19] ; [18 54],[10.05714286 22.94285714] ; [21.94285714 50.05714286],0
b3,1,0.071754,3.242431,[14 19] ; [18 54],[10.05714286 22.94285714] ; [21.94285714 50.05714286],0
a2,1,0.0771,3.125,[20 43] ; [ 30 117],[15. 48.] ; [ 35. 112.],0
r1,1,0.080161,3.06163,[52 11] ; [103  42],[46.94711538 16.05288462] ; [108.05288462  36.94711538],0
n5,1,0.083125,3.002711,[44 18] ; [85 61],[38.45192308 23.54807692] ; [90.54807692 55.45192308],0
u2,1,0.095439,2.780146,[11  7] ; [20 32],[ 7.97142857 10.02857143] ; [23.02857143 28.97142857],0
n3,1,0.10194,2.674922,[15  3] ; [37 22],[12.15584416  5.84415584] ; [39.84415584 19.15584416],0
s6,1,0.114587,2.489786,[43 17] ; [87 58],[38.04878049 21.95121951] ; [91.95121951 53.04878049],0
p5,1,0.147765,2.095171,[ 7 56] ; [  8 138],[ 4.5215311 58.4784689] ; [ 10.4784689 135.5215311],0
a5,1,0.17107,1.873543,[46 17] ; [93 54],[41.7 21.3] ; [97.3 49.7],0
b5,1,0.200128,1.641441,[44 19] ; [89 58],[39.9 23.1] ; [93.1 53.9],0
a3,1,0.203319,1.618372,[45 17] ; [92 53],[41.03381643 20.96618357] ; [95.96618357 49.03381643],0
v1,1,0.20905,1.577996,[32 31] ; [60 85],[27.86538462 35.13461538] ; [64.13461538 80.86538462],0
a6,1,0.251081,1.317278,[42 21] ; [85 61],[38.28229665 24.71770335] ; [88.71770335 57.28229665],0
p1,1,0.287312,1.132173,[ 8 54] ; [ 12 135],[ 5.93301435 56.06698565] ; [ 14.06698565 132.93301435],0
a8,1,0.293269,1.104552,[ 7 47] ; [ 11 126],[ 5.08900524 48.91099476] ; [ 12.91099476 124.08900524],0
n1,1,0.298757,1.079734,[10  8] ; [25 35],[8.07692308 9.92307692] ; [26.92307692 33.07692308],0
a7,1,0.348796,0.877832,[47 15] ; [102  45],[44.20095694 17.79904306] ; [104.79904306  42.20095694],0
u3,1,0.37641,0.782393,[11  7] ; [26 27],[9.38028169 8.61971831] ; [27.61971831 25.38028169],0
s3,1,0.39088,0.736204,[36 27] ; [74 72],[33.15789474 29.84210526] ; [76.84210526 69.15789474],0
s4,1,0.505394,0.443593,[15 48] ; [ 29 118],[13.2 49.8] ; [ 30.8 116.2],0
d4,1,0.512625,0.428706,[50 13] ; [109  36],[48.15865385 14.84134615] ; [110.84134615  34.15865385],0
a1,1,0.57385,0.316283,[ 3 60] ; [ 10 137],[ 3.9 59.1] ; [  9.1 137.9],0
p12,1,0.626866,0.236335,[ 2 61] ; [  3 143],[ 1.50717703 61.49282297] ; [  3.49282297 142.50717703],0
s1,1,0.647328,0.209286,[ 5 58] ; [  9 136],[ 4.24038462 58.75961538] ; [  9.75961538 135.24038462],0
