Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,38.190781,[80 29] ; [ 1 22],[66.88636364 42.11363636] ; [14.11363636  8.88636364],1
r3,1,0.000448,12.321618,[83 26] ; [ 9 14],[75.96969697 33.03030303] ; [16.03030303  6.96969697],1
r1,1,0.000641,11.653247,[74 34] ; [ 7 16],[66.77862595 41.22137405] ; [14.22137405  8.77862595],1
v4,1,0.000654,11.615585,[91 17] ; [12 11],[84.91603053 23.08396947] ; [18.08396947  4.91603053],1
a5,1,0.002822,8.919346,[70 39] ; [ 7 16],[63.58333333 45.41666667] ; [13.41666667  9.58333333],0
d2,1,0.005389,7.743951,[53 55] ; [ 4 19],[46.99236641 61.00763359] ; [10.00763359 12.99236641],0
a3,1,0.00943,6.739521,[70 36] ; [ 8 14],[64.59375 41.40625] ; [13.40625  8.59375],0
s6,1,0.014595,5.964667,[43 65] ; [ 3 20],[37.92366412 70.07633588] ; [ 8.07633588 14.92366412],0
d1,1,0.01481,5.938958,[54 55] ; [ 5 18],[48.71969697 60.28030303] ; [10.28030303 12.71969697],0
b1,1,0.022222,5.228302,[52 57] ; [17  6],[56.97727273 52.02272727] ; [12.02272727 10.97727273],0
a6,1,0.023659,5.119469,[66 43] ; [ 8 15],[61.10606061 47.89393939] ; [12.89393939 10.10606061],0
d3,1,0.025949,4.959382,[65 43] ; [ 8 15],[60.18320611 47.81679389] ; [12.81679389 10.18320611],0
v1,1,0.026081,4.950637,[40 68] ; [ 3 20],[35.45038168 72.54961832] ; [ 7.54961832 15.45038168],0
p10,1,0.027391,4.865993,[46 60] ; [ 4 18],[41.40625 64.59375] ; [ 8.59375 13.40625],0
p8,1,0.030739,4.667457,[34 73] ; [ 2 20],[29.86046512 77.13953488] ; [ 6.13953488 15.86046512],0
v3,1,0.034804,4.454762,[31 72] ; [ 2 21],[26.97619048 76.02380952] ; [ 6.02380952 16.97619048],0
n6,1,0.039815,4.225745,[68 41] ; [ 9 14],[63.58333333 45.41666667] ; [13.41666667  9.58333333],0
p7,1,0.040646,4.19073,[48 59] ; [ 5 18],[43.62307692 63.37692308] ; [ 9.37692308 13.62307692],0
p6,1,0.072453,3.226547,[23 84] ; [ 1 20],[20.0625 86.9375] ; [ 3.9375 17.0625],0
a8,1,0.074769,3.175089,[ 7 95] ; [ 4 17],[ 9.12195122 92.87804878] ; [ 1.87804878 19.12195122],0
a7,1,0.082818,3.008718,[73 36] ; [11 12],[69.36363636 39.63636364] ; [14.63636364  8.36363636],0
s5,1,0.087292,2.92361,[20 86] ; [ 1 22],[17.25581395 88.74418605] ; [ 3.74418605 19.25581395],0
p9,1,0.092771,2.825629,[51 54] ; [ 6 15],[47.5 57.5] ; [ 9.5 11.5],0
v2,1,0.097864,2.740017,[39 68] ; [ 4 18],[35.66666667 71.33333333] ; [ 7.33333333 14.66666667],0
