Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.003907,8.326513,[ 7 15] ; [21  8],[12.07843137  9.92156863] ; [15.92156863 13.07843137],0
s8,1,0.010496,6.548686,[ 2 20] ; [12 17],[ 6.03921569 15.96078431] ; [ 7.96078431 21.03921569],0
p9,1,0.024285,5.074142,[10 11] ; [22  6],[13.71428571  7.28571429] ; [18.28571429  9.71428571],0
v2,1,0.025865,4.96505,[ 6 16] ; [17 12],[ 9.92156863 12.07843137] ; [13.07843137 15.92156863],0
r3,1,0.028522,4.796238,[12 10] ; [24  5],[15.52941176  6.47058824] ; [20.47058824  8.52941176],0
s6,1,0.03233,4.580899,[ 7 15] ; [18 11],[10.78431373 11.21568627] ; [14.21568627 14.78431373],0
p11,1,0.055607,3.663793,[11 11] ; [22  7],[14.23529412  7.76470588] ; [18.76470588 10.23529412],0
a6,1,0.057531,3.607171,[15  7] ; [12 17],[11.64705882 10.35294118] ; [15.35294118 13.64705882],0
d3,1,0.061622,3.493181,[17  5] ; [15 14],[13.80392157  8.19607843] ; [18.19607843 10.80392157],0
p10,1,0.067532,3.342014,[11 11] ; [21  7],[14.08  7.92] ; [17.92 10.08],0
b1,1,0.096907,2.755727,[15  7] ; [13 16],[12.07843137  9.92156863] ; [15.92156863 13.07843137],0
d5,1,0.116526,2.463401,[13  9] ; [23  6],[15.52941176  6.47058824] ; [20.47058824  8.52941176],0
n6,1,0.121245,2.401164,[11 11] ; [20  8],[13.64  8.36] ; [17.36 10.64],0
v3,1,0.12527,2.350157,[ 4 18] ; [11 18],[ 6.47058824 15.52941176] ; [ 8.52941176 20.47058824],0
a2,1,0.180141,1.796463,[ 3 19] ; [ 1 28],[ 1.7254902 20.2745098] ; [ 2.2745098 26.7254902],0
p2,1,0.186011,1.748931,[12 10] ; [21  8],[14.23529412  7.76470588] ; [18.76470588 10.23529412],0
r4,1,0.196377,1.669116,[ 4 18] ; [10 19],[ 6.03921569 15.96078431] ; [ 7.96078431 21.03921569],0
n1,1,0.21289,1.551667,[1 9] ; [3 6],[2.10526316 7.89473684] ; [1.89473684 7.10526316],0
a8,1,0.240284,1.378929,[ 1 20] ; [ 4 22],[ 2.23404255 18.76595745] ; [ 2.76595745 23.23404255],0
n3,1,0.245084,1.351111,[4 6] ; [6 3],[5.26315789 4.73684211] ; [4.73684211 4.26315789],0
p5,1,0.2593,1.27249,[ 2 20] ; [ 6 23],[ 3.45098039 18.54901961] ; [ 4.54901961 24.45098039],0
s4,1,0.2593,1.27249,[ 2 20] ; [ 6 23],[ 3.45098039 18.54901961] ; [ 4.54901961 24.45098039],0
a7,1,0.274905,1.192108,[14  8] ; [14 15],[12.07843137  9.92156863] ; [15.92156863 13.07843137],0
s3,1,0.279683,1.168631,[ 5 17] ; [10 17],[ 6.73469388 15.26530612] ; [ 8.26530612 18.73469388],0
p3,1,0.290733,1.116222,[ 5 16] ; [11 18],[ 6.72 14.28] ; [ 9.28 19.72],0
d2,1,0.296459,1.090054,[ 6 16] ; [12 17],[ 7.76470588 14.23529412] ; [10.23529412 18.76470588],0
b2,1,0.313616,1.015385,[ 3 10] ; [ 8 12],[4.33333333 8.66666667] ; [ 6.66666667 13.33333333],0
b3,1,0.313616,1.015385,[ 3 10] ; [ 8 12],[4.33333333 8.66666667] ; [ 6.66666667 13.33333333],0
a4,1,0.342614,0.900627,[ 8 14] ; [ 7 22],[ 6.47058824 15.52941176] ; [ 8.52941176 20.47058824],0
v4,1,0.345964,0.888207,[15  7] ; [16 13],[13.37254902  8.62745098] ; [17.62745098 11.37254902],0
s2,1,0.373405,0.7923,[ 6 16] ; [11 17],[ 7.48 14.52] ; [ 9.52 18.48],0
s7,1,0.39329,0.728745,[ 5 14] ; [10 16],[ 6.33333333 12.66666667] ; [ 8.66666667 17.33333333],0
b4,1,0.42671,0.631763,[12 10] ; [19 10],[13.37254902  8.62745098] ; [17.62745098 11.37254902],0
s5,1,0.432948,0.614902,[ 4 18] ; [ 8 21],[ 5.17647059 16.82352941] ; [ 6.82352941 22.17647059],0
p4,1,0.540031,0.375482,[11 11] ; [17 12],[12.07843137  9.92156863] ; [15.92156863 13.07843137],0
a5,1,0.540031,0.375482,[11 11] ; [17 12],[12.07843137  9.92156863] ; [15.92156863 13.07843137],0
u3,1,0.552248,0.353306,[4 4] ; [4 7],[3.36842105 4.63157895] ; [4.63157895 6.36842105],0
b5,1,0.600532,0.274195,[13  9] ; [15 14],[12.07843137  9.92156863] ; [15.92156863 13.07843137],0
r1,1,0.716341,0.132025,[ 8 14] ; [12 17],[ 8.62745098 13.37254902] ; [11.37254902 17.62745098],0
s1,1,0.723777,0.124902,[ 1 21] ; [ 2 27],[ 1.29411765 20.70588235] ; [ 1.70588235 27.29411765],0
v1,1,0.82919,0.046544,[ 9 13] ; [11 18],[ 8.62745098 13.37254902] ; [11.37254902 17.62745098],0
p7,1,0.841542,0.039969,[10 12] ; [14 15],[10.35294118 11.64705882] ; [13.64705882 15.35294118],0
u1,1,0.841542,0.039969,[ 1 21] ; [ 1 28],[ 0.8627451 21.1372549] ; [ 1.1372549 27.8627451],0
n2,1,0.844674,0.038384,[6 4] ; [5 4],[5.78947368 4.21052632] ; [5.21052632 3.78947368],0
a1,1,0.881441,0.022243,[ 2 20] ; [ 3 26],[ 2.15686275 19.84313725] ; [ 2.84313725 26.15686275],0
p1,1,0.881441,0.022243,[ 2 20] ; [ 3 26],[ 2.15686275 19.84313725] ; [ 2.84313725 26.15686275],0
p12,1,0.881441,0.022243,[ 2 20] ; [ 3 26],[ 2.15686275 19.84313725] ; [ 2.84313725 26.15686275],0
p6,1,0.886079,0.020525,[ 4 17] ; [ 6 23],[ 4.2 16.8] ; [ 5.8 23.2],0
a3,1,0.908712,0.013148,[14  8] ; [18 11],[13.80392157  8.19607843] ; [18.19607843 10.80392157],0
p8,1,0.908712,0.013148,[ 8 14] ; [11 18],[ 8.19607843 13.80392157] ; [10.80392157 18.19607843],0
u2,1,0.959566,0.00257,[5 3] ; [7 4],[5.05263158 2.94736842] ; [6.94736842 4.05263158],0
d1,1,0.973042,0.001142,[ 9 13] ; [12 17],[ 9.05882353 12.94117647] ; [11.94117647 17.05882353],0
