Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3.5e-05,17.114805,[2 8] ; [54 12],[7.36842105 2.63157895] ; [48.63157895 17.36842105],1
r1,1,0.000421,12.436364,[3 7] ; [54 12],[7.5 2.5] ; [49.5 16.5],1
b4,1,0.016101,5.791766,[2 8] ; [40 26],[5.52631579 4.47368421] ; [36.47368421 29.52631579],0
b1,1,0.027342,4.869077,[9 1] ; [35 31],[5.78947368 4.21052632] ; [38.21052632 27.78947368],0
n4,1,0.033497,4.520196,[2 8] ; [37 29],[5.13157895 4.86842105] ; [33.86842105 32.13157895],0
d1,1,0.062883,3.459663,[2 8] ; [34 32],[4.73684211 5.26315789] ; [31.26315789 34.73684211],0
a1,1,0.066203,3.37475,[2 8] ; [ 3 63],[0.65789474 9.34210526] ; [ 4.34210526 61.65789474],0
s2,1,0.100518,2.697303,[2 8] ; [31 34],[4.4 5.6] ; [28.6 36.4],0
n5,1,0.100518,2.697303,[2 8] ; [31 34],[4.4 5.6] ; [28.6 36.4],0
b5,1,0.154152,2.030672,[4 6] ; [42 24],[6.05263158 3.94736842] ; [39.94736842 26.05263158],0
n3,1,0.189927,1.718182,[3 3] ; [17  5],[4.28571429 1.71428571] ; [15.71428571  6.28571429],0
d5,1,0.192819,1.695948,[6 4] ; [52 14],[7.63157895 2.36842105] ; [50.36842105 15.63157895],0
r3,1,0.194567,1.682692,[7 3] ; [56  9],[8.4 1.6] ; [54.6 10.4],0
p3,1,0.219045,1.510616,[2 7] ; [28 36],[3.69863014 5.30136986] ; [26.30136986 37.69863014],0
b3,1,0.234333,1.414364,[1 5] ; [16 22],[2.31818182 3.68181818] ; [14.68181818 23.31818182],0
b2,1,0.234333,1.414364,[1 5] ; [16 22],[2.31818182 3.68181818] ; [14.68181818 23.31818182],0
s8,1,0.236096,1.403752,[2 8] ; [26 40],[3.68421053 6.31578947] ; [24.31578947 41.68421053],0
v3,1,0.277247,1.180533,[2 8] ; [23 38],[3.52112676 6.47887324] ; [21.47887324 39.52112676],0
a5,1,0.30478,1.053162,[5 5] ; [44 22],[6.44736842 3.55263158] ; [42.55263158 23.44736842],0
p2,1,0.320558,0.986667,[6 4] ; [48 16],[7.2972973 2.7027027] ; [46.7027027 17.2972973],0
p9,1,0.336104,0.925235,[6 4] ; [47 16],[7.26027397 2.73972603] ; [45.73972603 17.26027397],0
p7,1,0.383087,0.760771,[6 4] ; [28 34],[4.72222222 5.27777778] ; [29.27777778 32.72222222],0
v4,1,0.403019,0.699301,[8 2] ; [58  7],[8.8 1.2] ; [57.2  7.8],0
d3,1,0.408103,0.684319,[5 5] ; [42 24],[6.18421053 3.81578947] ; [40.81578947 25.18421053],0
a2,1,0.461032,0.543388,[1 9] ; [13 53],[1.84210526 8.15789474] ; [12.15789474 53.84210526],0
n1,1,0.468084,0.526496,[2 4] ; [11 11],[2.78571429 3.21428571] ; [10.21428571 11.78571429],0
s1,1,0.498938,0.457195,[1 9] ; [ 3 60],[0.54794521 9.45205479] ; [ 3.45205479 59.54794521],0
p12,1,0.508481,0.437192,[1 9] ; [ 3 59],[0.55555556 9.44444444] ; [ 3.44444444 58.55555556],0
d2,1,0.510731,0.432569,[3 7] ; [27 39],[3.94736842 6.05263158] ; [26.05263158 39.94736842],0
p4,1,0.512375,0.429214,[5 5] ; [25 39],[4.05405405 5.94594595] ; [25.94594595 38.05405405],0
a7,1,0.524787,0.404475,[5 5] ; [40 26],[5.92105263 4.07894737] ; [39.07894737 26.92105263],0
s7,1,0.525161,0.403746,[5 5] ; [24 37],[4.08450704 5.91549296] ; [24.91549296 36.08450704],0
s3,1,0.556273,0.346199,[4 6] ; [32 32],[4.86486486 5.13513514] ; [31.13513514 32.86486486],0
s4,1,0.59403,0.284094,[2 8] ; [ 9 57],[1.44736842 8.55263158] ; [ 9.55263158 56.44736842],0
n2,1,0.594853,0.282828,[4 2] ; [17  5],[4.5 1.5] ; [16.5  5.5],0
v2,1,0.632697,0.228421,[5 5] ; [36 26],[5.69444444 4.30555556] ; [35.30555556 26.69444444],0
s6,1,0.681376,0.168581,[5 5] ; [37 28],[5.6 4.4] ; [36.4 28.6],0
p6,1,0.701928,0.146474,[2 7] ; [17 43],[2.47826087 6.52173913] ; [16.52173913 43.47826087],0
a6,1,0.814817,0.054857,[6 4] ; [37 29],[5.65789474 4.34210526] ; [37.34210526 28.65789474],0
p8,1,0.831719,0.045155,[4 6] ; [23 40],[3.69863014 6.30136986] ; [23.30136986 39.69863014],0
p1,1,0.846594,0.037429,[1 9] ; [ 8 58],[1.18421053 8.81578947] ; [ 7.81578947 58.18421053],0
a3,1,0.857366,0.032302,[7 3] ; [48 18],[7.23684211 2.76315789] ; [47.76315789 18.23684211],0
s5,1,0.926135,0.008595,[3 7] ; [18 45],[2.87671233 7.12328767] ; [18.12328767 44.87671233],0
d4,1,0.930181,0.007677,[8 2] ; [52 14],[7.89473684 2.10526316] ; [52.10526316 13.89473684],0
p10,1,0.93809,0.006033,[6 4] ; [38 24],[6.11111111 3.88888889] ; [37.88888889 24.11111111],0
a4,1,0.970853,0.001335,[4 6] ; [26 40],[3.94736842 6.05263158] ; [26.05263158 39.94736842],0
p11,1,0.970853,0.001335,[6 4] ; [40 26],[6.05263158 3.94736842] ; [39.94736842 26.05263158],0
