Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,34.132799,[11 10] ; [204  15],[18.8125  2.1875] ; [196.1875  22.8125],1
v4,1,0.0,30.281143,[15  6] ; [214   5],[20.0375  0.9625] ; [208.9625  10.0375],1
r3,1,2.5e-05,17.746715,[15  6] ; [209  10],[19.6  1.4] ; [204.4  14.6],1
n6,1,0.000404,12.512326,[12  9] ; [189  29],[17.66108787  3.33891213] ; [183.33891213  34.66108787],1
d5,1,0.002473,9.160601,[12  9] ; [183  35],[17.13389121  3.86610879] ; [177.86610879  40.13389121],0
s1,1,0.00341,8.574212,[ 2 19] ; [  2 215],[ 0.35294118 20.64705882] ; [  3.64705882 213.35294118],0
r1,1,0.004089,8.243961,[11 10] ; [174  44],[16.25523013  4.74476987] ; [168.74476987  49.25523013],0
d1,1,0.007437,7.16429,[ 6 15] ; [129  90],[11.8125  9.1875] ; [123.1875  95.8125],0
a3,1,0.029897,4.715179,[10 11] ; [154  64],[14.41004184  6.58995816] ; [149.58995816  68.41004184],0
p3,1,0.041452,4.157458,[ 8 13] ; [133  85],[12.38912134  8.61087866] ; [128.61087866  89.38912134],0
a2,1,0.049012,3.874948,[ 1 20] ; [ 51 168],[ 4.55 16.45] ; [ 47.45 171.55],0
a6,1,0.052576,3.757339,[10 11] ; [150  69],[14.  7.] ; [146.  73.],0
b1,1,0.057301,3.61383,[12  9] ; [ 79 140],[ 7.9625 13.0375] ; [ 83.0375 135.9625],0
n4,1,0.07019,3.278574,[12  9] ; [165  54],[15.4875  5.5125] ; [161.5125  57.4875],0
s4,1,0.074447,3.182143,[ 5 16] ; [ 23 193],[ 2.48101266 18.51898734] ; [ 25.51898734 190.48101266],0
a7,1,0.081454,3.035646,[12  9] ; [163  55],[15.37656904  5.62343096] ; [159.62343096  58.37656904],0
n2,1,0.121335,2.4,[4 5] ; [32 13],[6. 3.] ; [30. 15.],0
d3,1,0.129037,2.304046,[11 10] ; [149  68],[14.11764706  6.88235294] ; [145.88235294  71.11764706],0
d4,1,0.156478,2.007939,[14  7] ; [175  44],[16.5375  4.4625] ; [172.4625  46.5375],0
p5,1,0.161116,1.96372,[ 5 16] ; [ 28 191],[ 2.8875 18.1125] ; [ 30.1125 188.8875],0
n1,1,0.20893,1.578823,[1 8] ; [14 30],[2.54716981 6.45283019] ; [12.45283019 31.54716981],0
u2,1,0.210344,1.569058,[8 3] ; [33 30],[6.09459459 4.90540541] ; [34.90540541 28.09459459],0
a5,1,0.215051,1.537093,[13  8] ; [163  56],[15.4  5.6] ; [160.6  58.4],0
a8,1,0.232589,1.424959,[ 1 19] ; [ 28 163],[ 2.74881517 17.25118483] ; [ 26.25118483 164.74881517],0
n5,1,0.2607,1.265038,[13  8] ; [160  58],[15.20083682  5.79916318] ; [157.79916318  60.20083682],0
p9,1,0.309032,1.03481,[16  5] ; [183  33],[17.63291139  3.36708861] ; [181.36708861  34.63291139],0
p12,1,0.325609,0.966283,[ 2 19] ; [ 10 207],[ 1.05882353 19.94117647] ; [ 10.94117647 206.05882353],0
u3,1,0.37669,0.781476,[4 7] ; [33 32],[5.35526316 5.64473684] ; [31.64473684 33.35526316],0
b4,1,0.397719,0.715211,[ 9 12] ; [115 104],[10.85 10.15] ; [113.15 105.85],0
u1,1,0.407019,0.687491,[ 2 19] ; [ 36 183],[ 3.325 17.675] ; [ 34.675 184.325],0
b5,1,0.43053,0.621393,[11 10] ; [134  85],[12.6875  8.3125] ; [132.3125  86.6875],0
p4,1,0.464825,0.53425,[12  9] ; [142  76],[13.53138075  7.46861925] ; [140.46861925  77.53138075],0
p6,1,0.473305,0.514249,[ 8 13] ; [ 99 115],[ 9.56170213 11.43829787] ; [ 97.43829787 116.56170213],0
p8,1,0.524328,0.405372,[13  8] ; [147  67],[14.29787234  6.70212766] ; [145.70212766  68.29787234],0
d2,1,0.531192,0.39211,[ 8 13] ; [ 99 120],[ 9.3625 11.6375] ; [ 97.6375 121.3625],0
p1,1,0.575119,0.314193,[ 1 20] ; [ 18 201],[ 1.6625 19.3375] ; [ 17.3375 201.6625],0
b2,1,0.577625,0.31009,[3 8] ; [47 85],[3.84615385 7.15384615] ; [46.15384615 85.84615385],0
b3,1,0.577625,0.31009,[3 8] ; [47 85],[3.84615385 7.15384615] ; [46.15384615 85.84615385],0
p11,1,0.583213,0.301069,[18  3] ; [177  42],[17.0625  3.9375] ; [177.9375  41.0625],0
n3,1,0.605391,0.266941,[6 3] ; [33 11],[6.62264151 2.37735849] ; [32.37735849 11.62264151],0
