Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.002824,8.918,[7 7] ; [ 2 23],[ 3.23076923 10.76923077] ; [ 5.76923077 19.23076923],0
p3,1,0.005681,7.648776,[9 5] ; [ 5 20],[5.02564103 8.97435897] ; [ 8.97435897 16.02564103],0
p6,1,0.010093,6.618428,[5 9] ; [ 1 23],[ 2.21052632 11.78947368] ; [ 3.78947368 20.21052632],0
r3,1,0.020216,5.393143,[12  2] ; [12 13],[8.61538462 5.38461538] ; [15.38461538  9.61538462],0
p4,1,0.033722,4.508752,[10  4] ; [ 9 16],[6.82051282 7.17948718] ; [12.17948718 12.82051282],0
p10,1,0.043614,4.071429,[10  4] ; [ 9 15],[7. 7.] ; [12. 12.],0
u2,1,0.048741,3.884266,[6 2] ; [4 9],[3.80952381 4.19047619] ; [6.19047619 6.80952381],0
p7,1,0.059613,3.54812,[10  4] ; [10 15],[7.17948718 6.82051282] ; [12.82051282 12.17948718],0
s4,1,0.078519,3.095288,[5 9] ; [ 3 22],[ 2.87179487 11.12820513] ; [ 5.12820513 19.87179487],0
r4,1,0.078519,3.095288,[5 9] ; [ 3 22],[ 2.87179487 11.12820513] ; [ 5.12820513 19.87179487],0
u3,1,0.091167,2.853648,[3 5] ; [ 1 12],[1.52380952 6.47619048] ; [ 2.47619048 10.52380952],0
p11,1,0.099301,2.716735,[10  4] ; [11 14],[7.53846154 6.46153846] ; [13.46153846 11.53846154],0
v4,1,0.099301,2.716735,[10  4] ; [11 14],[7.53846154 6.46153846] ; [13.46153846 11.53846154],0
s6,1,0.125698,2.344845,[8 6] ; [ 8 17],[5.74358974 8.25641026] ; [10.25641026 14.74358974],0
v2,1,0.148731,2.085217,[6 8] ; [ 5 19],[4.05263158 9.94736842] ; [ 6.94736842 17.05263158],0
p2,1,0.158662,1.986931,[11  3] ; [14 11],[8.97435897 5.02564103] ; [16.02564103  8.97435897],0
p9,1,0.159886,1.975303,[10  4] ; [11 12],[7.94594595 6.05405405] ; [13.05405405  9.94594595],0
v3,1,0.160995,1.964857,[5 9] ; [ 4 21],[ 3.23076923 10.76923077] ; [ 5.76923077 19.23076923],0
s5,1,0.195801,1.673418,[ 4 10] ; [ 3 22],[ 2.51282051 11.48717949] ; [ 4.48717949 20.51282051],0
v1,1,0.220965,1.498095,[6 8] ; [ 6 19],[4.30769231 9.69230769] ; [ 7.69230769 17.30769231],0
a5,1,0.267699,1.2285,[7 7] ; [ 8 17],[5.38461538 8.61538462] ; [ 9.61538462 15.38461538],0
n1,1,0.301409,1.067949,[2 2] ; [ 3 10],[1.17647059 2.82352941] ; [3.82352941 9.17647059],0
b4,1,0.302936,1.061224,[6 8] ; [15 10],[7.53846154 6.46153846] ; [13.46153846 11.53846154],0
s7,1,0.319435,0.991259,[5 8] ; [ 5 17],[3.71428571 9.28571429] ; [ 6.28571429 15.71428571],0
a6,1,0.34509,0.891429,[6 8] ; [ 7 18],[4.66666667 9.33333333] ; [ 8.33333333 16.66666667],0
p1,1,0.427392,0.629899,[ 1 13] ; [ 4 21],[ 1.79487179 12.20512821] ; [ 3.20512821 21.79487179],0
p5,1,0.433714,0.612857,[ 3 11] ; [ 3 22],[ 2.15384615 11.84615385] ; [ 3.84615385 21.15384615],0
s2,1,0.497754,0.459722,[6 8] ; [ 8 17],[5.02564103 8.97435897] ; [ 8.97435897 16.02564103],0
s1,1,0.53482,0.385224,[ 2 12] ; [ 2 23],[ 1.43589744 12.56410256] ; [ 2.56410256 22.43589744],0
b2,1,0.608757,0.261988,[2 7] ; [ 6 13],[2.57142857 6.42857143] ; [ 5.42857143 13.57142857],0
b3,1,0.608757,0.261988,[2 7] ; [ 6 13],[2.57142857 6.42857143] ; [ 5.42857143 13.57142857],0
d4,1,0.613819,0.254651,[9 5] ; [14 11],[8.25641026 5.74358974] ; [14.74358974 10.25641026],0
r1,1,0.616573,0.250714,[5 9] ; [ 7 18],[4.30769231 9.69230769] ; [ 7.69230769 17.30769231],0
n5,1,0.616573,0.250714,[9 5] ; [18  7],[9.69230769 4.30769231] ; [17.30769231  7.69230769],0
b1,1,0.636871,0.222857,[10  4] ; [16  9],[9.33333333 4.66666667] ; [16.66666667  8.33333333],0
d3,1,0.636871,0.222857,[ 4 10] ; [ 9 16],[4.66666667 9.33333333] ; [ 8.33333333 16.66666667],0
p12,1,0.669489,0.182201,[ 1 13] ; [ 1 24],[ 0.71794872 13.28205128] ; [ 1.28205128 23.71794872],0
a3,1,0.757286,0.09551,[6 8] ; [12 13],[6.46153846 7.53846154] ; [11.53846154 13.46153846],0
d2,1,0.813403,0.055714,[5 9] ; [ 8 17],[4.66666667 9.33333333] ; [ 8.33333333 16.66666667],0
d5,1,0.861858,0.03028,[6 8] ; [10 15],[5.74358974 8.25641026] ; [10.25641026 14.74358974],0
s3,1,0.881368,0.022271,[5 9] ; [ 8 16],[4.78947368 9.21052632] ; [ 8.21052632 15.78947368],0
n3,1,0.892795,0.018162,[2 2] ; [6 7],[1.88235294 2.11764706] ; [6.11764706 6.88235294],0
b5,1,0.904587,0.014368,[7 7] ; [12 13],[6.82051282 7.17948718] ; [12.17948718 12.82051282],0
n6,1,0.912347,0.012117,[9 5] ; [15  9],[8.84210526 5.15789474] ; [15.15789474  8.84210526],0
d1,1,0.915595,0.011233,[ 3 11] ; [ 5 20],[ 2.87179487 11.12820513] ; [ 5.12820513 19.87179487],0
a4,1,0.915595,0.011233,[ 3 11] ; [ 5 20],[ 2.87179487 11.12820513] ; [ 5.12820513 19.87179487],0
a8,1,0.916676,0.010946,[ 1 12] ; [ 2 21],[ 1.08333333 11.91666667] ; [ 1.91666667 21.08333333],0
n4,1,0.985764,0.000318,[9 5] ; [16  9],[8.97435897 5.02564103] ; [16.02564103  8.97435897],0
