Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.021029,5.32437,[1 4] ; [13  4],[3.18181818 1.81818182] ; [10.81818182  6.18181818],0
p8,1,0.054514,3.696875,[4 1] ; [ 5 11],[2.14285714 2.85714286] ; [6.85714286 9.14285714],0
p3,1,0.096731,2.758636,[4 1] ; [ 6 10],[2.38095238 2.61904762] ; [7.61904762 8.38095238],0
b1,1,0.279353,1.170236,[4 1] ; [9 8],[2.95454545 2.04545455] ; [10.04545455  6.95454545],0
s2,1,0.279353,1.170236,[4 1] ; [9 8],[2.95454545 2.04545455] ; [10.04545455  6.95454545],0
v4,1,0.279353,1.170236,[4 1] ; [9 8],[2.95454545 2.04545455] ; [10.04545455  6.95454545],0
p2,1,0.279353,1.170236,[4 1] ; [9 8],[2.95454545 2.04545455] ; [10.04545455  6.95454545],0
a7,1,0.279353,1.170236,[1 4] ; [8 9],[2.04545455 2.95454545] ; [ 6.95454545 10.04545455],0
p9,1,0.323296,0.975566,[2 3] ; [11  6],[2.95454545 2.04545455] ; [10.04545455  6.95454545],0
a3,1,0.323296,0.975566,[2 3] ; [11  6],[2.95454545 2.04545455] ; [10.04545455  6.95454545],0
p1,1,0.334405,0.931765,[1 4] ; [ 1 16],[0.45454545 4.54545455] ; [ 1.54545455 15.45454545],0
v2,1,0.386876,0.748739,[1 4] ; [ 7 10],[1.81818182 3.18181818] ; [ 6.18181818 10.81818182],0
n4,1,0.386876,0.748739,[4 1] ; [10  7],[3.18181818 1.81818182] ; [10.81818182  6.18181818],0
d3,1,0.457438,0.552157,[2 3] ; [10  7],[2.72727273 2.27272727] ; [9.27272727 7.72727273],0
p6,1,0.516937,0.42,[2 3] ; [ 4 12],[1.42857143 3.57142857] ; [ 4.57142857 11.42857143],0
d2,1,0.518647,0.416583,[1 4] ; [ 6 11],[1.59090909 3.40909091] ; [ 5.40909091 11.59090909],0
p4,1,0.518647,0.416583,[4 1] ; [11  6],[3.40909091 1.59090909] ; [11.59090909  5.40909091],0
p10,1,0.61093,0.258824,[3 2] ; [8 9],[2.5 2.5] ; [8.5 8.5],0
a6,1,0.61093,0.258824,[3 2] ; [8 9],[2.5 2.5] ; [8.5 8.5],0
s1,1,0.637144,0.222497,[1 4] ; [ 2 15],[0.68181818 4.31818182] ; [ 2.31818182 14.68181818],0
s5,1,0.637144,0.222497,[1 4] ; [ 2 15],[0.68181818 4.31818182] ; [ 2.31818182 14.68181818],0
r1,1,0.654992,0.199664,[2 3] ; [ 5 12],[1.59090909 3.40909091] ; [ 5.40909091 11.59090909],0
d4,1,0.654992,0.199664,[3 2] ; [12  5],[3.40909091 1.59090909] ; [11.59090909  5.40909091],0
p7,1,0.677856,0.172549,[4 1] ; [12  5],[3.63636364 1.36363636] ; [12.36363636  4.63636364],0
v3,1,0.677856,0.172549,[1 4] ; [ 5 12],[1.36363636 3.63636364] ; [ 4.63636364 12.36363636],0
v1,1,0.677856,0.172549,[1 4] ; [ 5 12],[1.36363636 3.63636364] ; [ 4.63636364 12.36363636],0
r4,1,0.677856,0.172549,[1 4] ; [ 5 12],[1.36363636 3.63636364] ; [ 4.63636364 12.36363636],0
a5,1,0.780512,0.077647,[2 3] ; [8 9],[2.27272727 2.72727273] ; [7.72727273 9.27272727],0
n6,1,0.780512,0.077647,[3 2] ; [9 8],[2.72727273 2.27272727] ; [9.27272727 7.72727273],0
n1,1,0.80915,0.058333,[1 1] ; [3 2],[1.14285714 0.85714286] ; [2.85714286 2.14285714],0
n2,1,0.80915,0.058333,[1 1] ; [3 2],[1.14285714 0.85714286] ; [2.85714286 2.14285714],0
s8,1,0.847516,0.036975,[2 3] ; [ 6 11],[1.81818182 3.18181818] ; [ 6.18181818 10.81818182],0
n5,1,0.847516,0.036975,[3 2] ; [11  6],[3.18181818 1.81818182] ; [10.81818182  6.18181818],0
p11,1,0.847516,0.036975,[3 2] ; [11  6],[3.18181818 1.81818182] ; [10.81818182  6.18181818],0
r3,1,0.868516,0.027405,[4 1] ; [13  4],[3.86363636 1.13636364] ; [13.13636364  3.86363636],0
d1,1,0.868516,0.027405,[1 4] ; [ 4 13],[1.13636364 3.86363636] ; [ 3.86363636 13.13636364],0
d5,1,0.962486,0.002212,[3 2] ; [10  7],[2.95454545 2.04545455] ; [10.04545455  6.95454545],0
