Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,69.645264,[ 5 34] ; [151  36],[26.92035398 12.07964602] ; [129.07964602  57.92035398],1
v4,1,0.0,33.800884,[20 19] ; [166  19],[32.38392857  6.61607143] ; [153.61607143  31.38392857],1
r3,1,1.7e-05,18.511954,[22 16] ; [163  24],[31.24444444  6.75555556] ; [153.75555556  33.24444444],1
r1,1,3.1e-05,17.376328,[12 27] ; [124  62],[23.57333333 15.42666667] ; [112.42666667  73.57333333],1
p11,1,9e-05,15.335332,[16 23] ; [137  50],[26.40265487 12.59734513] ; [126.59734513  60.40265487],1
u3,1,0.000289,13.138497,[ 2 19] ; [38 32],[ 9.23076923 11.76923077] ; [30.76923077 39.23076923],1
d1,1,0.000533,11.997227,[ 7 32] ; [90 97],[16.73893805 22.26106195] ; [ 80.26106195 106.73893805],1
a6,1,0.000536,11.986797,[15 24] ; [127  60],[24.50442478 14.49557522] ; [117.49557522  69.50442478],1
d5,1,0.00169,9.858928,[18 21] ; [134  52],[26.34666667 12.65333333] ; [125.65333333  60.34666667],0
d3,1,0.00256,9.09739,[14 25] ; [115  70],[22.45982143 16.54017857] ; [106.54017857  78.45982143],0
p10,1,0.002611,9.060977,[15 23] ; [122  64],[23.24107143 14.75892857] ; [113.75892857  72.24107143],0
b1,1,0.004976,7.88831,[25 14] ; [ 74 113],[17.0840708 21.9159292] ; [ 81.9159292 105.0840708],0
a5,1,0.005465,7.718594,[15 24] ; [117  70],[22.77876106 16.22123894] ; [109.22123894  77.77876106],0
n6,1,0.015216,5.89127,[20 18] ; [135  51],[26.29464286 11.70535714] ; [128.70535714  57.29464286],0
a7,1,0.015782,5.826992,[18 21] ; [124  62],[24.61333333 14.38666667] ; [117.38666667  68.61333333],0
d2,1,0.026257,4.939008,[ 9 30] ; [ 78 107],[15.14732143 23.85267857] ; [ 71.85267857 113.14732143],0
n4,1,0.035816,4.405865,[18 21] ; [120  67],[23.81415929 15.18584071] ; [114.18584071  72.81415929],0
d4,1,0.038022,4.30406,[22 17] ; [136  50],[27.38666667 11.61333333] ; [130.61333333  55.38666667],0
s1,1,0.052732,3.75238,[ 4 35] ; [  6 180],[ 1.73333333 37.26666667] ; [  8.26666667 177.73333333],0
p9,1,0.053389,3.731706,[19 18] ; [125  59],[24.10859729 12.89140271] ; [119.89140271  64.10859729],0
p2,1,0.05423,3.70559,[22 17] ; [134  52],[27.04 11.96] ; [128.96  57.04],0
a2,1,0.056878,3.626143,[ 2 37] ; [ 32 155],[ 5.86725664 33.13274336] ; [ 28.13274336 158.86725664],0
p8,1,0.058077,3.591453,[ 9 29] ; [ 74 111],[14.14349776 23.85650224] ; [ 68.85650224 116.14349776],0
a3,1,0.074543,3.180039,[18 20] ; [117  69],[22.90178571 15.09821429] ; [112.09821429  73.90178571],0
p3,1,0.108181,2.580592,[ 8 30] ; [ 64 122],[12.21428571 25.78571429] ; [ 59.78571429 126.21428571],0
p7,1,0.138868,2.190463,[14 25] ; [90 94],[18.18834081 20.81165919] ; [85.81165919 98.18834081],0
u1,1,0.148291,2.089742,[ 1 38] ; [ 18 169],[ 3.27876106 35.72123894] ; [ 15.72123894 171.27876106],0
v1,1,0.157043,2.002474,[ 9 30] ; [ 64 120],[12.76681614 26.23318386] ; [ 60.23318386 123.76681614],0
v2,1,0.17775,1.816339,[ 9 29] ; [ 63 117],[12.55045872 25.44954128] ; [ 59.44954128 120.55045872],0
a1,1,0.192725,1.696663,[ 3 36] ; [  6 181],[ 1.55309735 37.44690265] ; [  7.44690265 179.55309735],0
a4,1,0.194892,1.680241,[11 28] ; [ 73 113],[14.56 24.44] ; [ 69.44 116.56],0
u2,1,0.198993,1.64975,[ 7 14] ; [34 35],[ 9.56666667 11.43333333] ; [31.43333333 37.56666667],0
p6,1,0.206538,1.595527,[ 5 32] ; [ 42 142],[ 7.86877828 29.13122172] ; [ 39.13122172 144.86877828],0
p12,1,0.222138,1.490508,[ 1 38] ; [  1 184],[ 0.34821429 38.65178571] ; [  1.65178571 183.34821429],0
s5,1,0.237628,1.39461,[ 2 37] ; [ 21 162],[ 4.04054054 34.95945946] ; [ 18.95945946 164.04054054],0
s7,1,0.254824,1.296658,[ 4 31] ; [ 35 144],[ 6.37850467 28.62149533] ; [ 32.62149533 146.37850467],0
n1,1,0.272056,1.206349,[ 5 14] ; [23 34],[ 7. 12.] ; [21. 36.],0
s3,1,0.27521,1.190591,[ 7 31] ; [ 50 136],[ 9.66964286 28.33035714] ; [ 47.33035714 138.66964286],0
a8,1,0.291394,1.113171,[ 5 32] ; [ 14 160],[ 3.33175355 33.66824645] ; [ 15.66824645 158.33175355],0
s2,1,0.315255,1.008531,[ 4 35] ; [ 31 155],[ 6.06666667 32.93333333] ; [ 28.93333333 157.06666667],0
p4,1,0.35127,0.868863,[12 27] ; [ 72 114],[14.56 24.44] ; [ 69.44 116.56],0
s4,1,0.404055,0.696225,[ 5 34] ; [ 16 171],[ 3.62389381 35.37610619] ; [ 17.37610619 169.62389381],0
n2,1,0.416253,0.66087,[10  9] ; [36 21],[11.5  7.5] ; [34.5 22.5],0
n5,1,0.502996,0.448609,[22 17] ; [115  70],[23.85267857 15.14732143] ; [113.14732143  71.85267857],0
s8,1,0.514215,0.42548,[ 3 36] ; [ 21 166],[ 4.14159292 34.85840708] ; [ 19.85840708 167.14159292],0
n3,1,0.521121,0.411674,[11  8] ; [37 19],[12.16  6.84] ; [35.84 20.16],0
b5,1,0.525235,0.403601,[21 18] ; [111  76],[22.77876106 16.22123894] ; [109.22123894  77.77876106],0
b4,1,0.530558,0.393322,[23 16] ; [100  87],[21.22566372 17.77433628] ; [101.77433628  85.22566372],0
p1,1,0.755742,0.096769,[ 2 37] ; [ 12 174],[ 2.42666667 36.57333333] ; [ 11.57333333 174.42666667],0
b2,1,0.756042,0.096524,[ 7 15] ; [36 66],[ 7.62903226 14.37096774] ; [35.37096774 66.62903226],0
b3,1,0.756042,0.096524,[ 7 15] ; [36 66],[ 7.62903226 14.37096774] ; [35.37096774 66.62903226],0
