Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.000844,11.140954,[27 10] ; [ 3 11],[21.76470588 15.23529412] ; [8.23529412 5.76470588],1
v2,1,0.001135,10.593034,[ 8 28] ; [10  4],[12.96 23.04] ; [5.04 8.96],0
a3,1,0.002133,9.431689,[11 25] ; [11  3],[15.84 20.16] ; [6.16 7.84],0
p4,1,0.039142,4.254688,[12 25] ; [9 5],[15.23529412 21.76470588] ; [5.76470588 8.23529412],0
s2,1,0.045328,4.006386,[ 6 31] ; [6 8],[ 8.70588235 28.29411765] ; [ 3.29411765 10.70588235],0
a4,1,0.047155,3.939865,[ 8 29] ; [7 7],[10.88235294 26.11764706] ; [4.11764706 9.88235294],0
a5,1,0.060683,3.51863,[13 24] ; [9 5],[15.96078431 21.03921569] ; [6.03921569 7.96078431],0
d1,1,0.080021,3.06448,[ 7 30] ; [6 8],[ 9.43137255 27.56862745] ; [ 3.56862745 10.43137255],0
p7,1,0.090277,2.86943,[14 23] ; [9 5],[16.68627451 20.31372549] ; [6.31372549 7.68627451],0
b5,1,0.154119,2.030998,[24 13] ; [6 8],[21.76470588 15.23529412] ; [8.23529412 5.76470588],0
v3,1,0.187634,1.7361,[ 3 34] ; [ 3 11],[ 4.35294118 32.64705882] ; [ 1.64705882 12.35294118],0
p10,1,0.207712,1.587302,[16 20] ; [9 5],[18. 18.] ; [7. 7.],0
r4,1,0.25873,1.275538,[11 26] ; [ 2 12],[ 9.43137255 27.56862745] ; [ 3.56862745 10.43137255],0
d4,1,0.260545,1.265858,[20 17] ; [10  4],[21.76470588 15.23529412] ; [8.23529412 5.76470588],0
p1,1,0.292485,1.108149,[ 2 35] ; [ 2 12],[ 2.90196078 34.09803922] ; [ 1.09803922 12.90196078],0
s1,1,0.292485,1.108149,[ 2 35] ; [ 2 12],[ 2.90196078 34.09803922] ; [ 1.09803922 12.90196078],0
b1,1,0.318071,0.996863,[18 19] ; [9 5],[19.58823529 17.41176471] ; [7.41176471 6.58823529],0
p11,1,0.338205,0.917225,[21 16] ; [10  4],[22.49019608 14.50980392] ; [8.50980392 5.49019608],0
r1,1,0.338423,0.916394,[10 27] ; [ 2 12],[ 8.70588235 28.29411765] ; [ 3.29411765 10.70588235],0
d2,1,0.374813,0.787645,[11 26] ; [6 8],[12.33333333 24.66666667] ; [4.66666667 9.33333333],0
r3,1,0.422695,0.642809,[24 13] ; [10  3],[25.16 11.84] ; [8.84 4.16],0
u3,1,0.435819,0.607265,[ 4 22] ; [1 2],[ 4.48275862 21.51724138] ; [0.51724138 2.48275862],0
p9,1,0.4617,0.54177,[19 17] ; [9 5],[20.16 15.84] ; [7.84 6.16],0
u1,1,0.465994,0.531459,[ 1 36] ; [ 1 13],[ 1.45098039 35.54901961] ; [ 0.54901961 13.45098039],0
a7,1,0.475336,0.509546,[20 17] ; [6 8],[18.8627451 18.1372549] ; [7.1372549 6.8627451],0
p3,1,0.50648,0.441332,[ 8 29] ; [4 9],[ 8.88 28.12] ; [3.12 9.88],0
a1,1,0.507924,0.438341,[ 3 34] ; [ 2 12],[ 3.62745098 33.37254902] ; [ 1.37254902 12.62745098],0
s5,1,0.528589,0.397104,[ 5 32] ; [ 1 13],[ 4.35294118 32.64705882] ; [ 1.64705882 12.35294118],0
n2,1,0.56813,0.325822,[7 5] ; [5 2],[7.57894737 4.42105263] ; [4.42105263 2.57894737],0
u2,1,0.58438,0.299206,[13 13] ; [1 2],[12.55172414 13.44827586] ; [1.44827586 1.55172414],0
s6,1,0.610743,0.259094,[13 24] ; [6 8],[13.78431373 23.21568627] ; [5.21568627 8.78431373],0
d3,1,0.66519,0.18728,[16 21] ; [7 7],[16.68627451 20.31372549] ; [6.31372549 7.68627451],0
p8,1,0.725506,0.123278,[11 25] ; [5 9],[11.52 24.48] ; [4.48 9.52],0
n5,1,0.743183,0.107348,[23 14] ; [8 6],[22.49019608 14.50980392] ; [8.50980392 5.49019608],0
n6,1,0.752732,0.09925,[22 15] ; [9 5],[22.49019608 14.50980392] ; [8.50980392 5.49019608],0
p5,1,0.756438,0.0962,[ 4 32] ; [ 2 12],[ 4.32 31.68] ; [ 1.68 12.32],0
d5,1,0.795749,0.067005,[17 20] ; [7 7],[17.41176471 19.58823529] ; [6.58823529 7.41176471],0
s3,1,0.796017,0.066825,[ 9 27] ; [ 4 10],[ 9.36 26.64] ; [ 3.64 10.36],0
n1,1,0.829454,0.046398,[4 8] ; [2 5],[3.78947368 8.21052632] ; [2.21052632 4.78947368],0
n3,1,0.829454,0.046398,[8 4] ; [5 2],[8.21052632 3.78947368] ; [4.78947368 2.21052632],0
n4,1,0.843176,0.039138,[20 17] ; [8 6],[20.31372549 16.68627451] ; [7.68627451 6.31372549],0
v4,1,0.843176,0.039138,[20 17] ; [8 6],[20.31372549 16.68627451] ; [7.68627451 6.31372549],0
p12,1,0.908903,0.013092,[ 3 34] ; [ 1 13],[ 2.90196078 34.09803922] ; [ 1.09803922 12.90196078],0
p6,1,0.914631,0.011492,[ 6 30] ; [ 2 11],[ 5.87755102 30.12244898] ; [ 2.12244898 10.87755102],0
s8,1,0.942987,0.005115,[ 5 32] ; [ 2 12],[ 5.07843137 31.92156863] ; [ 1.92156863 12.07843137],0
s4,1,0.942987,0.005115,[ 5 32] ; [ 2 12],[ 5.07843137 31.92156863] ; [ 1.92156863 12.07843137],0
b2,1,0.976289,0.000883,[ 5 18] ; [2 7],[ 5.03125 17.96875] ; [1.96875 7.03125],0
b3,1,0.976289,0.000883,[ 5 18] ; [2 7],[ 5.03125 17.96875] ; [1.96875 7.03125],0
p2,1,0.980179,0.000617,[21 16] ; [8 6],[21.03921569 15.96078431] ; [7.96078431 6.03921569],0
a6,1,0.980179,0.000617,[16 21] ; [6 8],[15.96078431 21.03921569] ; [6.03921569 7.96078431],0
