Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,100.375822,[ 9 35] ; [252  37],[34.48648649  9.51351351] ; [226.51351351  62.48648649],1
v4,1,0.0,49.394575,[24 20] ; [266  22],[38.43373494  5.56626506] ; [251.56626506  36.43373494],1
r3,1,0.0,35.163985,[26 18] ; [263  25],[38.30120482  5.69879518] ; [250.69879518  37.30120482],1
r1,1,0.0,33.932624,[13 31] ; [212  76],[29.81927711 14.18072289] ; [195.18072289  92.81927711],1
d1,1,3e-06,22.147635,[ 7 37] ; [156 133],[21.53753754 22.46246246] ; [141.46246246 147.53753754],1
d5,1,6e-06,20.471059,[20 24] ; [224  64],[32.3373494 11.6626506] ; [211.6626506  76.3373494],1
p10,1,0.000131,14.63157,[18 25] ; [205  83],[28.96978852 14.03021148] ; [194.03021148  93.96978852],1
u3,1,0.000207,13.767788,[ 4 23] ; [58 48],[12.58646617 14.41353383] ; [49.41353383 56.58646617],1
s3,1,0.000753,11.354556,[11 32] ; [153 135],[21.30513595 21.69486405] ; [142.69486405 145.30513595],1
s2,1,0.001284,10.366042,[ 8 36] ; [126 162],[17.75903614 26.24096386] ; [116.24096386 171.75903614],0
s6,1,0.001316,10.320045,[14 30] ; [164 120],[23.87804878 20.12195122] ; [154.12195122 129.87804878],0
s7,1,0.001591,9.969763,[ 6 34] ; [114 165],[15.04702194 24.95297806] ; [104.95297806 174.04702194],0
d4,1,0.002786,8.942761,[25 19] ; [224  64],[33. 11.] ; [216.  72.],0
a5,1,0.002933,8.848896,[18 26] ; [186 103],[26.95495495 17.04504505] ; [177.04504505 111.95495495],0
a3,1,0.003426,8.565408,[17 26] ; [182 107],[25.77409639 17.22590361] ; [173.22590361 115.77409639],0
d3,1,0.003757,8.397841,[19 25] ; [189  98],[27.64954683 16.35045317] ; [180.35045317 106.64954683],0
p9,1,0.004526,8.059765,[22 20] ; [210  75],[29.79816514 12.20183486] ; [202.20183486  82.79816514],0
p11,1,0.005978,7.556885,[23 21] ; [210  79],[30.78678679 13.21321321] ; [202.21321321  86.78678679],0
a6,1,0.00813,7.004531,[20 24] ; [191  98],[27.87987988 16.12012012] ; [183.12012012 105.87987988],0
d2,1,0.009984,6.637818,[11 33] ; [131 156],[18.87613293 25.12386707] ; [123.12386707 163.87613293],0
p2,1,0.010561,6.5378,[26 18] ; [222  66],[32.86746988 11.13253012] ; [215.13253012  72.86746988],0
a7,1,0.012386,6.254728,[22 22] ; [199  89],[29.28915663 14.71084337] ; [191.71084337  96.28915663],0
n6,1,0.013058,6.16118,[27 17] ; [226  62],[33.53012048 10.46987952] ; [219.46987952  68.53012048],0
a4,1,0.014401,5.988344,[ 9 35] ; [114 174],[16.30120482 27.69879518] ; [106.69879518 181.30120482],0
s8,1,0.018263,5.570775,[ 6 38] ; [ 89 199],[12.59036145 31.40963855] ; [ 82.40963855 205.59036145],0
a2,1,0.024167,5.082624,[ 2 42] ; [ 52 237],[ 7.13513514 36.86486486] ; [ 46.86486486 242.13513514],0
p6,1,0.026962,4.893219,[ 6 37] ; [ 87 201],[12.081571 30.918429] ; [ 80.918429 207.081571],0
p7,1,0.031754,4.611743,[17 27] ; [159 125],[23.6097561 20.3902439] ; [152.3902439 131.6097561],0
u1,1,0.032918,4.550028,[ 1 43] ; [ 39 250],[ 5.28528529 38.71471471] ; [ 34.71471471 254.28528529],0
a8,1,0.033534,4.518285,[ 8 33] ; [ 24 250],[ 4.16507937 36.83492063] ; [ 27.83492063 246.16507937],0
b4,1,0.036318,4.382127,[31 13] ; [155 134],[24.57657658 19.42342342] ; [161.42342342 127.57657658],0
p3,1,0.04235,4.12117,[10 34] ; [111 177],[16.03614458 27.96385542] ; [104.96385542 183.03614458],0
p4,1,0.049125,3.871068,[15 29] ; [144 144],[21.07228916 22.92771084] ; [137.92771084 150.07228916],0
n4,1,0.060365,3.527336,[23 21] ; [193  96],[28.54054054 15.45945946] ; [187.45945946 101.54054054],0
s5,1,0.065698,3.387368,[ 6 38] ; [ 74 205],[10.89783282 33.10216718] ; [ 69.10216718 209.89783282],0
p8,1,0.075728,3.154279,[13 30] ; [128 159],[18.37272727 24.62727273] ; [122.62727273 164.37272727],0
v2,1,0.123196,2.376208,[ 8 35] ; [ 84 196],[12.24767802 30.75232198] ; [ 79.75232198 200.24767802],0
b1,1,0.124621,2.358258,[24 20] ; [122 167],[19.29129129 24.70870871] ; [126.70870871 162.29129129],0
n2,1,0.180507,1.793443,[8 9] ; [61 34],[10.47321429  6.52678571] ; [58.52678571 36.47321429],0
n1,1,0.288632,1.125991,[ 4 13] ; [35 60],[ 5.91964286 11.08035714] ; [33.08035714 61.91964286],0
a1,1,0.427018,0.630921,[ 3 41] ; [ 12 277],[ 1.98198198 42.01801802] ; [ 13.01801802 275.98198198],0
p5,1,0.449612,0.571629,[ 4 39] ; [ 18 271],[ 2.84939759 40.15060241] ; [ 19.15060241 269.84939759],0
b5,1,0.454904,0.558404,[27 17] ; [160 129],[24.70870871 19.29129129] ; [162.29129129 126.70870871],0
n3,1,0.570717,0.321484,[10  7] ; [62 32],[11.02702703  5.97297297] ; [60.97297297 33.02702703],0
p12,1,0.623915,0.240403,[ 2 42] ; [  9 279],[ 1.45783133 42.54216867] ; [  9.54216867 278.45783133],0
s4,1,0.778005,0.079479,[ 8 36] ; [ 57 228],[ 8.69300912 35.30699088] ; [ 56.30699088 228.69300912],0
n5,1,0.79286,0.068958,[27 17] ; [182 105],[27.78247734 16.21752266] ; [181.21752266 105.78247734],0
u2,1,0.82916,0.046561,[14 13] ; [52 53],[13.5 13.5] ; [52.5 52.5],0
b2,1,0.839631,0.040952,[ 7 20] ; [ 42 109],[ 7.43258427 19.56741573] ; [ 41.56741573 109.43258427],0
b3,1,0.839631,0.040952,[ 7 20] ; [ 42 109],[ 7.43258427 19.56741573] ; [ 41.56741573 109.43258427],0
p1,1,0.842997,0.039228,[ 3 41] ; [ 22 265],[ 3.32326284 40.67673716] ; [ 21.67673716 265.32326284],0
s1,1,0.992509,8.8e-05,[ 2 42] ; [ 13 275],[ 1.98795181 42.01204819] ; [ 13.01204819 274.98795181],0
