Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000108,14.998219,[56 29] ; [47 75],[42.29468599 42.70531401] ; [60.70531401 61.29468599],1
a5,1,0.00019,13.926665,[65 24] ; [62 68],[51.61187215 37.38812785] ; [75.38812785 54.61187215],1
a4,1,0.001172,10.53399,[39 50] ; [ 30 100],[28.04109589 60.95890411] ; [40.95890411 89.04109589],0
p9,1,0.00457,8.042058,[74 13] ; [87 41],[65.14883721 21.85116279] ; [95.85116279 32.14883721],0
r1,1,0.005216,7.802962,[71 18] ; [80 49],[61.64678899 27.35321101] ; [89.35321101 39.64678899],0
a2,1,0.006445,7.421351,[19 70] ; [ 11 119],[12.19178082 76.80821918] ; [ 17.80821918 112.19178082],0
v3,1,0.007366,7.181579,[30 56] ; [ 23 101],[21.7047619 64.2952381] ; [31.2952381 92.7047619],0
a3,1,0.01216,6.287357,[61 28] ; [67 63],[52.01826484 36.98173516] ; [75.98173516 54.01826484],0
v4,1,0.016884,5.708352,[86  2] ; [114  14],[81.48148148  6.51851852] ; [118.51851852   9.48148148],0
s7,1,0.01935,5.469581,[34 51] ; [31 94],[26.30952381 58.69047619] ; [38.69047619 86.30952381],0
p10,1,0.024713,5.043891,[67 20] ; [80 48],[59.48372093 27.51627907] ; [87.51627907 40.48372093],0
d4,1,0.0264,4.929604,[75 14] ; [92 37],[68.17889908 20.82110092] ; [98.82110092 30.17889908],0
s8,1,0.033912,4.499145,[35 53] ; [34 96],[27.85321101 60.14678899] ; [41.14678899 88.85321101],0
s6,1,0.046515,3.962839,[58 28] ; [70 60],[50.96296296 35.03703704] ; [77.03703704 52.96296296],0
n5,1,0.061246,3.503329,[36 52] ; [37 92],[29.60368664 58.39631336] ; [43.39631336 85.60368664],0
p3,1,0.064295,3.422968,[36 51] ; [38 92],[29.66820276 57.33179724] ; [44.33179724 85.66820276],0
u3,1,0.067967,3.331453,[20  8] ; [31 30],[16.04494382 11.95505618] ; [34.95505618 26.04494382],0
b3,1,0.099421,2.714806,[17 26] ; [16 49],[13.13888889 29.86111111] ; [19.86111111 45.13888889],0
b2,1,0.099421,2.714806,[17 26] ; [16 49],[13.13888889 29.86111111] ; [19.86111111 45.13888889],0
p1,1,0.111974,2.526139,[ 8 80] ; [  5 124],[ 5.2718894 82.7281106] ; [  7.7281106 121.2718894],0
n2,1,0.134307,2.242004,[26  7] ; [31 18],[22.93902439 10.06097561] ; [34.06097561 14.93902439],0
s2,1,0.16682,1.911293,[45 44] ; [53 76],[40.00917431 48.99082569] ; [57.99082569 71.00917431],0
s3,1,0.184355,1.762164,[48 40] ; [59 71],[43.19266055 44.80733945] ; [63.80733945 66.19266055],0
r4,1,0.189593,1.720779,[79 10] ; [107  23],[75.5890411 13.4109589] ; [110.4109589  19.5890411],0
s5,1,0.201704,1.629994,[31 55] ; [35 91],[26.77358491 59.22641509] ; [39.22641509 86.77358491],0
d5,1,0.230814,1.435841,[68 21] ; [89 40],[64.09633028 24.90366972] ; [92.90366972 36.09633028],0
r2,1,0.246475,1.343175,[82  6] ; [115  15],[79.52293578  8.47706422] ; [117.47706422  12.52293578],0
u1,1,0.249262,1.327437,[11 78] ; [ 10 120],[ 8.53424658 80.46575342] ; [ 12.46575342 117.53424658],0
d1,1,0.253619,1.303257,[46 43] ; [57 73],[41.85844749 47.14155251] ; [61.14155251 68.85844749],0
b4,1,0.266313,1.235641,[56 33] ; [72 58],[52.01826484 36.98173516] ; [75.98173516 54.01826484],0
p11,1,0.284565,1.14516,[63 26] ; [83 47],[59.33333333 29.66666667] ; [86.66666667 43.33333333],0
u2,1,0.322388,0.979232,[17 10] ; [32 30],[14.86516854 12.13483146] ; [34.13483146 27.86516854],0
p12,1,0.349424,0.875547,[ 4 83] ; [  3 127],[ 2.80645161 84.19354839] ; [  4.19354839 125.80645161],0
s4,1,0.414771,0.665084,[19 70] ; [34 96],[21.53881279 67.46118721] ; [31.46118721 98.53881279],0
n3,1,0.457116,0.552947,[21 12] ; [35 14],[22.53658537 10.46341463] ; [33.46341463 15.53658537],0
b5,1,0.472733,0.515582,[57 32] ; [77 53],[54.456621 34.543379] ; [79.543379 50.456621],0
d2,1,0.477054,0.505591,[35 54] ; [45 85],[32.51141553 56.48858447] ; [47.48858447 82.51141553],0
a1,1,0.582883,0.301596,[ 4 85] ; [  4 126],[ 3.25114155 85.74885845] ; [  4.74885845 125.25114155],0
p2,1,0.593115,0.285506,[65 23] ; [91 38],[63.26267281 24.73732719] ; [92.73732719 36.26267281],0
p4,1,0.599854,0.275217,[40 48] ; [54 75],[38.11981567 49.88018433] ; [55.88018433 73.11981567],0
p6,1,0.604054,0.268925,[22 62] ; [ 30 100],[20.41121495 63.58878505] ; [31.58878505 98.41121495],0
a6,1,0.625533,0.238168,[59 30] ; [82 48],[57.30136986 31.69863014] ; [83.69863014 46.30136986],0
p8,1,0.636097,0.223883,[39 49] ; [53 76],[37.30875576 50.69124424] ; [54.69124424 74.30875576],0
p7,1,0.704866,0.14346,[48 38] ; [67 59],[46.6509434 39.3490566] ; [68.3490566 57.6509434],0
b1,1,0.709632,0.138645,[30 59] ; [47 83],[31.29223744 57.70776256] ; [45.70776256 84.29223744],0
n6,1,0.710963,0.137317,[59 29] ; [84 46],[57.72477064 30.27522936] ; [85.27522936 44.72477064],0
a8,1,0.759509,0.093713,[ 4 80] ; [  7 115],[ 4.48543689 79.51456311] ; [  6.51456311 115.48543689],0
u4,1,0.786571,0.073314,[ 1 88] ; [  1 129],[ 0.81278539 88.18721461] ; [  1.18721461 128.81278539],0
n1,1,0.815918,0.054195,[ 8 25] ; [13 36],[ 8.45121951 24.54878049] ; [12.54878049 36.45121951],0
d3,1,0.825351,0.048694,[59 30] ; [83 45],[58.23963134 30.76036866] ; [83.76036866 44.23963134],0
s1,1,0.903352,0.014745,[ 3 86] ; [  4 126],[ 2.84474886 86.15525114] ; [  4.15525114 125.84474886],0
a7,1,0.97641,0.000874,[64 25] ; [93 36],[64.09633028 24.90366972] ; [92.90366972 36.09633028],0
p5,1,0.985368,0.000336,[ 4 83] ; [  6 123],[ 4.02777778 82.97222222] ; [  5.97222222 123.02777778],0
