Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,55.215008,[82 51] ; [535  72],[110.89324324  22.10675676] ; [506.10675676 100.89324324],1
p9,1,0.0,39.631802,[92 41] ; [546  61],[114.66756757  18.33243243] ; [523.33243243  83.66756757],1
p8,1,2e-06,23.021278,[47 89] ; [346 258],[72.22702703 63.77297297] ; [320.77297297 283.22702703],1
p2,1,0.000304,13.043204,[101  36] ; [527  84],[115.02139037  21.97860963] ; [512.97860963  98.02139037],1
b1,1,0.00032,12.950141,[67 70] ; [201 415],[48.75962815 88.24037185] ; [219.24037185 396.75962815],1
n5,1,0.000451,12.308332,[93 44] ; [499 114],[108.13866667  28.86133333] ; [483.86133333 129.13866667],1
n4,1,0.001397,10.210121,[96 40] ; [508 107],[109.37949401  26.62050599] ; [494.62050599 120.37949401],0
b5,1,0.002118,9.444506,[98 39] ; [353 263],[82.05444887 54.94555113] ; [368.94555113 247.05444887],0
p12,1,0.004071,8.251761,[  3 134] ; [ 59 550],[ 11.38605898 125.61394102] ; [ 50.61394102 558.38605898],0
p7,1,0.009692,6.690666,[75 61] ; [400 198],[88.01089918 47.98910082] ; [386.98910082 211.01089918],0
a6,1,0.014652,5.957779,[80 57] ; [425 189],[92.12383489 44.87616511] ; [412.87616511 201.12383489],0
p3,1,0.017266,5.669134,[57 80] ; [324 289],[69.596 67.404] ; [311.404 301.596],0
u2,1,0.029034,4.765582,[18 30] ; [93 75],[24.66666667 23.33333333] ; [86.33333333 81.66666667],0
v2,1,0.030885,4.659337,[66 68] ; [352 240],[77.15151515 56.84848485] ; [340.84848485 251.15151515],0
p4,1,0.050361,3.829385,[72 63] ; [382 230],[82.04819277 52.95180723] ; [371.95180723 240.04819277],0
r1,1,0.05135,3.796827,[100  35] ; [501 114],[108.18  26.82] ; [492.82 122.18],0
a3,1,0.051977,3.776507,[87 48] ; [447 167],[96.24833111 38.75166889] ; [437.75166889 176.24833111],0
v1,1,0.059254,3.55813,[64 71] ; [337 261],[73.85402456 61.14597544] ; [327.14597544 270.85402456],0
d4,1,0.085816,2.951154,[106  31] ; [513 101],[112.92010652  24.07989348] ; [506.07989348 107.92010652],0
