Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000275,13.233859,[242 109] ; [68  8],[254.82435597  96.17564403] ; [55.17564403 20.82435597],1
s3,1,0.00036,12.72773,[198 156] ; [60 17],[211.90719258 142.09280742] ; [46.09280742 30.90719258],1
v2,1,0.001349,10.274486,[224 120] ; [35 42],[211.62945368 132.37054632] ; [47.37054632 29.62945368],0
s2,1,0.00258,9.082856,[182 173] ; [54 23],[193.93518519 161.06481481] ; [42.06481481 34.93518519],0
s5,1,0.003529,8.511708,[125 219] ; [39 32],[135.94216867 208.05783133] ; [28.05783133 42.94216867],0
a8,1,0.009106,6.801866,[ 49 271] ; [ 3 72],[ 42.12658228 277.87341772] ; [ 9.87341772 65.12658228],0
b3,1,0.014026,6.034916,[102 129] ; [12 36],[ 94.38709677 136.61290323] ; [19.61290323 28.38709677],0
b2,1,0.014026,6.034916,[102 129] ; [12 36],[ 94.38709677 136.61290323] ; [19.61290323 28.38709677],0
v3,1,0.022575,5.200922,[164 177] ; [26 51],[155. 186.] ; [35. 42.],0
p6,1,0.040192,4.209763,[161 188] ; [46 32],[169.18735363 179.81264637] ; [37.81264637 40.18735363],0
a7,1,0.04471,4.029542,[263  92] ; [49 29],[255.79676674  99.20323326] ; [56.20323326 21.79676674],0
n4,1,0.052889,3.747431,[297  58] ; [58 20],[291.05080831  63.94919169] ; [63.94919169 14.05080831],0
n3,1,0.055117,3.678544,[43  7] ; [11  6],[40.29850746  9.70149254] ; [13.70149254  3.29850746],0
r2,1,0.061083,3.507739,[341  11] ; [72  6],[338.08372093  13.91627907] ; [74.91627907  3.08372093],0
s7,1,0.076291,3.14219,[187 147] ; [51 25],[193.88292683 140.11707317] ; [44.11707317 31.88292683],0
s1,1,0.080764,3.049468,[  9 345] ; [ 5 73],[ 11.47222222 342.52777778] ; [ 2.52777778 75.47222222],0
p9,1,0.120404,2.412054,[317  37] ; [65 13],[313.02777778  40.97222222] ; [68.97222222  9.02777778],0
n6,1,0.147574,2.097146,[312  42] ; [64 14],[308.11111111  45.88888889] ; [67.88888889 10.11111111],0
p11,1,0.153314,2.038968,[298  58] ; [60 18],[293.65898618  62.34101382] ; [64.34101382 13.65898618],0
v1,1,0.178226,1.812355,[213 130] ; [42 36],[207.75534442 135.24465558] ; [47.24465558 30.75534442],0
r4,1,0.178578,1.809421,[338  18] ; [71  7],[335.49308756  20.50691244] ; [73.50691244  4.49308756],0
u2,1,0.19577,1.673651,[54 35] ; [10 12],[51.31531532 37.68468468] ; [12.68468468  9.31531532],0
n5,1,0.204764,1.608068,[281  72] ; [57 21],[276.83062645  76.16937355] ; [61.16937355 16.83062645],0
a6,1,0.225252,1.470596,[248 107] ; [49 29],[243.49884527 111.50115473] ; [53.50115473 24.49884527],0
p10,1,0.292487,1.108138,[305  47] ; [64 14],[302.06511628  49.93488372] ; [66.93488372 11.06511628],0
v4,1,0.29374,1.102401,[346  10] ; [74  4],[344.51612903  11.48387097] ; [75.48387097  2.51612903],0
b4,1,0.303292,1.059665,[201 155] ; [49 29],[205.06912442 150.93087558] ; [44.93087558 33.06912442],0
p4,1,0.327117,0.960277,[284  72] ; [66 12],[287.09677419  68.90322581] ; [62.90322581 15.09677419],0
u1,1,0.34585,0.888624,[ 74 282] ; [20 58],[ 77.10599078 278.89400922] ; [16.89400922 61.10599078],0
p7,1,0.34618,0.887411,[266  85] ; [63 15],[269.18181818  81.81818182] ; [59.81818182 18.18181818],0
p2,1,0.354098,0.858716,[313  41] ; [66 12],[310.56944444  43.43055556] ; [68.43055556  9.56944444],0
d2,1,0.361163,0.833844,[180 175] ; [44 34],[183.64896074 171.35103926] ; [40.35103926 37.64896074],0
u4,1,0.37782,0.777784,[ 11 345] ; [ 1 77],[  9.84331797 346.15668203] ; [ 2.15668203 75.84331797],0
b1,1,0.391848,0.7332,[150 206] ; [37 41],[153.39170507 202.60829493] ; [33.60829493 44.39170507],0
p5,1,0.427417,0.629833,[ 63 290] ; [11 67],[ 60.60788863 292.39211137] ; [13.39211137 64.60788863],0
a5,1,0.522713,0.408536,[281  75] ; [59 19],[278.89400922  77.10599078] ; [61.10599078 16.89400922],0
d1,1,0.523424,0.407142,[219 137] ; [51 27],[221.47465438 134.52534562] ; [48.52534562 29.47465438],0
d3,1,0.563255,0.334099,[239 117] ; [55 23],[241.16129032 114.83870968] ; [52.83870968 25.16129032],0
p8,1,0.572959,0.317756,[228 125] ; [53 25],[230.14617169 122.85382831] ; [50.85382831 27.14617169],0
a3,1,0.575074,0.314267,[265  89] ; [56 22],[263.04166667  90.95833333] ; [57.95833333 20.04166667],0
r1,1,0.616446,0.250895,[290  64] ; [62 16],[288.44444444  65.55555556] ; [63.55555556 14.44444444],0
s8,1,0.629114,0.233265,[185 170] ; [43 35],[186.92840647 168.07159353] ; [41.07159353 36.92840647],0
a2,1,0.636519,0.223323,[ 96 260] ; [19 59],[ 94.33179724 261.66820276] ; [20.66820276 57.33179724],0
p12,1,0.639781,0.219029,[ 38 315] ; [ 7 71],[ 36.85614849 316.14385151] ; [ 8.14385151 69.85614849],0
u3,1,0.670507,0.18101,[57 33] ; [15  7],[57.85714286 32.14285714] ; [14.14285714  7.85714286],0
a1,1,0.723012,0.125625,[ 22 334] ; [ 4 74],[ 21.32718894 334.67281106] ; [ 4.67281106 73.32718894],0
p1,1,0.765416,0.089029,[ 41 312] ; [10 68],[ 41.77030162 311.22969838] ; [ 9.22969838 68.77030162],0
d5,1,0.796432,0.066547,[300  55] ; [65 13],[299.24942263  55.75057737] ; [65.75057737 12.24942263],0
a4,1,0.858667,0.031709,[169 186] ; [38 40],[169.7113164 185.2886836] ; [37.2886836 40.7113164],0
n2,1,0.896025,0.017078,[39 11] ; [13  4],[38.80597015 11.19402985] ; [13.19402985  3.80597015],0
n1,1,0.931919,0.007298,[20 30] ; [ 7 10],[20.14925373 29.85074627] ; [ 6.85074627 10.14925373],0
b5,1,0.957347,0.00286,[202 154] ; [44 34],[201.78801843 154.21198157] ; [44.21198157 33.78801843],0
d4,1,0.960011,0.002514,[295  60] ; [65 13],[295.15011547  59.84988453] ; [64.84988453 13.15011547],0
