Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,102.236985,[ 91 146] ; [214  45],[145.7358871  91.2641129] ; [159.2641129  99.7358871],1
p8,1,0.0,43.967119,[ 86 150] ; [171  87],[122.77732794 113.22267206] ; [134.22267206 123.77732794],1
p6,1,0.0,28.839354,[ 63 174] ; [128 127],[ 92.00609756 144.99390244] ; [ 98.99390244 156.00609756],1
p5,1,0.0,26.82391,[ 10 226] ; [ 50 206],[ 28.7804878 207.2195122] ; [ 31.2195122 224.7804878],1
p7,1,2e-06,22.557294,[128  98] ; [197  59],[152.38589212  73.61410788] ; [172.61410788  83.38589212],1
a5,1,5.2e-05,16.384546,[151  88] ; [206  53],[171.3313253  67.6686747] ; [185.6686747  73.3313253],1
p1,1,0.000203,13.803224,[  9 228] ; [ 34 223],[ 20.62955466 216.37044534] ; [ 22.37044534 234.62955466],1
s8,1,0.000573,11.860893,[118 120] ; [168  91],[136.95774648 101.04225352] ; [149.04225352 109.95774648],1
s7,1,0.000824,11.187055,[130 101] ; [176  72],[147.56993737  83.43006263] ; [158.43006263  89.56993737],1
n4,1,0.001482,10.100342,[170  68] ; [215  43],[184.73790323  53.26209677] ; [200.26209677  57.73790323],0
b1,1,0.001887,9.656523,[ 79 160] ; [121 138],[ 95.98393574 143.01606426] ; [104.01606426 154.98393574],0
u1,1,0.001916,9.628354,[ 32 207] ; [ 63 196],[ 45.59236948 193.40763052] ; [ 49.40763052 209.59236948],0
p2,1,0.002779,8.947302,[189  49] ; [230  28],[201.05241935  36.94758065] ; [217.94758065  40.05241935],0
p12,1,0.002861,8.89387,[ 14 223] ; [ 36 221],[ 23.98785425 213.01214575] ; [ 26.01214575 230.98785425],0
v3,1,0.00318,8.701165,[ 78 151] ; [117 130],[ 93.81302521 135.18697479] ; [101.18697479 145.81302521],0
d1,1,0.003436,8.559965,[129 110] ; [173  86],[144.93574297  94.06425703] ; [157.06425703 101.93574297],0
p9,1,0.004135,8.223731,[192  44] ; [233  25],[203.03643725  32.96356275] ; [221.96356275  36.03643725],0
d2,1,0.00476,7.968327,[104 134] ; [146 113],[119.71830986 118.28169014] ; [130.28169014 128.71830986],0
p11,1,0.005563,7.686538,[176  63] ; [217  42],[188.60843373  50.39156627] ; [204.39156627  54.60843373],0
a3,1,0.007588,7.128315,[160  78] ; [201  57],[173.22177419  64.77822581] ; [187.77822581  70.22177419],0
p10,1,0.009072,6.808585,[184  51] ; [224  33],[194.87804878  40.12195122] ; [213.12195122  43.87804878],0
