Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,65.754714,[104 113] ; [215  44],[145.42647059  71.57352941] ; [173.57352941  85.42647059],1
p4,1,0.0,46.407444,[101 119] ; [198  62],[137.04166667  82.95833333] ; [161.95833333  98.04166667],1
p3,1,0.0,40.552966,[ 84 135] ; [176  85],[118.625 100.375] ; [141.375 119.625],1
p2,1,2e-06,22.690338,[163  57] ; [237  25],[182.57261411  37.42738589] ; [217.42738589  44.57261411],1
p6,1,3e-06,22.016458,[ 59 158] ; [124 133],[ 83.77848101 133.22151899] ; [ 99.22151899 157.77848101],1
p11,1,3e-06,21.676294,[158  62] ; [232  30],[178.00829876  41.99170124] ; [211.99170124  50.00829876],1
p5,1,5e-05,16.454884,[ 11 209] ; [ 44 218],[ 25.10373444 194.89626556] ; [ 29.89626556 232.10373444],1
n5,1,0.001089,10.669364,[146  71] ; [209  51],[161.49895178  55.50104822] ; [193.50104822  66.49895178],0
v3,1,0.001139,10.586493,[101 114] ; [158  97],[118.4787234  96.5212766] ; [140.5212766 114.4787234],0
r4,1,0.00124,10.430304,[192  28] ; [250  12],[201.74273859  18.25726141] ; [240.25726141  21.74273859],0
p1,1,0.002178,9.393266,[  8 212] ; [ 29 232],[ 16.92307692 203.07692308] ; [ 20.07692308 240.92307692],0
p10,1,0.007571,7.132219,[172  47] ; [227  32],[182.80543933  36.19456067] ; [216.19456067  42.80543933],0
n2,1,0.010523,6.544176,[40 20] ; [34  4],[45.30612245 14.69387755] ; [28.69387755  9.30612245],0
s5,1,0.012455,6.244879,[ 62 147] ; [103 149],[ 74.80477223 134.19522777] ; [ 90.19522777 161.80477223],0
p12,1,0.012897,6.1832,[ 13 206] ; [ 33 228],[ 20.9875 198.0125] ; [ 25.0125 235.9875],0
v4,1,0.013341,6.123344,[201  18] ; [252   8],[207.11273486  11.88726514] ; [245.88726514  14.11273486],0
p9,1,0.016849,5.712024,[178  39] ; [233  27],[186.97484277  30.02515723] ; [224.02515723  35.97484277],0
v1,1,0.018481,5.549949,[127  85] ; [182  77],[139.08280255  72.91719745] ; [169.91719745  89.08280255],0
b5,1,0.028006,4.827674,[141  79] ; [142 120],[129.17012448  90.82987552] ; [153.82987552 108.17012448],0
s8,1,0.036288,4.383539,[ 94 126] ; [135 123],[105.39748954 114.60251046] ; [123.60251046 134.39748954],0
a5,1,0.056237,3.64501,[162  58] ; [212  50],[170.70539419  49.29460581] ; [203.29460581  58.70539419],0
r1,1,0.086993,2.929155,[178  41] ; [227  34],[184.78125  34.21875] ; [220.21875  40.78125],0
n6,1,0.098729,2.725963,[181  38] ; [227  31],[187.32075472  31.67924528] ; [220.67924528  37.32075472],0
u4,1,0.145982,2.113745,[  3 217] ; [  9 253],[  5.47717842 214.52282158] ; [  6.52282158 255.47717842],0
s4,1,0.160806,1.966633,[ 36 183] ; [ 31 228],[ 30.69665272 188.30334728] ; [ 36.30334728 222.69665272],0
n4,1,0.180016,1.797493,[166  53] ; [211  50],[172.00625  46.99375] ; [204.99375  56.00625],0
s7,1,0.203089,1.620023,[104 107] ; [137 111],[110.78649237 100.21350763] ; [130.21350763 117.78649237],0
d5,1,0.292387,1.108597,[189  31] ; [215  46],[184.78170478  35.21829522] ; [219.21829522  41.78170478],0
a3,1,0.325951,0.964917,[160  60] ; [200  61],[164.65696466  55.34303534] ; [195.34303534  65.65696466],0
b2,1,0.332097,0.940704,[48 90] ; [64 95],[52.04040404 85.95959596] ; [59.95959596 99.04040404],0
b3,1,0.332097,0.940704,[48 90] ; [64 95],[52.04040404 85.95959596] ; [59.95959596 99.04040404],0
a8,1,0.334757,0.930407,[ 26 173] ; [ 38 194],[ 29.54988399 169.45011601] ; [ 34.45011601 197.54988399],0
d1,1,0.367583,0.811818,[134  86] ; [170  92],[138.75518672  81.24481328] ; [165.24481328  96.75518672],0
s3,1,0.386889,0.748697,[116  99] ; [150 109],[120.65400844  94.34599156] ; [145.34599156 113.65400844],0
n1,1,0.407824,0.685134,[17 42] ; [14 24],[18.8556701 40.1443299] ; [12.1443299 25.8556701],0
u1,1,0.466176,0.531025,[ 47 173] ; [ 49 213],[ 43.81742739 176.18257261] ; [ 52.18257261 209.81742739],0
r2,1,0.521847,0.410242,[205  12] ; [247  11],[206.49263158  10.50736842] ; [245.50736842  12.49263158],0
s1,1,0.532369,0.389868,[  6 210] ; [  5 256],[  4.98113208 211.01886792] ; [  6.01886792 254.98113208],0
d3,1,0.579935,0.306339,[156  64] ; [191  70],[158.71101871  61.28898129] ; [188.28898129  72.71101871],0
u2,1,0.595819,0.281349,[29 29] ; [34 28],[30.45 27.55] ; [32.55 29.45],0
d4,1,0.70678,0.141515,[187  33] ; [225  36],[188.44074844  31.55925156] ; [223.55925156  37.44074844],0
b1,1,0.732886,0.116478,[ 78 142] ; [ 89 173],[ 76.22406639 143.77593361] ; [ 90.77593361 171.22406639],0
s6,1,0.733013,0.116363,[147  71] ; [175  79],[148.72033898  69.27966102] ; [173.27966102  80.72033898],0
a4,1,0.759471,0.093744,[100 120] ; [115 146],[ 98.33679834 121.66320166] ; [116.66320166 144.33679834],0
a1,1,0.760397,0.093,[ 12 208] ; [ 16 246],[ 12.78008299 207.21991701] ; [ 15.21991701 246.78008299],0
n3,1,0.825146,0.048811,[47 14] ; [30  8],[47.44444444 13.55555556] ; [29.55555556  8.44444444],0
a7,1,0.826726,0.047919,[165  55] ; [198  63],[166.02910603  53.97089397] ; [196.97089397  64.02910603],0
u3,1,0.838963,0.041298,[34 26] ; [34 28],[33.44262295 26.55737705] ; [34.55737705 27.44262295],0
d2,1,0.888824,0.019542,[113 106] ; [133 128],[112.2375 106.7625] ; [133.7625 127.2375],0
b4,1,0.932788,0.007113,[131  89] ; [157 105],[131.45228216  88.54771784] ; [156.54771784 105.45228216],0
a6,1,0.940591,0.005554,[153  67] ; [180  80],[152.625  67.375] ; [180.375  79.625],0
s2,1,0.972591,0.001181,[114 103] ; [137 123],[114.18658281 102.81341719] ; [136.81341719 123.18658281],0
a2,1,0.976064,0.0009,[ 54 166] ; [ 64 198],[ 53.85892116 166.14107884] ; [ 64.14107884 197.85892116],0
