Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,97.874942,[577  41] ; [ 9 16],[563.21617418  54.78382582] ; [22.78382582  2.21617418],1
r2,1,0.0,30.278464,[585  25] ; [17  7],[579.21135647  30.78864353] ; [22.78864353  1.21135647],1
p11,1,2.4e-05,17.811064,[521  97] ; [13 12],[513.23794712 104.76205288] ; [20.76205288  4.23794712],1
r1,1,0.000948,10.925538,[507 109] ; [14 11],[500.68018721 115.31981279] ; [20.31981279  4.68018721],1
v2,1,0.001136,10.59114,[359 233] ; [ 7 18],[351.17017828 240.82982172] ; [14.82982172 10.17017828],0
b1,1,0.001923,9.62176,[209 409] ; [16  9],[216.25194401 401.74805599] ; [ 8.74805599 16.25194401],0
v4,1,0.002015,9.536142,[594  22] ; [21  4],[591.01404056  24.98595944] ; [23.98595944  1.01404056],0
n6,1,0.008738,6.875512,[531  82] ; [17  8],[526.52664577  86.47335423] ; [21.47335423  3.52664577],0
n3,1,0.02064,5.356949,[95 33] ; [4 6],[91.82608696 36.17391304] ; [7.17391304 2.82608696],0
v3,1,0.030638,4.673131,[246 344] ; [ 5 20],[240.79674797 349.20325203] ; [10.20325203 14.79674797],0
s6,1,0.043759,4.065848,[430 177] ; [13 12],[425.47626582 181.52373418] ; [17.52373418  7.47626582],0
n4,1,0.075588,3.157293,[487 130] ; [16  9],[483.41277259 133.58722741] ; [19.58722741  5.41277259],0
b3,1,0.094342,2.798681,[157 216] ; [ 4 14],[153.58823529 219.41176471] ; [ 7.41176471 10.58823529],0
b2,1,0.094342,2.798681,[157 216] ; [ 4 14],[153.58823529 219.41176471] ; [ 7.41176471 10.58823529],0
p7,1,0.101026,2.689272,[403 200] ; [11 11],[399.4272 203.5728] ; [14.5728  7.4272],0
s2,1,0.132341,2.264824,[340 275] ; [10 15],[336.328125 278.671875] ; [13.671875 11.328125],0
a6,1,0.151572,2.056354,[429 188] ; [14 11],[425.74922118 191.25077882] ; [17.25077882  7.74922118],0
a8,1,0.153285,2.039254,[ 85 478] ; [ 1 22],[ 82.62457338 480.37542662] ; [ 3.37542662 19.62457338],0
p10,1,0.217717,1.519357,[561  54] ; [21  4],[559.265625  55.734375] ; [22.734375  2.265625],0
d5,1,0.218957,1.511195,[545  73] ; [20  5],[543.03265941  74.96734059] ; [21.96734059  3.03265941],0
a2,1,0.233471,1.419591,[165 453] ; [ 4 21],[162.42923795 455.57076205] ; [ 6.57076205 18.42923795],0
p2,1,0.233723,1.418061,[537  77] ; [19  5],[535.0846395  78.9153605] ; [20.9153605  3.0846395],0
d1,1,0.25052,1.320404,[437 181] ; [15 10],[434.42612753 183.57387247] ; [17.57387247  7.42612753],0
p5,1,0.25906,1.273774,[ 79 534] ; [ 5 19],[ 80.83516484 532.16483516] ; [ 3.16483516 20.83516484],0
s3,1,0.277445,1.179563,[360 251] ; [12 13],[357.37735849 253.62264151] ; [14.62264151 10.37735849],0
u1,1,0.289023,1.124168,[128 490] ; [ 3 22],[125.9066874 492.0933126] ; [ 5.0933126 19.9066874],0
v1,1,0.325055,0.968499,[347 252] ; [12 13],[344.61698718 254.38301282] ; [14.38301282 10.61698718],0
s4,1,0.350799,0.870564,[103 509] ; [ 6 19],[104.72213501 507.27786499] ; [ 4.27786499 20.72213501],0
p6,1,0.415633,0.662631,[244 364] ; [ 8 17],[242.04739336 365.95260664] ; [ 9.95260664 15.04739336],0
p1,1,0.426103,0.633421,[ 47 568] ; [ 3 22],[ 48.046875 566.953125] ; [ 1.953125 23.046875],0
n1,1,0.464602,0.534784,[49 79] ; [5 5],[50.08695652 77.91304348] ; [3.91304348 6.08695652],0
b5,1,0.491261,0.473763,[378 240] ; [17  8],[379.64230171 238.35769829] ; [15.35769829  9.64230171],0
a7,1,0.498605,0.457903,[457 160] ; [17  8],[455.54205607 161.45794393] ; [18.45794393  6.54205607],0
a4,1,0.551076,0.355394,[309 308] ; [11 14],[307.53894081 309.46105919] ; [12.46105919 12.53894081],0
u2,1,0.560695,0.338503,[89 55] ; [3 3],[88.32 55.68] ; [3.68 2.32],0
p3,1,0.564669,0.331685,[323 294] ; [14 10],[324.38221529 292.61778471] ; [12.61778471 11.38221529],0
a1,1,0.565444,0.330365,[ 33 585] ; [ 2 23],[ 33.63919129 584.36080871] ; [ 1.36080871 23.63919129],0
b4,1,0.611097,0.25858,[364 254] ; [16  9],[365.22550544 252.77449456] ; [14.77449456 10.22550544],0
n5,1,0.617096,0.249971,[468 145] ; [18  7],[466.95611285 146.04388715] ; [19.04388715  5.95611285],0
s8,1,0.62213,0.242885,[302 314] ; [11 14],[300.7925117 315.2074883] ; [12.2074883 12.7925117],0
d2,1,0.623581,0.240866,[327 290] ; [12 13],[325.79906542 291.20093458] ; [13.20093458 11.79906542],0
s5,1,0.671798,0.179506,[221 370] ; [10 14],[221.98536585 369.01463415] ; [ 9.01463415 14.98536585],0
s1,1,0.71896,0.129491,[ 17 594] ; [ 1 24],[ 17.29245283 593.70754717] ; [ 0.70754717 24.29245283],0
p4,1,0.720423,0.128088,[390 224] ; [15 10],[389.15492958 224.84507042] ; [15.84507042  9.15492958],0
u3,1,0.774263,0.082256,[87 56] ; [4 2],[87.33557047 55.66442953] ; [3.66442953 2.33557047],0
p8,1,0.779482,0.078396,[334 275] ; [13 12],[333.3170347 275.6829653] ; [13.6829653 11.3170347],0
a5,1,0.783149,0.075745,[484 134] ; [19  6],[483.44323484 134.55676516] ; [19.55676516  5.44323484],0
n2,1,0.801709,0.063069,[95 34] ; [7 3],[94.6618705 34.3381295] ; [7.3381295 2.6618705],0
p12,1,0.807993,0.059057,[ 58 556] ; [ 2 23],[ 57.65258216 556.34741784] ; [ 2.34741784 22.65258216],0
d3,1,0.812109,0.056505,[482 136] ; [20  5],[482.48211509 135.51788491] ; [19.51788491  5.48211509],0
a3,1,0.930874,0.007525,[472 143] ; [19  6],[471.8203125 143.1796875] ; [19.1796875  5.8203125],0
s7,1,0.987428,0.000248,[313 285] ; [12 11],[312.96296296 285.03703704] ; [12.03703704 10.96296296],0
