Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,88.771632,[229 174] ; [ 54 214],[169.96870343 233.03129657] ; [113.03129657 154.96870343],1
v1,1,0.0,35.717294,[268 139] ; [116 156],[230.17378498 176.82621502] ; [153.82621502 118.17378498],1
p9,1,0.000622,11.709304,[354  51] ; [213  62],[337.69852941  67.30147059] ; [229.30147059  45.69852941],1
s1,1,0.000876,11.073791,[  7 401] ; [ 18 254],[ 15. 393.] ; [ 10. 262.],1
p10,1,0.000902,11.019242,[346  61] ; [205  69],[329.30543319  77.69456681] ; [221.69456681  52.30543319],1
a5,1,0.000995,10.837002,[337  77] ; [195  81],[319.2  94.8] ; [212.8  63.2],1
b1,1,0.005964,7.561018,[139 276] ; [121 155],[156.15050651 258.84949349] ; [103.84949349 172.15050651],0
a3,1,0.013626,6.08596,[316  97] ; [187  88],[301.94622093 111.05377907] ; [201.05377907  73.94622093],0
a7,1,0.014986,5.918165,[320  93] ; [191  85],[306.30333817 106.69666183] ; [204.69666183  71.30333817],0
p3,1,0.020143,5.399452,[222 188] ; [124 151],[207.09489051 202.90510949] ; [138.90510949 136.09489051],0
s4,1,0.047208,3.937969,[ 57 353] ; [ 53 217],[ 66.32352941 343.67647059] ; [ 43.67647059 226.32352941],0
p12,1,0.051483,3.792474,[ 41 367] ; [ 16 258],[ 34.09970674 373.90029326] ; [ 22.90029326 251.09970674],0
a6,1,0.064466,3.418591,[297 115] ; [180  95],[286.06113537 125.93886463] ; [190.93886463  84.06113537],0
p7,1,0.069063,3.305155,[275 127] ; [167 104],[264.01783061 137.98216939] ; [177.98216939  93.01783061],0
d1,1,0.079768,3.069613,[268 147] ; [160 116],[257.04775687 157.95224313] ; [170.95224313 105.04775687],0
u3,1,0.091126,2.85436,[58 41] ; [62 26],[63.52941176 35.47058824] ; [56.47058824 31.52941176],0
n3,1,0.106051,2.61211,[55 15] ; [43 22],[50.81481481 19.18518519] ; [47.18518519 17.81481481],0
u1,1,0.119642,2.422006,[ 94 321] ; [ 49 227],[ 85.88277858 329.11722142] ; [ 57.11722142 218.88277858],0
d4,1,0.123019,2.378451,[357  56] ; [225  49],[349.87772926  63.12227074] ; [232.12227074  41.87772926],0
a1,1,0.129036,2.304067,[ 22 393] ; [  8 268],[ 18.01736614 396.98263386] ; [ 11.98263386 264.01736614],0
s8,1,0.139134,2.187516,[201 209] ; [119 156],[191.53284672 218.46715328] ; [128.46715328 146.53284672],0
p11,1,0.147224,2.100777,[339  76] ; [213  63],[331.5195369  83.4804631] ; [220.4804631  55.5195369],0
s7,1,0.151503,2.05705,[212 182] ; [127 137],[202.98784195 191.01215805] ; [136.01215805 127.98784195],0
p8,1,0.157681,1.996326,[227 178] ; [139 136],[217.98529412 187.01470588] ; [148.01470588 126.98529412],0
n6,1,0.16481,1.929528,[353  57] ; [226  49],[346.55474453  63.44525547] ; [232.44525547  42.55474453],0
d5,1,0.173652,1.851131,[349  65] ; [220  54],[342.39244186  71.60755814] ; [226.60755814  47.39244186],0
d2,1,0.207349,1.589837,[220 193] ; [133 142],[211.90261628 201.09738372] ; [141.09738372 133.90261628],0
n2,1,0.23707,1.39793,[52 17] ; [45 23],[48.8540146 20.1459854] ; [48.1459854 19.8540146],0
b4,1,0.286985,1.133712,[247 168] ; [153 123],[240.23154848 174.76845152] ; [159.76845152 116.23154848],0
u4,1,0.288529,1.12647,[ 11 404] ; [  4 272],[  9.00868307 405.99131693] ; [  5.99131693 270.00868307],0
d3,1,0.313937,1.014039,[300 113] ; [190  85],[294.14244186 118.85755814] ; [195.85755814  79.14244186],0
a2,1,0.315293,1.008373,[115 300] ; [ 67 209],[109.30535456 305.69464544] ; [ 72.69464544 203.30535456],0
s3,1,0.321147,0.98427,[226 179] ; [164 111],[232.27941176 172.72058824] ; [157.72058824 117.27941176],0
p4,1,0.356748,0.849307,[257 151] ; [163 111],[251.26099707 156.73900293] ; [168.73900293 105.26099707],0
r4,1,0.369407,0.805659,[403  12] ; [271   5],[404.79015919  10.20984081] ; [269.20984081   6.79015919],0
a8,1,0.385699,0.752459,[ 58 308] ; [ 34 221],[ 54.22222222 311.77777778] ; [ 37.77777778 217.22222222],0
u2,1,0.468714,0.525005,[55 43] ; [54 34],[57.43010753 40.56989247] ; [51.56989247 36.43010753],0
