Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,77.324035,[457  23] ; [ 7 10],[448.12877264  31.87122736] ; [15.87122736  1.12877264],1
r1,1,0.000439,12.357747,[405  72] ; [9 8],[399.75303644  77.24696356] ; [14.24696356  2.75303644],1
s6,1,0.000826,11.18107,[394  75] ; [9 8],[388.90329218  80.09670782] ; [14.09670782  2.90329218],1
p7,1,0.001315,10.32176,[309 154] ; [ 4 11],[303.17782427 159.82217573] ; [9.82217573 5.17782427],0
v4,1,0.002602,9.067328,[461  16] ; [14  3],[458.65384615  18.34615385] ; [16.34615385  0.65384615],0
n6,1,0.004605,8.028433,[402  73] ; [10  7],[397.76422764  77.23577236] ; [14.23577236  2.76422764],0
v2,1,0.006287,7.466033,[259 195] ; [ 4 13],[253.507431 200.492569] ; [9.492569 7.507431],0
p11,1,0.010843,6.490946,[379 101] ; [9 8],[374.72837022 105.27162978] ; [13.27162978  3.72837022],0
p9,1,0.012726,6.206875,[410  65] ; [11  6],[406.45325203  68.54674797] ; [14.54674797  2.45325203],0
a1,1,0.019313,5.472969,[ 23 457] ; [ 3 14],[ 25.11066398 454.88933602] ; [ 0.88933602 16.11066398],0
p2,1,0.024807,5.03732,[405  72] ; [11  6],[401.68421053  75.31578947] ; [14.31578947  2.68421053],0
p4,1,0.030893,4.658878,[292 184] ; [ 6 11],[287.72413793 188.27586207] ; [10.27586207  6.72413793],0
n1,1,0.054475,3.698094,[41 56] ; [8 3],[44.00925926 52.99074074] ; [4.99074074 6.00925926],0
d5,1,0.098136,2.735577,[386  91] ; [11  6],[383.33805668  93.66194332] ; [13.66194332  3.33805668],0
d2,1,0.113077,2.510681,[244 234] ; [12  5],[247.20808081 230.79191919] ; [8.79191919 8.20808081],0
v3,1,0.139163,2.187185,[190 268] ; [ 4 13],[187.05684211 270.94315789] ; [ 6.94315789 10.05684211],0
s1,1,0.139537,2.183061,[ 20 454] ; [ 2 15],[ 21.23828921 452.76171079] ; [ 0.76171079 16.23828921],0
u1,1,0.153393,2.038179,[ 95 385] ; [ 1 16],[ 92.71629779 387.28370221] ; [ 3.28370221 13.71629779],0
p10,1,0.170352,1.879842,[395  79] ; [12  5],[392.90835031  81.09164969] ; [14.09164969  2.90835031],0
a2,1,0.201123,1.634203,[122 358] ; [ 2 15],[119.75855131 360.24144869] ; [ 4.24144869 12.75855131],0
v1,1,0.23939,1.384184,[257 205] ; [ 7 10],[254.63048017 207.36951983] ; [9.36951983 7.63048017],0
p1,1,0.246342,1.343928,[ 44 432] ; [ 3 14],[ 45.37931034 430.62068966] ; [ 1.62068966 15.37931034],0
a7,1,0.252823,1.307639,[343 136] ; [10  7],[340.90120968 138.09879032] ; [12.09879032  4.90120968],0
n5,1,0.259923,1.269166,[365 112] ; [15  2],[366.92307692 110.07692308] ; [13.07692308  3.92307692],0
b1,1,0.269311,1.220253,[190 290] ; [9 8],[192.19315895 287.80684105] ; [ 6.80684105 10.19315895],0
n2,1,0.309628,1.032262,[77 22] ; [10  1],[78.3 20.7] ; [8.7 2.3],0
d3,1,0.330821,0.945683,[334 144] ; [10  7],[332.18585859 145.81414141] ; [11.81414141  5.18585859],0
p3,1,0.371353,0.799131,[249 228] ; [ 7 10],[247.1902834 229.8097166] ; [8.8097166 8.1902834],0
p8,1,0.380248,0.769901,[247 228] ; [ 7 10],[245.22357724 229.77642276] ; [8.77642276 8.22357724],0
s2,1,0.40769,0.685528,[379 101] ; [12  5],[377.62575453 102.37424547] ; [13.37424547  3.62575453],0
d4,1,0.421434,0.646313,[399  77] ; [13  4],[397.79310345  78.20689655] ; [14.20689655  2.79310345],0
p6,1,0.423733,0.639937,[185 289] ; [ 5 12],[183.42158859 290.57841141] ; [ 6.57841141 10.42158859],0
n3,1,0.439874,0.596611,[73 25] ; [7 4],[71.9266055 26.0733945] ; [8.0733945 2.9266055],0
u2,1,0.441953,0.591207,[74 55] ; [2 3],[73.1641791 55.8358209] ; [2.8358209 2.1641791],0
d1,1,0.456762,0.553817,[297 183] ; [9 8],[295.5331992 184.4668008] ; [10.4668008  6.5331992],0
p5,1,0.508772,0.436591,[ 58 415] ; [ 3 14],[ 58.88367347 414.11632653] ; [ 2.11632653 14.88367347],0
a6,1,0.525486,0.403112,[316 161] ; [10  7],[314.78137652 162.21862348] ; [11.21862348  5.78137652],0
p12,1,0.567795,0.326386,[ 48 427] ; [ 1 16],[ 47.30691057 427.69308943] ; [ 1.69308943 15.30691057],0
n4,1,0.657912,0.19607,[372 106] ; [14  3],[372.74343434 105.25656566] ; [13.25656566  3.74343434],0
b4,1,0.672099,0.179156,[286 194] ; [11  6],[286.84104628 193.15895372] ; [10.15895372  6.84104628],0
a5,1,0.745553,0.105305,[350 130] ; [13  4],[350.58350101 129.41649899] ; [12.41649899  4.58350101],0
b3,1,0.811797,0.056696,[112 176] ; [5 9],[111.57615894 176.42384106] ; [5.42384106 8.57615894],0
b2,1,0.811797,0.056696,[112 176] ; [5 9],[111.57615894 176.42384106] ; [5.42384106 8.57615894],0
a3,1,0.82504,0.048871,[349 129] ; [12  5],[348.6020202 129.3979798] ; [12.3979798  4.6020202],0
s7,1,0.855193,0.033305,[299 163] ; [10  6],[298.65690377 163.34309623] ; [10.34309623  5.65690377],0
s4,1,0.86924,0.027101,[104 372] ; [ 4 13],[104.27586207 371.72413793] ; [ 3.72413793 13.27586207],0
u3,1,0.89926,0.016027,[81 48] ; [3 2],[80.86567164 48.13432836] ; [3.13432836 1.86567164],0
s8,1,0.902103,0.01513,[274 204] ; [10  7],[274.24646465 203.75353535] ; [9.75353535 7.24646465],0
s5,1,0.904799,0.014305,[194 261] ; [ 7 10],[193.76059322 261.23940678] ; [7.23940678 9.76059322],0
a4,1,0.91331,0.011851,[219 260] ; [8 9],[219.21975806 259.78024194] ; [7.78024194 9.21975806],0
b5,1,0.995171,3.7e-05,[282 198] ; [10  7],[282.01207243 197.98792757] ; [9.98792757 7.01207243],0
