Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,73.86545,[166   9] ; [ 3 11],[156.48148148  18.51851852] ; [12.51851852  1.48148148],1
v4,1,0.0,30.557203,[168   7] ; [8 6],[162.96296296  12.03703704] ; [13.03703704  0.96296296],1
r2,1,3e-06,21.629123,[166   7] ; [9 5],[161.89839572  11.10160428] ; [13.10160428  0.89839572],1
r1,1,0.000135,14.570951,[139  34] ; [5 9],[133.21925134  39.78074866] ; [10.78074866  3.21925134],1
n3,1,0.000772,11.307692,[24  2] ; [1 3],[21.66666667  4.33333333] ; [3.33333333 0.66666667],1
v2,1,0.00149,10.090342,[103  67] ; [ 2 11],[97.54098361 72.45901639] ; [7.45901639 5.54098361],0
p11,1,0.002869,8.88878,[145  30] ; [7 7],[140.74074074  34.25925926] ; [11.25925926  2.74074074],0
a7,1,0.003889,8.334975,[135  39] ; [6 8],[130.5  43.5] ; [10.5  3.5],0
d5,1,0.022523,5.204893,[144  31] ; [8 6],[140.74074074  34.25925926] ; [11.25925926  2.74074074],0
u3,1,0.027139,4.881953,[44 26] ; [1 5],[41.44736842 28.55263158] ; [3.55263158 2.44736842],0
p6,1,0.074198,3.187625,[ 66 107] ; [ 2 12],[ 62.90909091 110.09090909] ; [5.09090909 8.90909091],0
v1,1,0.122477,2.385362,[97 73] ; [5 9],[94.23913043 75.76086957] ; [7.76086957 6.23913043],0
v3,1,0.137248,2.208541,[ 61 110] ; [ 2 11],[ 58.54891304 112.45108696] ; [4.45108696 8.54891304],0
p10,1,0.170055,1.882461,[139  35] ; [9 5],[136.9787234  37.0212766] ; [11.0212766  2.9787234],0
p1,1,0.173483,1.852584,[ 17 157] ; [ 3 11],[ 18.5106383 155.4893617] ; [ 1.4893617 12.5106383],0
s1,1,0.17448,1.844027,[  3 172] ; [ 1 13],[  3.7037037 171.2962963] ; [ 0.2962963 13.7037037],0
p7,1,0.230128,1.440072,[125  48] ; [8 6],[123.04278075  49.95721925] ; [9.95721925 4.04278075],0
p2,1,0.23197,1.42874,[146  28] ; [10  4],[144.38297872  29.61702128] ; [11.61702128  2.38297872],0
n6,1,0.243325,1.361225,[144  31] ; [9 4],[142.42021277  32.57978723] ; [10.57978723  2.42021277],0
n5,1,0.244899,1.352173,[125  49] ; [8 6],[123.09574468  50.90425532] ; [9.90425532 4.09574468],0
a4,1,0.261651,1.26,[77 98] ; [ 4 10],[ 75. 100.] ; [6. 8.],0
s8,1,0.265965,1.237442,[ 49 126] ; [ 2 12],[ 47.22222222 127.77777778] ; [ 3.77777778 10.22222222],0
a6,1,0.281982,1.157512,[124  51] ; [8 6],[122.22222222  52.77777778] ; [9.77777778 4.22222222],0
p8,1,0.31812,0.99666,[111  64] ; [7 7],[109.25925926  65.74074074] ; [8.74074074 5.25925926],0
s6,1,0.336676,0.923046,[96 75] ; [6 8],[94.28108108 76.71891892] ; [7.71891892 6.28108108],0
p9,1,0.345637,0.889412,[143  32] ; [10  4],[141.66666667  33.33333333] ; [11.33333333  2.66666667],0
p4,1,0.356695,0.849495,[132  43] ; [9 5],[130.55555556  44.44444444] ; [10.44444444  3.55555556],0
d1,1,0.363387,0.826155,[97 78] ; [6 8],[95.37037037 79.62962963] ; [7.62962963 6.37037037],0
u2,1,0.433113,0.614461,[35 35] ; [2 4],[34.07894737 35.92105263] ; [2.92105263 3.07894737],0
b2,1,0.439244,0.598256,[36 67] ; [2 7],[34.94642857 68.05357143] ; [3.05357143 5.94642857],0
b3,1,0.439244,0.598256,[36 67] ; [2 7],[34.94642857 68.05357143] ; [3.05357143 5.94642857],0
s3,1,0.442816,0.588975,[ 72 101] ; [4 9],[ 70.68817204 102.31182796] ; [5.31182796 7.68817204],0
a5,1,0.475179,0.509907,[128  47] ; [9 5],[126.85185185  48.14814815] ; [10.14814815  3.85185185],0
p5,1,0.639654,0.219195,[ 18 157] ; [ 2 12],[ 18.51851852 156.48148148] ; [ 1.48148148 12.51851852],0
b1,1,0.694399,0.154364,[78 97] ; [7 7],[78.7037037 96.2962963] ; [6.2962963 7.7037037],0
a8,1,0.718912,0.129538,[ 17 139] ; [ 1 12],[ 16.61538462 139.38461538] ; [ 1.38461538 11.61538462],0
b4,1,0.784097,0.075067,[106  69] ; [9 5],[106.48148148  68.51851852] ; [8.51851852 5.48148148],0
s2,1,0.813711,0.055527,[ 55 119] ; [ 4 10],[ 54.60638298 119.39361702] ; [4.39361702 9.60638298],0
