Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000696,11.500045,[ 1 13] ; [8 3],[5.04 8.96] ; [3.96 7.04],1
n2,1,0.008041,7.024306,[1 5] ; [7 1],[3.42857143 2.57142857] ; [4.57142857 3.42857143],0
v3,1,0.106343,2.607745,[ 2 11] ; [5 6],[3.79166667 9.20833333] ; [3.20833333 7.79166667],0
s3,1,0.11259,2.517483,[ 3 10] ; [6 5],[4.875 8.125] ; [4.125 6.875],0
d3,1,0.12182,2.393769,[9 5] ; [10  1],[10.64  3.36] ; [8.36 2.64],0
v4,1,0.12182,2.393769,[9 5] ; [10  1],[10.64  3.36] ; [8.36 2.64],0
a7,1,0.135305,2.230562,[6 8] ; [8 3],[7.84 6.16] ; [6.16 4.84],0
a2,1,0.172946,1.85722,[ 1 13] ; [3 8],[ 2.24 11.76] ; [1.76 9.24],0
u1,1,0.172946,1.85722,[ 1 13] ; [3 8],[ 2.24 11.76] ; [1.76 9.24],0
r1,1,0.188206,1.731602,[ 4 10] ; [6 5],[5.6 8.4] ; [4.4 6.6],0
p6,1,0.188206,1.731602,[ 4 10] ; [6 5],[5.6 8.4] ; [4.4 6.6],0
a3,1,0.189225,1.723644,[8 6] ; [9 2],[9.52 4.48] ; [7.48 3.52],0
s4,1,0.199482,1.646161,[ 2 12] ; [4 7],[ 3.36 10.64] ; [2.64 8.36],0
n5,1,0.226765,1.461039,[10  4] ; [10  1],[11.2  2.8] ; [8.8 2.2],0
p10,1,0.332474,0.939239,[9 5] ; [9 2],[10.08  3.92] ; [7.92 3.08],0
p9,1,0.332474,0.939239,[9 5] ; [9 2],[10.08  3.92] ; [7.92 3.08],0
d2,1,0.346419,0.886532,[5 9] ; [6 5],[6.16 7.84] ; [4.84 6.16],0
p3,1,0.346419,0.886532,[9 5] ; [5 6],[7.84 6.16] ; [6.16 4.84],0
s2,1,0.346419,0.886532,[5 9] ; [6 5],[6.16 7.84] ; [4.84 6.16],0
b4,1,0.346419,0.886532,[9 5] ; [5 6],[7.84 6.16] ; [6.16 4.84],0
n4,1,0.382677,0.762085,[10  4] ; [6 5],[8.96 5.04] ; [7.04 3.96],0
p7,1,0.382677,0.762085,[10  4] ; [6 5],[8.96 5.04] ; [7.04 3.96],0
p12,1,0.399164,0.710842,[ 1 13] ; [2 9],[ 1.68 12.32] ; [1.32 9.68],0
d5,1,0.420345,0.649351,[8 6] ; [8 3],[8.96 5.04] ; [7.04 3.96],0
a6,1,0.420345,0.649351,[8 6] ; [8 3],[8.96 5.04] ; [7.04 3.96],0
b2,1,0.423139,0.641581,[3 8] ; [4 5],[3.85 7.15] ; [3.15 5.85],0
b3,1,0.423139,0.641581,[3 8] ; [4 5],[3.85 7.15] ; [3.15 5.85],0
p8,1,0.475512,0.509138,[10  3] ; [7 4],[9.20833333 3.79166667] ; [7.79166667 3.20833333],0
a5,1,0.545991,0.364548,[10  4] ; [9 2],[10.64  3.36] ; [8.36 2.64],0
p11,1,0.621685,0.243506,[9 5] ; [6 5],[8.4 5.6] ; [6.6 4.4],0
v1,1,0.621685,0.243506,[5 9] ; [5 6],[5.6 8.4] ; [4.4 6.6],0
n3,1,0.639994,0.21875,[3 3] ; [3 5],[2.57142857 3.42857143] ; [3.42857143 4.57142857],0
n6,1,0.642271,0.215784,[11  2] ; [10  1],[11.375  1.625] ; [9.625 1.375],0
d4,1,0.653329,0.201728,[9 5] ; [8 3],[9.52 4.48] ; [7.48 3.52],0
r4,1,0.67844,0.171887,[ 4 10] ; [4 7],[4.48 9.52] ; [3.52 7.48],0
p1,1,0.691545,0.157418,[ 2 12] ; [ 1 10],[ 1.68 12.32] ; [1.32 9.68],0
s1,1,0.691545,0.157418,[ 2 12] ; [ 1 10],[ 1.68 12.32] ; [1.32 9.68],0
a4,1,0.742174,0.108225,[6 8] ; [4 7],[5.6 8.4] ; [4.4 6.6],0
b5,1,0.742174,0.108225,[8 6] ; [7 4],[8.4 5.6] ; [6.6 4.4],0
b1,1,0.742174,0.108225,[8 6] ; [7 4],[8.4 5.6] ; [6.6 4.4],0
p5,1,0.768589,0.086566,[ 3 10] ; [2 9],[ 2.70833333 10.29166667] ; [2.29166667 8.70833333],0
r2,1,0.769698,0.085714,[9 5] ; [7 3],[9.33333333 4.66666667] ; [6.66666667 3.33333333],0
s6,1,0.896669,0.016866,[6 8] ; [5 6],[6.16 7.84] ; [4.84 6.16],0
d1,1,0.896669,0.016866,[6 8] ; [5 6],[6.16 7.84] ; [4.84 6.16],0
v2,1,0.915759,0.011189,[5 8] ; [4 7],[4.875 8.125] ; [4.125 6.875],0
s5,1,0.939491,0.005762,[ 4 10] ; [3 7],[4.08333333 9.91666667] ; [2.91666667 7.08333333],0
n1,1,1.0,0.0,[3 3] ; [4 4],[3. 3.] ; [4. 4.],0
