Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.010324,6.578074,[11  5] ; [ 7 18],[7.02439024 8.97560976] ; [10.97560976 14.02439024],0
r4,1,0.016035,5.79906,[ 5 11] ; [ 1 24],[ 2.34146341 13.65853659] ; [ 3.65853659 21.34146341],0
n2,1,0.043581,4.072727,[8 4] ; [2 7],[5.71428571 6.28571429] ; [4.28571429 4.71428571],0
b3,1,0.046847,3.950874,[2 9] ; [11  9],[4.61290323 6.38709677] ; [ 8.38709677 11.61290323],0
b2,1,0.046847,3.950874,[2 9] ; [11  9],[4.61290323 6.38709677] ; [ 8.38709677 11.61290323],0
b4,1,0.086932,2.930294,[12  4] ; [12 13],[9.36585366 6.63414634] ; [14.63414634 10.36585366],0
s7,1,0.098868,2.72371,[ 4 10] ; [ 2 22],[ 2.21052632 11.78947368] ; [ 3.78947368 20.21052632],0
p5,1,0.132026,2.268519,[ 3 13] ; [ 1 23],[ 1.6 14.4] ; [ 2.4 21.6],0
p10,1,0.136037,2.222222,[ 6 10] ; [ 4 20],[ 4. 12.] ; [ 6. 18.],0
d2,1,0.153508,2.037037,[ 5 11] ; [13 11],[7.2 8.8] ; [10.8 13.2],0
a7,1,0.159729,1.976786,[10  6] ; [10 15],[7.80487805 8.19512195] ; [12.19512195 12.80487805],0
r2,1,0.162587,1.95,[12  3] ; [14 10],[10.  5.] ; [16.  8.],0
u3,1,0.170904,1.875,[2 3] ; [1 9],[1. 4.] ; [2. 8.],0
s3,1,0.182782,1.774859,[5 9] ; [ 4 20],[ 3.31578947 10.68421053] ; [ 5.68421053 18.31578947],0
a3,1,0.237923,1.392857,[11  3] ; [15 10],[9.33333333 4.66666667] ; [16.66666667  8.33333333],0
b5,1,0.24909,1.3284,[8 8] ; [ 8 17],[6.24390244 9.75609756] ; [ 9.75609756 15.24390244],0
s6,1,0.249819,1.324314,[ 5 11] ; [ 4 21],[ 3.51219512 12.48780488] ; [ 5.48780488 19.51219512],0
n3,1,0.278503,1.174381,[5 6] ; [2 7],[3.85 7.15] ; [3.15 5.85],0
p8,1,0.279227,1.170848,[ 5 11] ; [ 4 20],[ 3.6 12.4] ; [ 5.4 18.6],0
s1,1,0.280526,1.164538,[ 4 12] ; [ 3 22],[ 2.73170732 13.26829268] ; [ 4.26829268 20.73170732],0
p7,1,0.285735,1.13961,[ 1 13] ; [ 5 20],[ 2.15384615 11.84615385] ; [ 3.84615385 21.15384615],0
s4,1,0.304839,1.052903,[ 3 13] ; [ 2 23],[ 1.95121951 14.04878049] ; [ 3.04878049 21.95121951],0
s2,1,0.304839,1.052903,[ 3 13] ; [ 2 23],[ 1.95121951 14.04878049] ; [ 3.04878049 21.95121951],0
n1,1,0.308512,1.037037,[8 4] ; [4 5],[6.85714286 5.14285714] ; [5.14285714 3.85714286],0
a6,1,0.308745,1.036035,[7 9] ; [15 10],[8.58536585 7.41463415] ; [13.41463415 11.58536585],0
a1,1,0.364726,0.821553,[ 2 14] ; [ 6 19],[ 3.12195122 12.87804878] ; [ 4.87804878 20.12195122],0
d1,1,0.374753,0.787843,[8 8] ; [ 9 16],[6.63414634 9.36585366] ; [10.36585366 14.63414634],0
n5,1,0.413206,0.669556,[11  5] ; [20  5],[12.09756098  3.90243902] ; [18.90243902  6.09756098],0
n6,1,0.433357,0.613811,[8 8] ; [ 9 15],[6.8 9.2] ; [10.2 13.8],0
a5,1,0.529092,0.396135,[8 8] ; [15 10],[8.97560976 7.02439024] ; [14.02439024 10.97560976],0
p1,1,0.533561,0.387605,[ 2 14] ; [ 5 20],[ 2.73170732 13.26829268] ; [ 4.26829268 20.73170732],0
a2,1,0.550836,0.355821,[ 3 13] ; [ 3 22],[ 2.34146341 13.65853659] ; [ 3.65853659 21.34146341],0
p9,1,0.555818,0.346997,[ 5 11] ; [ 5 17],[ 4.21052632 11.78947368] ; [ 5.78947368 16.21052632],0
v3,1,0.609283,0.26122,[ 5 11] ; [ 6 19],[ 4.29268293 11.70731707] ; [ 6.70731707 18.29268293],0
s5,1,0.635714,0.224392,[ 2 14] ; [ 2 23],[ 1.56097561 14.43902439] ; [ 2.43902439 22.56097561],0
b1,1,0.680264,0.169828,[10  6] ; [14 11],[9.36585366 6.63414634] ; [14.63414634 10.36585366],0
d5,1,0.680264,0.169828,[10  6] ; [14 11],[9.36585366 6.63414634] ; [14.63414634 10.36585366],0
d4,1,0.680264,0.169828,[10  6] ; [14 11],[9.36585366 6.63414634] ; [14.63414634 10.36585366],0
a8,1,0.691862,0.157077,[ 1 13] ; [ 1 23],[ 0.73684211 13.26315789] ; [ 1.26315789 22.73684211],0
v2,1,0.717688,0.130719,[ 2 14] ; [ 4 20],[ 2.4 13.6] ; [ 3.6 20.4],0
p3,1,0.757093,0.095667,[ 2 14] ; [ 4 21],[ 2.34146341 13.65853659] ; [ 3.65853659 21.34146341],0
p11,1,0.757093,0.095667,[ 2 14] ; [ 4 21],[ 2.34146341 13.65853659] ; [ 3.65853659 21.34146341],0
p6,1,0.767097,0.087719,[ 1 15] ; [ 1 23],[ 0.8 15.2] ; [ 1.2 22.8],0
n4,1,0.823451,0.049777,[11  5] ; [18  7],[11.31707317  4.68292683] ; [17.68292683  7.31707317],0
a4,1,0.918006,0.010598,[6 9] ; [10 14],[6.15384615 8.84615385] ; [ 9.84615385 14.15384615],0
v1,1,0.942017,0.00529,[ 4 12] ; [ 6 19],[ 3.90243902 12.09756098] ; [ 6.09756098 18.90243902],0
d3,1,0.987446,0.000248,[7 9] ; [11 14],[7.02439024 8.97560976] ; [10.97560976 14.02439024],0
u2,1,1.0,0.0,[1 4] ; [2 8],[1. 4.] ; [2. 8.],0
