Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,65.762343,[ 4 11] ; [320  27],[13.42541436  1.57458564] ; [310.57458564  36.42541436],1
r2,1,4e-06,21.499248,[10  4] ; [332  11],[13.41176471  0.58823529] ; [328.58823529  14.41176471],1
r1,1,1.6e-05,18.612006,[6 9] ; [289  56],[12.29166667  2.70833333] ; [282.70833333  62.29166667],1
v4,1,2.1e-05,18.133975,[11  4] ; [332  12],[14.33147632  0.66852368] ; [328.66852368  15.33147632],1
p9,1,0.001326,10.30624,[9 6] ; [303  40],[13.0726257  1.9273743] ; [298.9273743  44.0726257],0
d5,1,0.001721,9.825195,[8 7] ; [291  54],[12.45833333  2.54166667] ; [286.54166667  58.45833333],0
s6,1,0.003111,8.740959,[8 7] ; [284  57],[12.30337079  2.69662921] ; [279.69662921  61.30337079],0
v2,1,0.005762,7.62318,[ 4 11] ; [211 128],[9.11016949 5.88983051] ; [205.88983051 133.11016949],0
d4,1,0.008817,6.859551,[9 6] ; [294  51],[12.625  2.375] ; [290.375  54.625],0
p10,1,0.010146,6.609013,[9 6] ; [293  52],[12.58333333  2.41666667] ; [289.41666667  55.58333333],0
p7,1,0.010923,6.477725,[5 9] ; [231 107],[9.38636364 4.61363636] ; [226.61363636 111.38636364],0
d1,1,0.017468,5.64878,[ 5 10] ; [221 126],[9.36464088 5.63535912] ; [216.63535912 130.36464088],0
p11,1,0.023236,5.150758,[8 7] ; [272  75],[11.60220994  3.39779006] ; [268.39779006  78.60220994],0
n4,1,0.029687,4.727306,[9 6] ; [284  61],[12.20833333  2.79166667] ; [280.79166667  64.20833333],0
s4,1,0.031731,4.612955,[7 8] ; [ 78 267],[ 3.54166667 11.45833333] ; [ 81.45833333 263.54166667],0
p3,1,0.049113,3.871497,[ 4 11] ; [182 164],[7.72853186 7.27146814] ; [178.27146814 167.72853186],0
s1,1,0.054437,3.699237,[ 2 13] ; [ 12 331],[ 0.58659218 14.41340782] ; [ 13.41340782 329.58659218],0
a5,1,0.064891,3.407749,[9 6] ; [277  70],[11.85082873  3.14917127] ; [274.14917127  72.85082873],0
a4,1,0.073208,3.209591,[ 4 11] ; [174 172],[7.39612188 7.60387812] ; [170.60387812 175.39612188],0
v1,1,0.079392,3.077307,[ 5 10] ; [191 148],[8.30508475 6.69491525] ; [187.69491525 151.30508475],0
u1,1,0.088494,2.901562,[ 1 14] ; [ 91 256],[ 3.8121547 11.1878453] ; [ 88.1878453 258.8121547],0
n6,1,0.123641,2.37058,[11  4] ; [299  44],[12.98882682  2.01117318] ; [297.01117318  45.98882682],0
a2,1,0.142442,2.151377,[ 2 13] ; [108 239],[ 4.55801105 10.44198895] ; [105.44198895 241.55801105],0
v3,1,0.176713,1.825053,[ 4 11] ; [149 187],[6.53846154 8.46153846] ; [146.46153846 189.53846154],0
s3,1,0.250604,1.319933,[9 6] ; [252  91],[10.93575419  4.06424581] ; [250.06424581  92.93575419],0
a6,1,0.252323,1.310397,[8 7] ; [233 112],[10.04166667  4.95833333] ; [230.95833333 114.04166667],0
s2,1,0.289369,1.122554,[9 6] ; [251  95],[10.8033241  4.1966759] ; [249.1966759  96.8033241],0
s5,1,0.300327,1.072743,[ 4 10] ; [142 192],[5.87356322 8.12643678] ; [140.12643678 193.87356322],0
b1,1,0.316472,1.003473,[8 7] ; [140 207],[6.13259669 8.86740331] ; [141.86740331 205.13259669],0
p1,1,0.320071,0.988657,[ 2 13] ; [ 23 322],[ 1.04166667 13.95833333] ; [ 23.95833333 321.04166667],0
b5,1,0.34,0.910431,[11  4] ; [212 135],[9.24033149 5.75966851] ; [213.75966851 133.24033149],0
p8,1,0.396815,0.717955,[6 9] ; [174 166],[7.6056338 7.3943662] ; [172.3943662 167.6056338],0
n3,1,0.426042,0.633589,[6 4] ; [52 20],[7.07317073 2.92682927] ; [50.92682927 21.07317073],0
a3,1,0.431786,0.618015,[11  4] ; [281  64],[12.16666667  2.83333333] ; [279.83333333  65.16666667],0
a7,1,0.438099,0.601257,[9 6] ; [241 106],[10.35911602  4.64088398] ; [239.64088398 107.35911602],0
b4,1,0.439726,0.596997,[7 8] ; [197 150],[8.45303867 6.54696133] ; [195.54696133 151.45303867],0
b2,1,0.467349,0.528238,[4 9] ; [ 97 140],[5.252 7.748] ; [ 95.748 141.252],0
b3,1,0.467349,0.528238,[4 9] ; [ 97 140],[5.252 7.748] ; [ 95.748 141.252],0
d2,1,0.501109,0.452588,[7 8] ; [192 154],[8.26869806 6.73130194] ; [190.73130194 155.26869806],0
s8,1,0.59259,0.286317,[9 6] ; [230 115],[9.95833333 5.04166667] ; [229.04166667 115.95833333],0
p2,1,0.647811,0.208671,[12  3] ; [292  54],[12.63157895  2.36842105] ; [291.36842105  54.63157895],0
u2,1,0.672118,0.179135,[3 1] ; [42 23],[2.60869565 1.39130435] ; [42.39130435 22.60869565],0
d3,1,0.674015,0.176941,[10  5] ; [248  98],[10.72022161  4.27977839] ; [247.27977839  98.72022161],0
