Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1.4e-05,18.831785,[33 38] ; [70 18],[45.99371069 25.00628931] ; [57.00628931 30.99371069],1
a3,1,3.6e-05,17.047323,[23 47] ; [58 30],[35.88607595 34.11392405] ; [45.11392405 42.88607595],1
r1,1,0.000529,12.01163,[48 23] ; [79  9],[56.71069182 14.28930818] ; [70.28930818 17.71069182],1
a4,1,0.00147,10.115715,[ 7 63] ; [27 60],[15.15923567 54.84076433] ; [18.84076433 68.15923567],0
p8,1,0.00376,8.396013,[26 44] ; [52 34],[35. 35.] ; [43. 43.],0
b3,1,0.004388,8.115669,[ 9 33] ; [26 26],[15.63829787 26.36170213] ; [19.36170213 32.63829787],0
b2,1,0.004388,8.115669,[ 9 33] ; [26 26],[15.63829787 26.36170213] ; [19.36170213 32.63829787],0
s7,1,0.004447,8.091681,[20 48] ; [43 39],[28.56 39.44] ; [34.44 47.56],0
p3,1,0.004989,7.883515,[21 50] ; [45 42],[29.65822785 41.34177215] ; [36.34177215 50.65822785],0
a7,1,0.007592,7.127249,[38 33] ; [65 23],[45.99371069 25.00628931] ; [57.00628931 30.99371069],0
b1,1,0.009212,6.781351,[21 50] ; [44 44],[29.02515723 41.97484277] ; [35.97484277 52.02515723],0
v3,1,0.022754,5.187217,[19 50] ; [39 47],[25.81935484 43.18064516] ; [32.18064516 53.81935484],0
v2,1,0.030685,4.670508,[24 41] ; [47 39],[30.56291391 34.43708609] ; [40.43708609 45.56291391],0
p4,1,0.038864,4.26681,[27 42] ; [48 38],[33.38709677 35.61290323] ; [41.61290323 44.38709677],0
p10,1,0.044243,4.047254,[45 25] ; [67 18],[50.58064516 19.41935484] ; [61.41935484 23.58064516],0
d2,1,0.044671,4.031035,[12 59] ; [27 61],[17.41509434 53.58490566] ; [21.58490566 66.41509434],0
d1,1,0.067168,3.350917,[ 2 69] ; [ 9 79],[ 4.91194969 66.08805031] ; [ 6.08805031 81.91194969],0
d3,1,0.073153,3.210811,[27 44] ; [46 42],[32.59748428 38.40251572] ; [40.40251572 47.59748428],0
s5,1,0.083546,2.994527,[15 52] ; [30 55],[19.83552632 47.16447368] ; [25.16447368 59.83552632],0
n4,1,0.095031,2.78702,[43 27] ; [65 23],[47.84810127 22.15189873] ; [60.15189873 27.84810127],0
p1,1,0.105429,2.621436,[ 6 65] ; [15 72],[ 9.43670886 61.56329114] ; [11.56329114 75.43670886],0
p12,1,0.14207,2.155399,[ 4 66] ; [11 76],[ 6.68789809 63.31210191] ; [ 8.31210191 78.68789809],0
v1,1,0.143196,2.143269,[28 42] ; [45 42],[32.5477707 37.4522293] ; [40.4522293 46.5477707],0
s2,1,0.176558,1.826361,[27 43] ; [42 43],[31.16129032 38.83870968] ; [37.83870968 47.16129032],0
s8,1,0.178443,1.810547,[20 51] ; [33 53],[23.96815287 47.03184713] ; [29.03184713 56.96815287],0
p2,1,0.180583,1.792822,[47 24] ; [66 21],[50.77848101 20.22151899] ; [62.22151899 24.77848101],0
