Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,61.296956,[109  63] ; [ 1 52],[84.08888889 87.91111111] ; [25.91111111 27.08888889],1
d5,1,0.0,48.469467,[149  23] ; [21 32],[129.95555556  42.04444444] ; [40.04444444 12.95555556],1
a5,1,9e-06,19.725715,[133  39] ; [24 29],[120.01777778  51.98222222] ; [36.98222222 16.01777778],1
a3,1,9e-06,19.725715,[133  39] ; [24 29],[120.01777778  51.98222222] ; [36.98222222 16.01777778],1
d3,1,5.3e-05,16.323629,[90 82] ; [11 42],[77.20888889 94.79111111] ; [23.79111111 29.20888889],1
p9,1,0.000337,12.851652,[145  23] ; [34 19],[136.07239819  31.92760181] ; [42.92760181 10.07239819],1
v2,1,0.000432,12.389465,[96 72] ; [14 35],[85.16129032 82.83870968] ; [24.83870968 24.16129032],1
d2,1,0.000899,11.02527,[93 78] ; [15 38],[82.44642857 88.55357143] ; [25.55357143 27.44642857],1
a4,1,0.001147,10.573203,[87 85] ; [13 39],[76.78571429 95.21428571] ; [23.21428571 28.78571429],0
s5,1,0.002,9.54926,[75 86] ; [11 39],[65.62085308 95.37914692] ; [20.37914692 29.62085308],0
p10,1,0.003982,8.291806,[136  32] ; [32 20],[128.29090909  39.70909091] ; [39.70909091 12.29090909],0
v1,1,0.007456,7.159797,[97 71] ; [19 33],[88.58181818 79.41818182] ; [27.41818182 24.58181818],0
s2,1,0.009506,6.725267,[91 80] ; [17 35],[82.8161435 88.1838565] ; [25.1838565 26.8161435],0
p7,1,0.014944,5.92311,[115  51] ; [27 26],[107.6347032  58.3652968] ; [34.3652968 18.6347032],0
b2,1,0.015611,5.846199,[56 56] ; [ 9 25],[49.8630137 62.1369863] ; [15.1369863 18.8630137],0
b3,1,0.015611,5.846199,[56 56] ; [ 9 25],[49.8630137 62.1369863] ; [15.1369863 18.8630137],0
p2,1,0.025006,5.023504,[134  35] ; [34 19],[127.89189189  41.10810811] ; [40.10810811 12.89189189],0
p8,1,0.044128,4.051667,[89 77] ; [20 33],[82.62100457 83.37899543] ; [26.37899543 26.62100457],0
p3,1,0.048901,3.878734,[91 80] ; [20 33],[84.73660714 86.26339286] ; [26.26339286 26.73660714],0
r1,1,0.066336,3.371441,[143  29] ; [38 15],[138.36444444  33.63555556] ; [42.63555556 10.36444444],0
s7,1,0.080978,3.045169,[89 75] ; [21 31],[83.51851852 80.48148148] ; [26.48148148 25.51851852],0
a6,1,0.088587,2.89986,[ 65 107] ; [27 26],[ 70.32888889 101.67111111] ; [21.67111111 31.32888889],0
s1,1,0.120325,2.413085,[  5 165] ; [ 4 47],[  6.92307692 163.07692308] ; [ 2.07692308 48.92307692],0
s8,1,0.122593,2.383874,[88 82] ; [21 32],[83.0941704 86.9058296] ; [25.9058296 27.0941704],0
a8,1,0.126828,2.330906,[ 18 149] ; [ 9 38],[ 21.07009346 145.92990654] ; [ 5.92990654 41.07009346],0
u3,1,0.131575,2.273824,[22 17] ; [11 18],[18.92647059 20.07352941] ; [14.07352941 14.92647059],0
n3,1,0.151457,2.057512,[29 13] ; [14  2],[31.13793103 10.86206897] ; [11.86206897  4.13793103],0
s6,1,0.156321,2.009457,[114  50] ; [30 21],[109.84186047  54.15813953] ; [34.15813953 16.84186047],0
p6,1,0.182256,1.779133,[ 63 101] ; [15 38],[ 58.94930876 105.05069124] ; [19.05069124 33.94930876],0
p4,1,0.200155,1.641243,[93 75] ; [24 29],[88.94117647 79.05882353] ; [28.05882353 24.94117647],0
a1,1,0.20154,1.631177,[ 11 161] ; [ 1 52],[  9.17333333 162.82666667] ; [ 2.82666667 50.17333333],0
u2,1,0.201634,1.630502,[23 15] ; [13 16],[20.41791045 17.58208955] ; [15.58208955 13.41791045],0
v3,1,0.273843,1.197394,[70 94] ; [17 33],[66.6728972 97.3271028] ; [20.3271028 29.6728972],0
n4,1,0.28086,1.162924,[134  36] ; [38 15],[131.12107623  38.87892377] ; [40.87892377 12.12107623],0
b4,1,0.303623,1.058213,[90 82] ; [32 21],[93.26222222 78.73777778] ; [28.73777778 24.26222222],0
p1,1,0.319976,0.989045,[ 12 158] ; [ 6 47],[ 13.72197309 156.27802691] ; [ 4.27802691 48.72197309],0
r2,1,0.352694,0.863742,[165   5] ; [50  3],[163.90134529   6.09865471] ; [51.09865471  1.90134529],0
r3,1,0.384615,0.7559,[168   3] ; [51  2],[167.18303571   3.81696429] ; [51.81696429  1.18303571],0
p12,1,0.392197,0.732118,[ 10 156] ; [ 5 48],[ 11.36986301 154.63013699] ; [ 3.63013699 49.36986301],0
n6,1,0.552422,0.352997,[140  29] ; [42 11],[138.54954955  30.45045045] ; [43.45045045  9.54954955],0
s4,1,0.626688,0.236579,[ 34 136] ; [ 9 44],[ 32.78026906 137.21973094] ; [10.21973094 42.78026906],0
n2,1,0.672604,0.178571,[33  9] ; [15  3],[33.6  8.4] ; [14.4  3.6],0
b1,1,0.676111,0.174536,[77 95] ; [22 31],[75.68 96.32] ; [23.32 29.68],0
s3,1,0.696063,0.1526,[100  70] ; [29 23],[98.78378378 71.21621622] ; [30.21621622 21.78378378],0
n1,1,0.768444,0.086678,[18 24] ; [8 9],[18.50847458 23.49152542] ; [7.49152542 9.50847458],0
a2,1,0.788163,0.072198,[ 15 157] ; [ 4 49],[ 14.52444444 157.47555556] ; [ 4.47555556 48.52444444],0
n5,1,0.836394,0.042646,[126  42] ; [39 14],[125.42986425  42.57013575] ; [39.57013575 13.42986425],0
u1,1,0.846436,0.037507,[ 11 161] ; [ 3 50],[ 10.70222222 161.29777778] ; [ 3.29777778 49.70222222],0
b5,1,0.874256,0.025045,[79 93] ; [25 28],[79.50222222 92.49777778] ; [24.49777778 28.50222222],0
p11,1,0.875162,0.024682,[138  34] ; [42 11],[137.6  34.4] ; [42.4 10.6],0
p5,1,0.892599,0.018229,[ 21 147] ; [ 7 46],[ 21.28506787 146.71493213] ; [ 6.71493213 46.28506787],0
