Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,42.57932,[405 154] ; [34 56],[378.12172573 180.87827427] ; [60.87827427 29.12172573],1
p8,1,0.0,41.872105,[350 212] ; [25 69],[321.2652439 240.7347561] ; [53.7347561 40.2652439],1
d5,1,1e-06,24.487923,[480  91] ; [58 35],[462.64759036 108.35240964] ; [75.35240964 17.64759036],1
p4,1,1e-06,23.566242,[374 196] ; [36 56],[353.02114804 216.97885196] ; [56.97885196 35.02114804],1
p9,1,1.1e-05,19.34802,[515  51] ; [71 23],[502.53939394  63.46060606] ; [83.46060606 10.53939394],1
p10,1,0.00012,14.795853,[506  63] ; [70 24],[494.33484163  74.66515837] ; [81.66515837 12.33484163],1
a3,1,0.000192,13.912269,[428 143] ; [53 41],[413.00902256 157.99097744] ; [67.99097744 26.00902256],1
d3,1,0.000289,13.142394,[414 158] ; [50 43],[399.10977444 172.89022556] ; [64.89022556 28.10977444],1
a5,1,0.00048,12.190371,[443 129] ; [57 37],[429.42942943 142.57057057] ; [70.57057057 23.42942943],1
a7,1,0.001247,10.41888,[431 140] ; [56 38],[418.16090226 152.83909774] ; [68.83909774 25.16090226],0
p6,1,0.002244,9.3386,[227 337] ; [22 71],[213.75342466 350.24657534] ; [35.24657534 57.75342466],0
p3,1,0.002328,9.271115,[312 259] ; [35 58],[298.39909639 272.60090361] ; [48.60090361 44.39909639],0
d4,1,0.002469,9.163675,[484  87] ; [67 26],[473.82680723  97.17319277] ; [77.17319277 15.82680723],0
d1,1,0.01018,6.603101,[354 218] ; [45 49],[342.68468468 229.31531532] ; [56.31531532 37.68468468],0
a2,1,0.01939,5.465962,[142 430] ; [13 81],[133.12312312 438.87687688] ; [21.87687688 72.12312312],0
b1,1,0.025586,4.983759,[188 384] ; [42 52],[197.53753754 374.46246246] ; [32.46246246 61.53753754],0
a8,1,0.042645,4.109426,[ 83 436] ; [ 7 83],[ 76.69950739 442.30049261] ; [13.30049261 76.69950739],0
u4,1,0.046286,3.971171,[ 11 561] ; [ 5 89],[ 13.74174174 558.25825826] ; [ 2.25825826 91.74174174],0
n1,1,0.046539,3.961984,[32 69] ; [11  9],[35.89256198 65.10743802] ; [ 7.10743802 12.89256198],0
n5,1,0.051848,3.780674,[450 120] ; [65 28],[442.760181 127.239819] ; [72.239819 20.760181],0
v1,1,0.059768,3.543799,[322 235] ; [43 48],[313.74228395 243.25771605] ; [51.25771605 39.74228395],0
n4,1,0.062999,3.456626,[466 105] ; [69 25],[459.37593985 111.62406015] ; [75.62406015 18.37593985],0
n6,1,0.06916,3.302843,[505  66] ; [76 17],[499.625  71.375] ; [81.375 11.625],0
a6,1,0.075636,3.156258,[408 163] ; [58 35],[400.73192771 170.26807229] ; [65.26807229 27.73192771],0
r1,1,0.08682,2.932368,[493  77] ; [75 19],[487.59036145  82.40963855] ; [80.40963855 13.59036145],0
s1,1,0.089083,2.890859,[ 13 550] ; [ 5 87],[ 15.47175573 547.52824427] ; [ 2.52824427 89.47175573],0
d2,1,0.116046,2.469897,[280 291] ; [37 55],[273.01206637 297.98793363] ; [43.98793363 48.01206637],0
v2,1,0.148554,2.08704,[328 224] ; [44 42],[321.85579937 230.14420063] ; [50.14420063 35.85579937],0
s7,1,0.154183,2.03037,[274 276] ; [38 53],[267.70670827 282.29329173] ; [44.29329173 46.70670827],0
s4,1,0.213638,1.546597,[ 82 482] ; [18 74],[ 85.97560976 478.02439024] ; [14.02439024 77.97560976],0
p12,1,0.246451,1.343311,[ 51 517] ; [12 82],[ 54.05438066 513.94561934] ; [ 8.94561934 85.05438066],0
n2,1,0.261772,1.259363,[75 26] ; [18  3],[76.99180328 24.00819672] ; [16.00819672  4.99180328],0
v4,1,0.275631,1.188506,[562   9] ; [91  3],[560.6962406  10.3037594] ; [92.3037594  1.6962406],0
s5,1,0.290216,1.118619,[196 359] ; [26 62],[191.61741835 363.38258165] ; [30.38258165 57.61741835],0
n3,1,0.294648,1.098261,[79 23] ; [14  7],[77.12195122 24.87804878] ; [15.87804878  5.12195122],0
r2,1,0.32122,0.983974,[555  14] ; [90  4],[553.5520362  15.4479638] ; [91.4479638  2.5520362],0
v3,1,0.321419,0.983163,[235 319] ; [32 55],[230.76131045 323.23868955] ; [36.23868955 50.76131045],0
s3,1,0.35335,0.86139,[324 241] ; [48 44],[319.9086758 245.0913242] ; [52.0913242 39.9086758],0
u2,1,0.401949,0.702489,[83 61] ; [26 14],[85.30434783 58.69565217] ; [23.69565217 16.30434783],0
p1,1,0.410898,0.6762,[ 51 519] ; [ 6 88],[ 48.93072289 521.06927711] ; [ 8.06927711 85.93072289],0
u1,1,0.41665,0.659744,[105 467] ; [14 80],[102.2042042 469.7957958] ; [16.7957958 77.2042042],0
s6,1,0.480066,0.498712,[382 178] ; [60 33],[379.05053599 180.94946401] ; [62.94946401 30.05053599],0
r3,1,0.481801,0.494783,[565   7] ; [92  2],[564.27027027   7.72972973] ; [92.72972973  1.27027027],0
p5,1,0.482884,0.492343,[ 72 499] ; [ 9 81],[ 69.97125567 501.02874433] ; [11.02874433 78.97125567],0
a4,1,0.536041,0.382927,[256 314] ; [39 55],[253.23795181 316.76204819] ; [41.76204819 52.23795181],0
b4,1,0.545529,0.365388,[334 238] ; [58 36],[336.67267267 235.32732733] ; [55.32732733 38.67267267],0
u3,1,0.612951,0.2559,[85 59] ; [26 15],[86.4 57.6] ; [24.6 16.4],0
b2,1,0.731366,0.117861,[143 211] ; [24 39],[141.76978417 212.23021583] ; [25.23021583 37.76978417],0
