Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.0,95.748279,[297  47] ; [ 5 28],[275.56498674  68.43501326] ; [26.43501326  6.56498674],1
r2,1,0.0,94.880491,[340   4] ; [20 12],[329.36170213  14.63829787] ; [30.63829787  1.36170213],1
r3,1,0.0,65.081739,[338   7] ; [22 11],[328.57142857  16.42857143] ; [31.42857143  1.57142857],1
v4,1,0.0,60.882178,[338   8] ; [22 11],[328.65435356  17.34564644] ; [31.34564644  1.65435356],1
p10,1,0.00012,14.796238,[295  49] ; [19 13],[287.27659574  56.72340426] ; [26.72340426  5.27659574],1
p11,1,0.001403,10.2025,[281  65] ; [19 14],[273.87862797  72.12137203] ; [26.12137203  6.87862797],0
a7,1,0.00195,9.596278,[255  90] ; [16 17],[247.34126984  97.65873016] ; [23.65873016  9.34126984],0
v2,1,0.003187,8.696995,[210 125] ; [12 21],[202.0923913 132.9076087] ; [19.9076087 13.0923913],0
d2,1,0.003812,8.371084,[185 160] ; [ 9 24],[177.06349206 167.93650794] ; [16.93650794 16.06349206],0
p9,1,0.003985,8.290546,[302  42] ; [23 10],[296.55172414  47.44827586] ; [28.44827586  4.55172414],0
a3,1,0.004287,8.157985,[257  87] ; [17 16],[250.01591512  93.98408488] ; [23.98408488  9.01591512],0
d1,1,0.006366,7.443681,[220 126] ; [13 20],[212.71240106 133.28759894] ; [20.28759894 12.71240106],0
u1,1,0.007143,7.236602,[ 80 266] ; [ 1 32],[ 73.94722955 272.05277045] ; [ 7.05277045 25.94722955],0
v3,1,0.010919,6.478395,[147 186] ; [ 7 26],[140.1147541 192.8852459] ; [13.8852459 19.1147541],0
b3,1,0.011197,6.433802,[ 87 131] ; [ 2 17],[ 81.8649789 136.1350211] ; [ 7.1350211 11.8649789],0
b2,1,0.011197,6.433802,[ 87 131] ; [ 2 17],[ 81.8649789 136.1350211] ; [ 7.1350211 11.8649789],0
a2,1,0.01342,6.112917,[101 245] ; [ 3 30],[ 94.94459103 251.05540897] ; [ 9.05540897 23.94459103],0
b1,1,0.023181,5.154897,[149 197] ; [21 12],[155.19788918 190.80211082] ; [14.80211082 18.19788918],0
d5,1,0.023989,5.095399,[293  52] ; [23 10],[288.41269841  56.58730159] ; [27.58730159  5.41269841],0
u3,1,0.024927,5.028967,[57 32] ; [ 5 10],[53.05769231 35.94230769] ; [8.94230769 6.05769231],0
s6,1,0.025616,4.981777,[240 101] ; [17 16],[234.32352941 106.67647059] ; [22.67647059 10.32352941],0
n5,1,0.029393,4.744449,[264  80] ; [19 13],[258.91489362  85.08510638] ; [24.08510638  7.91489362],0
s8,1,0.030542,4.678499,[172 172] ; [10 23],[166.06896552 177.93103448] ; [15.93103448 17.06896552],0
a5,1,0.035492,4.421366,[275  71] ; [21 12],[270.22691293  75.77308707] ; [25.77308707  7.22691293],0
