Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.002185,9.387518,[9 4] ; [13 40],[4.33333333 8.66666667] ; [17.66666667 35.33333333],0
p6,1,0.004571,8.041768,[6 7] ; [ 6 45],[ 2.4375 10.5625] ; [ 9.5625 41.4375],0
v4,1,0.004691,7.994947,[12  1] ; [26 27],[7.48484848 5.51515152] ; [30.51515152 22.48484848],0
p11,1,0.006562,7.389007,[12  1] ; [27 26],[7.68181818 5.31818182] ; [31.31818182 21.68181818],0
p7,1,0.007497,7.149865,[10  3] ; [19 34],[5.71212121 7.28787879] ; [23.28787879 29.71212121],0
p10,1,0.007555,7.136022,[11  2] ; [22 29],[6.703125 6.296875] ; [26.296875 24.703125],0
p8,1,0.016069,5.795356,[8 5] ; [14 39],[4.33333333 8.66666667] ; [17.66666667 35.33333333],0
d3,1,0.022051,5.24174,[10  3] ; [22 31],[6.3030303 6.6969697] ; [25.6969697 27.3030303],0
p9,1,0.024653,5.048077,[11  2] ; [25 25],[7.42857143 5.57142857] ; [28.57142857 21.42857143],0
v3,1,0.034383,4.475568,[5 8] ; [ 7 46],[ 2.36363636 10.63636364] ; [ 9.63636364 43.36363636],0
d2,1,0.060569,3.521728,[6 7] ; [11 42],[3.34848485 9.65151515] ; [13.65151515 39.34848485],0
s8,1,0.060569,3.521728,[6 7] ; [11 42],[3.34848485 9.65151515] ; [13.65151515 39.34848485],0
d5,1,0.070572,3.269666,[10  3] ; [26 27],[7.09090909 5.90909091] ; [28.90909091 24.09090909],0
s5,1,0.103194,2.655475,[ 3 10] ; [ 4 49],[ 1.37878788 11.62121212] ; [ 5.62121212 47.37878788],0
p4,1,0.119686,2.421424,[8 5] ; [20 33],[5.51515152 7.48484848] ; [22.48484848 30.51515152],0
a7,1,0.121741,2.394775,[9 4] ; [24 29],[6.5 6.5] ; [26.5 26.5],0
s6,1,0.185368,1.75405,[7 6] ; [18 35],[4.92424242 8.07575758] ; [20.07575758 32.92424242],0
a8,1,0.218386,1.514943,[ 3 10] ; [ 5 44],[ 1.67741935 11.32258065] ; [ 6.32258065 42.67741935],0
p2,1,0.219547,1.50733,[10  3] ; [31 22],[8.07575758 4.92424242] ; [32.92424242 20.07575758],0
v2,1,0.260026,1.268619,[6 6] ; [17 35],[4.3125 7.6875] ; [18.6875 33.3125],0
b5,1,0.285665,1.13994,[9 4] ; [28 25],[7.28787879 5.71212121] ; [29.71212121 23.28787879],0
u3,1,0.320988,0.984919,[3 4] ; [ 7 22],[1.94444444 5.05555556] ; [ 8.05555556 20.94444444],0
s3,1,0.437948,0.601653,[5 8] ; [14 37],[3.859375 9.140625] ; [15.140625 35.859375],0
a6,1,0.497719,0.459797,[7 6] ; [23 30],[5.90909091 7.09090909] ; [24.09090909 28.90909091],0
v1,1,0.526965,0.40024,[ 3 10] ; [17 36],[3.93939394 9.06060606] ; [16.06060606 36.93939394],0
d1,1,0.540021,0.375501,[4 9] ; [12 41],[3.15151515 9.84848485] ; [12.84848485 40.15151515],0
p12,1,0.543288,0.36948,[ 1 12] ; [ 2 51],[ 0.59090909 12.40909091] ; [ 2.40909091 50.59090909],0
p3,1,0.564699,0.331633,[4 9] ; [12 40],[3.2 9.8] ; [12.8 39.2],0
a4,1,0.644717,0.212626,[4 9] ; [13 40],[3.34848485 9.65151515] ; [13.65151515 39.34848485],0
s4,1,0.662641,0.190331,[ 2 11] ; [11 42],[ 2.56060606 10.43939394] ; [10.43939394 42.56060606],0
b1,1,0.667777,0.184213,[7 6] ; [32 21],[7.68181818 5.31818182] ; [31.31818182 21.68181818],0
d4,1,0.730504,0.118649,[9 4] ; [34 19],[8.46969697 4.53030303] ; [34.53030303 18.46969697],0
n2,1,0.74748,0.103661,[1 1] ; [16 10],[1.21428571 0.78571429] ; [15.78571429 10.21428571],0
s2,1,0.777763,0.079657,[ 3 10] ; [14 38],[3.4 9.6] ; [13.6 38.4],0
b2,1,0.782528,0.07619,[1 4] ; [ 9 26],[1.25 3.75] ; [ 8.75 26.25],0
b3,1,0.782528,0.07619,[1 4] ; [ 9 26],[1.25 3.75] ; [ 8.75 26.25],0
n3,1,0.83224,0.044872,[1 1] ; [15 11],[1.14285714 0.85714286] ; [14.85714286 11.14285714],0
n5,1,0.841251,0.040118,[8 5] ; [31 22],[7.68181818 5.31818182] ; [31.31818182 21.68181818],0
n4,1,0.857528,0.032228,[7 6] ; [30 23],[7.28787879 5.71212121] ; [29.71212121 23.28787879],0
b4,1,0.857528,0.032228,[7 6] ; [30 23],[7.28787879 5.71212121] ; [29.71212121 23.28787879],0
s7,1,0.875921,0.02438,[3 8] ; [12 36],[2.79661017 8.20338983] ; [12.20338983 35.79661017],0
n6,1,0.900713,0.015565,[7 6] ; [29 23],[7.2 5.8] ; [28.8 23.2],0
a5,1,0.954938,0.003193,[6 7] ; [24 29],[5.90909091 7.09090909] ; [24.09090909 28.90909091],0
s1,1,0.985861,0.000314,[ 1 12] ; [ 4 49],[ 0.98484848 12.01515152] ; [ 4.01515152 48.98484848],0
a3,1,1.0,0.0,[6 7] ; [24 28],[6. 7.] ; [24. 28.],0
