Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.022533,5.204147,[ 35 416] ; [2 4],[ 36.51422319 414.48577681] ; [0.48577681 5.51422319],0
p11,1,0.045232,4.009951,[372  82] ; [3 3],[370.10869565  83.89130435] ; [4.89130435 1.10869565],0
b1,1,0.088033,2.909976,[152 302] ; [4 2],[153.96521739 300.03478261] ; [2.03478261 3.96521739],0
s5,1,0.133794,2.247927,[160 274] ; [4 2],[161.76363636 272.23636364] ; [2.23636364 3.76363636],0
s2,1,0.136294,2.219313,[237 212] ; [5 1],[238.80879121 210.19120879] ; [3.19120879 2.80879121],0
p3,1,0.171957,1.865795,[249 200] ; [5 1],[250.65054945 198.34945055] ; [3.34945055 2.65054945],0
p6,1,0.174663,1.842459,[174 268] ; [4 2],[175.61607143 266.38392857] ; [2.38392857 3.61607143],0
p8,1,0.188371,1.730309,[250 192] ; [5 1],[251.58482143 190.41517857] ; [3.41517857 2.58482143],0
b4,1,0.240255,1.379099,[271 183] ; [5 1],[272.4 181.6] ; [3.6 2.4],0
a6,1,0.250639,1.31974,[322 129] ; [3 3],[320.73304158 130.26695842] ; [4.26695842 1.73304158],0
b2,1,0.267413,1.22997,[109 171] ; [1 5],[107.69230769 172.30769231] ; [2.30769231 3.69230769],0
b3,1,0.267413,1.22997,[109 171] ; [1 5],[107.69230769 172.30769231] ; [2.30769231 3.69230769],0
p4,1,0.319239,0.992061,[284 162] ; [5 1],[285.16371681 160.83628319] ; [3.83628319 2.16371681],0
d1,1,0.323552,0.974533,[290 164] ; [5 1],[291.15217391 162.84782609] ; [3.84782609 2.15217391],0
s8,1,0.377883,0.777579,[218 231] ; [4 2],[219.07252747 229.92747253] ; [2.92747253 3.07252747],0
v1,1,0.407227,0.686883,[295 151] ; [3 3],[294.04424779 151.95575221] ; [3.95575221 2.04424779],0
s6,1,0.439733,0.596978,[304 139] ; [5 1],[304.87082405 138.12917595] ; [4.12917595 1.87082405],0
d2,1,0.468113,0.526428,[234 218] ; [4 2],[234.88209607 217.11790393] ; [3.11790393 2.88209607],0
s7,1,0.512628,0.428698,[230 202] ; [4 2],[230.79452055 201.20547945] ; [3.20547945 2.79452055],0
d3,1,0.556427,0.345929,[328 124] ; [5 1],[328.63755459 123.36244541] ; [4.36244541 1.63755459],0
n3,1,0.574248,0.315627,[64 16] ; [2 1],[63.61445783 16.38554217] ; [2.38554217 0.61445783],0
p12,1,0.578858,0.308084,[ 44 403] ; [1 5],[ 44.40397351 402.59602649] ; [0.59602649 5.40397351],0
a7,1,0.580927,0.304738,[345 107] ; [4 2],[344.4279476 107.5720524] ; [4.5720524 1.4279476],0
a2,1,0.596837,0.279793,[119 335] ; [1 5],[118.43478261 335.56521739] ; [1.56521739 4.43478261],0
s3,1,0.606939,0.264656,[250 195] ; [4 2],[250.62084257 194.37915743] ; [3.37915743 2.62084257],0
r1,1,0.66293,0.189983,[403  50] ; [5 1],[402.66666667  50.33333333] ; [5.33333333 0.66666667],0
v3,1,0.700022,0.148449,[255 186] ; [3 3],[254.53691275 186.46308725] ; [3.46308725 2.53691275],0
p5,1,0.712736,0.135559,[ 53 397] ; [1 5],[ 53.28947368 396.71052632] ; [0.71052632 5.28947368],0
b5,1,0.71333,0.134974,[269 185] ; [4 2],[269.43913043 184.56086957] ; [3.56086957 2.43913043],0
p9,1,0.721476,0.127083,[392  53] ; [5 1],[391.71840355  53.28159645] ; [5.28159645 0.71840355],0
u1,1,0.789334,0.071383,[ 96 358] ; [1 5],[ 95.73478261 358.26521739] ; [1.26521739 4.73478261],0
a5,1,0.796746,0.066337,[358  95] ; [5 1],[358.25490196  94.74509804] ; [4.74509804 1.25490196],0
d4,1,0.834912,0.043433,[390  62] ; [5 1],[389.82532751  62.17467249] ; [5.17467249 0.82532751],0
a4,1,0.845854,0.037796,[208 244] ; [3 3],[208.23580786 243.76419214] ; [2.76419214 3.23580786],0
s4,1,0.866759,0.028149,[ 64 385] ; [1 5],[ 64.14285714 384.85714286] ; [0.85714286 5.14285714],0
p10,1,0.883466,0.021485,[382  65] ; [5 1],[381.87417219  65.12582781] ; [5.12582781 0.87417219],0
p7,1,0.89847,0.01628,[304 136] ; [4 2],[303.85650224 136.14349776] ; [4.14349776 1.85650224],0
p2,1,0.915879,0.011157,[382  68] ; [5 1],[381.90789474  68.09210526] ; [5.09210526 0.90789474],0
d5,1,0.947004,0.004418,[382  71] ; [5 1],[381.94117647  71.05882353] ; [5.05882353 0.94117647],0
