Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.0,48.955392,[162  22] ; [ 3 13],[151.8  32.2] ; [13.2  2.8],1
v4,1,0.0,39.651788,[182   2] ; [11  5],[177.56   6.44] ; [15.44  0.56],1
r2,1,0.0,25.462727,[180   3] ; [11  4],[176.53030303   6.46969697] ; [14.46969697  0.53030303],1
r3,1,3.9e-05,16.89589,[178   5] ; [12  4],[174.72361809   8.27638191] ; [15.27638191  0.72361809],1
n6,1,0.000158,14.27838,[167  14] ; [10  6],[162.62436548  18.37563452] ; [14.37563452  1.62436548],1
p10,1,0.000677,11.551483,[167  17] ; [10  6],[162.84  21.16] ; [14.16  1.84],1
d1,1,0.005384,7.745588,[131  53] ; [ 6 10],[126.04  57.96] ; [10.96  5.04],0
u3,1,0.010469,6.553375,[30  9] ; [2 5],[27.13043478 11.86956522] ; [4.86956522 2.13043478],0
d3,1,0.012155,6.288132,[142  40] ; [8 8],[137.87878788  44.12121212] ; [12.12121212  3.87878788],0
n4,1,0.022851,5.179798,[156  28] ; [10  6],[152.72  31.28] ; [13.28  2.72],0
n3,1,0.025497,4.989805,[22  8] ; [2 5],[19.45945946 10.54054054] ; [4.54054054 2.45945946],0
a7,1,0.02858,4.792759,[137  45] ; [8 8],[133.28282828  48.71717172] ; [11.71717172  4.28282828],0
a3,1,0.035065,4.442004,[145  38] ; [9 7],[141.61809045  41.38190955] ; [12.38190955  3.61809045],0
s6,1,0.052486,3.760214,[164  17] ; [12  4],[161.70558376  19.29441624] ; [14.29441624  1.70558376],0
v1,1,0.057835,3.598409,[117  64] ; [6 9],[113.58673469  67.41326531] ; [9.41326531 5.58673469],0
u1,1,0.06042,3.525829,[ 51 133] ; [ 1 15],[ 47.84 136.16] ; [ 4.16 11.84],0
b5,1,0.090524,2.865039,[110  74] ; [13  3],[113.16  70.84] ; [9.84 6.16],0
s4,1,0.0946,2.794304,[ 44 135] ; [7 9],[ 46.81538462 132.18461538] ; [ 4.18461538 11.81538462],0
p9,1,0.098437,2.730683,[171  13] ; [13  3],[169.28  14.72] ; [14.72  1.28],0
d4,1,0.099696,2.710402,[162  20] ; [12  4],[159.93939394  22.06060606] ; [14.06060606  1.93939394],0
a2,1,0.120049,2.416678,[ 57 127] ; [ 2 14],[ 54.28 129.72] ; [ 4.72 11.28],0
p5,1,0.130992,2.280709,[ 41 143] ; [ 1 15],[ 38.64 145.36] ; [ 3.36 12.64],0
s5,1,0.144319,2.131296,[103  71] ; [5 8],[100.49197861  73.50802139] ; [7.50802139 5.49197861],0
b2,1,0.149328,2.079099,[58 58] ; [3 8],[55.71653543 60.28346457] ; [5.28346457 5.71653543],0
b3,1,0.149328,2.079099,[58 58] ; [3 8],[55.71653543 60.28346457] ; [5.28346457 5.71653543],0
a4,1,0.15454,2.026852,[103  81] ; [ 6 10],[100.28  83.72] ; [8.72 7.28],0
b4,1,0.15454,2.026852,[103  81] ; [ 6 10],[100.28  83.72] ; [8.72 7.28],0
n1,1,0.180521,1.793331,[17 13] ; [2 5],[15.40540541 14.59459459] ; [3.59459459 3.40540541],0
v3,1,0.189511,1.721415,[ 74 103] ; [ 4 12],[ 71.53367876 105.46632124] ; [6.46632124 9.53367876],0
p4,1,0.220802,1.49915,[149  34] ; [11  5],[147.13567839  35.86432161] ; [12.86432161  3.13567839],0
p7,1,0.230751,1.436223,[154  27] ; [11  4],[152.37244898  28.62755102] ; [12.62755102  2.37244898],0
a8,1,0.245375,1.349448,[ 30 141] ; [ 1 15],[ 28.34759358 142.65240642] ; [ 2.65240642 13.34759358],0
d2,1,0.253683,1.302905,[107  76] ; [7 9],[104.83417085  78.16582915] ; [9.16582915 6.83417085],0
p12,1,0.267387,1.230105,[ 31 153] ; [ 1 15],[ 29.44 154.56] ; [ 2.56 13.44],0
p8,1,0.271433,1.209493,[128  56] ; [9 7],[126.04  57.96] ; [10.96  5.04],0
a5,1,0.293965,1.101371,[147  37] ; [11  5],[145.36  38.64] ; [12.64  3.36],0
d5,1,0.32185,0.981413,[153  28] ; [12  4],[151.59898477  29.40101523] ; [13.40101523  2.59898477],0
n5,1,0.345178,0.891106,[154  29] ; [12  4],[152.65326633  30.34673367] ; [13.34673367  2.65326633],0
p2,1,0.386359,0.750371,[163  21] ; [13  3],[161.92  22.08] ; [14.08  1.92],0
s8,1,0.504136,0.446219,[129  54] ; [10  6],[127.8241206  55.1758794] ; [11.1758794  4.8241206],0
b1,1,0.614207,0.254094,[ 80 104] ; [8 8],[ 80.96 103.04] ; [7.04 8.96],0
p11,1,0.682139,0.167728,[146  38] ; [12  4],[145.36  38.64] ; [12.64  3.36],0
v2,1,0.715799,0.132554,[109  70] ; [9 7],[108.31794872  70.68205128] ; [9.68205128 6.31794872],0
s3,1,0.723322,0.125332,[154  29] ; [14  2],[154.49246231  28.50753769] ; [13.50753769  2.49246231],0
n2,1,0.728151,0.120816,[24  6] ; [6 1],[24.32432432  5.67567568] ; [5.67567568 1.32432432],0
a1,1,0.736527,0.113203,[ 16 168] ; [ 1 15],[ 15.64 168.36] ; [ 1.36 14.64],0
a6,1,0.785782,0.073871,[119  63] ; [11  5],[119.49494949  62.50505051] ; [10.50505051  5.49494949],0
u2,1,0.804548,0.061239,[26 13] ; [5 2],[26.2826087 12.7173913] ; [4.7173913 2.2826087],0
s7,1,0.833544,0.044167,[139  40] ; [12  3],[139.32474227  39.67525773] ; [11.67525773  3.32474227],0
p3,1,0.899967,0.015801,[123  60] ; [11  5],[123.22613065  59.77386935] ; [10.77386935  5.22613065],0
s1,1,0.964984,0.001927,[ 11 173] ; [ 1 15],[ 11.04 172.96] ; [ 0.96 15.04],0
