Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,154.492345,[263  30] ; [25 72],[216.36923077  76.63076923] ; [71.63076923 25.36923077],1
s6,1,0.0,36.852204,[264  23] ; [65 32],[245.89322917  41.10677083] ; [83.10677083 13.89322917],1
s8,1,0.002476,9.158521,[217  74] ; [56 40],[205.27906977  85.72093023] ; [67.72093023 28.27906977],0
s5,1,0.006163,7.502149,[141 138] ; [33 63],[129.456 149.544] ; [44.544 51.456],0
n2,1,0.019135,5.489123,[47  9] ; [13  9],[43.07692308 12.92307692] ; [16.92307692  5.07692308],0
n5,1,0.026582,4.91775,[243  49] ; [70 26],[235.55670103  56.44329897] ; [77.44329897 18.55670103],0
d1,1,0.033528,4.518625,[198  95] ; [54 43],[189.32307692 103.67692308] ; [62.67692308 34.32307692],0
s1,1,0.05219,3.769665,[ 17 273] ; [ 1 95],[ 13.52331606 276.47668394] ; [ 4.47668394 91.52331606],0
p1,1,0.076055,3.147242,[ 37 254] ; [ 6 91],[ 32.25 258.75] ; [10.75 86.25],0
b1,1,0.08012,3.062475,[123 170] ; [31 66],[115.6974359 177.3025641] ; [38.3025641 58.6974359],0
s4,1,0.080329,3.058225,[ 67 225] ; [14 82],[ 60.95876289 231.04123711] ; [20.04123711 75.95876289],0
r1,1,0.100195,2.702433,[262  30] ; [81 16],[257.47043702  34.52956298] ; [85.52956298 11.47043702],0
d4,1,0.142541,2.150315,[251  39] ; [78 19],[246.5374677  43.4625323] ; [82.4625323 14.5374677],0
n1,1,0.220121,1.503581,[31 24] ; [ 9 13],[28.57142857 26.42857143] ; [11.42857143 10.57142857],0
a3,1,0.226847,1.460521,[244  48] ; [75 21],[240.07216495  51.92783505] ; [78.92783505 17.07216495],0
n4,1,0.227111,1.458866,[249  42] ; [78 19],[245.25  45.75] ; [81.75 15.25],0
p12,1,0.228841,1.448051,[ 34 258] ; [ 7 89],[ 30.8556701 261.1443299] ; [10.1443299 85.8556701],0
v4,1,0.268747,1.223132,[288   4] ; [94  3],[286.74550129   5.25449871] ; [95.25449871  1.74550129],0
p6,1,0.289572,1.121609,[131 158] ; [49 46],[135.46875 153.53125] ; [44.53125 50.46875],0
p9,1,0.3087,1.036231,[265  26] ; [84 12],[262.42635659  28.57364341] ; [86.57364341  9.42635659],0
p8,1,0.318017,0.997084,[169 120] ; [50 45],[164.8203125 124.1796875] ; [54.1796875 40.8203125],0
