Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2e-05,18.163861,[10 35] ; [10  1],[16.07142857 28.92857143] ; [3.92857143 7.07142857],1
s7,1,0.006981,7.27793,[ 7 37] ; [6 5],[10.4 33.6] ; [2.6 8.4],0
n2,1,0.022855,5.179468,[ 8 14] ; [6 1],[10.62068966 11.37931034] ; [3.37931034 3.62068966],0
n5,1,0.023832,5.106811,[13 34] ; [7 4],[16.20689655 30.79310345] ; [3.79310345 7.20689655],0
s8,1,0.033897,4.499893,[ 5 42] ; [4 7],[ 7.29310345 39.70689655] ; [1.70689655 9.29310345],0
p5,1,0.035094,4.440582,[ 1 44] ; [2 9],[ 2.41071429 42.58928571] ; [ 0.58928571 10.41071429],0
b4,1,0.03874,4.272225,[29 18] ; [3 8],[25.93103448 21.06896552] ; [6.06896552 4.93103448],0
p3,1,0.041783,4.143967,[ 8 39] ; [5 6],[10.53448276 36.46551724] ; [2.46551724 8.53448276],0
u2,1,0.043742,4.066506,[ 7 14] ; [6 2],[ 9.4137931 11.5862069] ; [3.5862069 4.4137931],0
s2,1,0.061154,3.505803,[12 35] ; [6 5],[14.5862069 32.4137931] ; [3.4137931 7.5862069],0
p4,1,0.070889,3.262304,[16 31] ; [7 4],[18.63793103 28.36206897] ; [4.36206897 6.63793103],0
a3,1,0.0813,3.038727,[26 20] ; [3 8],[23.40350877 22.59649123] ; [5.59649123 5.40350877],0
p11,1,0.093992,2.804642,[21 26] ; [8 3],[23.5 23.5] ; [5.5 5.5],0
p2,1,0.153236,2.039737,[27 19] ; [9 2],[29.05263158 16.94736842] ; [6.94736842 4.05263158],0
s4,1,0.153982,2.032349,[ 8 39] ; [4 7],[ 9.72413793 37.27586207] ; [2.27586207 8.72413793],0
n1,1,0.183912,1.765728,[ 4 18] ; [3 4],[ 5.31034483 16.68965517] ; [1.68965517 5.31034483],0
b1,1,0.193415,1.691415,[24 23] ; [8 3],[25.93103448 21.06896552] ; [6.06896552 4.93103448],0
b5,1,0.238885,1.387159,[25 22] ; [8 3],[26.74137931 20.25862069] ; [6.25862069 4.74137931],0
a4,1,0.23916,1.385541,[12 35] ; [ 1 10],[10.53448276 36.46551724] ; [2.46551724 8.53448276],0
d4,1,0.250807,1.318805,[34 13] ; [6 5],[32.4137931 14.5862069] ; [7.5862069 3.4137931],0
d1,1,0.252496,1.309439,[17 30] ; [2 9],[15.39655172 31.60344828] ; [3.60344828 7.39655172],0
a8,1,0.279925,1.167453,[ 1 43] ; [ 1 10],[ 1.6 42.4] ; [ 0.4 10.6],0
a7,1,0.291299,1.113608,[26 21] ; [8 3],[27.55172414 19.44827586] ; [6.44827586 4.55172414],0
d3,1,0.314486,1.011742,[27 20] ; [4 6],[25.56140351 21.43859649] ; [5.43859649 4.56140351],0
n6,1,0.314982,1.009671,[25 22] ; [4 7],[23.5 23.5] ; [5.5 5.5],0
d2,1,0.367714,0.811375,[15 32] ; [2 9],[13.77586207 33.22413793] ; [3.22413793 7.77586207],0
d5,1,0.394622,0.724652,[28 19] ; [5 6],[26.74137931 20.25862069] ; [6.25862069 4.74137931],0
a6,1,0.394622,0.724652,[19 28] ; [6 5],[20.25862069 26.74137931] ; [4.74137931 6.25862069],0
s3,1,0.422569,0.64316,[15 31] ; [5 6],[16.14035088 29.85964912] ; [3.85964912 7.14035088],0
p10,1,0.492914,0.47016,[24 22] ; [7 4],[25.01754386 20.98245614] ; [5.98245614 5.01754386],0
v3,1,0.497633,0.45998,[ 8 38] ; [ 1 10],[ 7.26315789 38.73684211] ; [1.73684211 9.26315789],0
u1,1,0.514479,0.424946,[ 2 45] ; [ 1 10],[ 2.43103448 44.56896552] ; [ 0.56896552 10.43103448],0
v4,1,0.602985,0.270517,[29 16] ; [8 3],[29.73214286 15.26785714] ; [7.26785714 3.73214286],0
r3,1,0.616069,0.251432,[26 21] ; [7 4],[26.74137931 20.25862069] ; [6.25862069 4.74137931],0
u3,1,0.624321,0.239841,[10 11] ; [3 5],[ 9.4137931 11.5862069] ; [3.5862069 4.4137931],0
n3,1,0.662521,0.190476,[11 10] ; [3 4],[10.5 10.5] ; [3.5 3.5],0
r2,1,0.667675,0.184333,[26 20] ; [7 4],[26.63157895 19.36842105] ; [6.36842105 4.63157895],0
v2,1,0.703925,0.144421,[14 32] ; [4 7],[14.52631579 31.47368421] ; [3.47368421 7.52631579],0
s1,1,0.749682,0.101798,[ 3 44] ; [ 1 10],[ 3.24137931 43.75862069] ; [ 0.75862069 10.24137931],0
b2,1,0.752976,0.099047,[ 5 17] ; [2 5],[ 5.31034483 16.68965517] ; [1.68965517 5.31034483],0
b3,1,0.752976,0.099047,[ 5 17] ; [2 5],[ 5.31034483 16.68965517] ; [1.68965517 5.31034483],0
s6,1,0.777176,0.080089,[15 32] ; [4 7],[15.39655172 31.60344828] ; [3.60344828 7.39655172],0
a5,1,0.804206,0.061458,[19 28] ; [4 7],[18.63793103 28.36206897] ; [4.36206897 6.63793103],0
v1,1,0.812403,0.056324,[15 31] ; [4 7],[15.33333333 30.66666667] ; [3.66666667 7.33333333],0
s5,1,0.928353,0.008085,[10 37] ; [2 8],[ 9.89473684 37.10526316] ; [2.10526316 7.89473684],0
a2,1,0.950781,0.00381,[ 4 43] ; [ 1 10],[ 4.05172414 42.94827586] ; [ 0.94827586 10.05172414],0
r1,1,0.979384,0.000668,[13 34] ; [3 8],[12.96551724 34.03448276] ; [3.03448276 7.96551724],0
p9,1,0.990568,0.00014,[25 21] ; [6 5],[25.01754386 20.98245614] ; [5.98245614 5.01754386],0
