Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,147.867047,[29 21] ; [568  12],[47.38095238  2.61904762] ; [549.61904762  30.38095238],1
r1,1,0.0,100.347702,[19 36] ; [509  72],[45.66037736  9.33962264] ; [482.33962264  98.66037736],1
r3,1,0.0,84.711531,[41 13] ; [574   7],[52.2992126  1.7007874] ; [562.7007874  18.2992126],1
v4,1,0.0,49.868886,[41 11] ; [571  12],[50.11653543  1.88346457] ; [561.88346457  21.11653543],1
n4,1,7e-05,15.800881,[33 24] ; [468 113],[44.76018809 12.23981191] ; [456.23981191 124.76018809],1
a5,1,0.00032,12.951128,[33 24] ; [460 123],[43.9078125 13.0921875] ; [449.0921875 133.9078125],1
n5,1,0.00046,12.271891,[30 24] ; [447 133],[40.62776025 13.37223975] ; [436.37223975 143.62776025],1
d1,1,0.000573,11.860228,[28 29] ; [415 168],[39.4546875 17.5453125] ; [403.5453125 179.4546875],1
p8,1,0.00088,11.065443,[21 35] ; [347 227],[32.71111111 23.28888889] ; [335.28888889 238.71111111],1
p7,1,0.000883,11.05892,[27 28] ; [403 166],[37.90064103 17.09935897] ; [392.09935897 176.90064103],1
d5,1,0.001586,9.975761,[43 14] ; [522  61],[50.3203125  6.6796875] ; [514.6796875  68.3203125],0
p10,1,0.001946,9.599371,[38 16] ; [499  80],[45.81042654  8.18957346] ; [491.18957346  87.81042654],0
a6,1,0.002525,9.122732,[30 27] ; [418 164],[39.96244131 17.03755869] ; [408.03755869 173.96244131],0
d2,1,0.005578,7.681971,[20 37] ; [316 266],[29.97183099 27.02816901] ; [306.02816901 275.97183099],0
n6,1,0.012775,6.199969,[40 14] ; [502  78],[46.16403785  7.83596215] ; [495.83596215  84.16403785],0
p11,1,0.016287,5.771598,[40 17] ; [484  99],[46.66875 10.33125] ; [477.33125 105.66875],0
a7,1,0.020191,5.395295,[36 21] ; [448 134],[43.17370892 13.82629108] ; [440.82629108 141.17370892],0
a8,1,0.022531,5.204311,[ 2 49] ; [ 83 443],[ 7.51299827 43.48700173] ; [ 77.48700173 448.51299827],0
v3,1,0.024811,5.037059,[15 41] ; [237 324],[22.8719611 33.1280389] ; [229.1280389 331.8719611],0
d3,1,0.025868,4.964791,[38 19] ; [463 120],[44.6203125 12.3796875] ; [456.3796875 126.6203125],0
a2,1,0.02809,4.822538,[ 8 49] ; [160 423],[14.9625 42.0375] ; [153.0375 429.9625],0
p6,1,0.031674,4.616073,[15 41] ; [238 335],[22.52464229 33.47535771] ; [230.47535771 342.52464229],0
a3,1,0.034714,4.459212,[36 20] ; [447 134],[42.46153846 13.53846154] ; [440.53846154 140.46153846],0
p9,1,0.037383,4.332878,[45 11] ; [515  60],[49.69889065  6.30110935] ; [510.30110935  64.69889065],0
p4,1,0.040335,4.203752,[30 27] ; [384 196],[37.0455259 19.9544741] ; [376.9544741 203.0455259],0
u1,1,0.051264,3.799641,[ 6 51] ; [125 458],[11.6671875 45.3328125] ; [119.3328125 463.6671875],0
s6,1,0.07391,3.193987,[32 22] ; [405 166],[37.7568 16.2432] ; [399.2432 171.7568],0
