Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,2e-06,22.464567,[ 3 11] ; [62 13],[10.2247191  3.7752809] ; [54.7752809 20.2247191],1
r3,1,4e-06,21.405405,[7 7] ; [70  4],[12.25  1.75] ; [64.75  9.25],1
r2,1,2.5e-05,17.780655,[9 5] ; [73  2],[12.8988764  1.1011236] ; [69.1011236  5.8988764],1
v4,1,0.000159,14.26529,[8 6] ; [70  5],[12.26966292  1.73033708] ; [65.73033708  9.26966292],1
p8,1,0.002587,9.078174,[ 1 13] ; [38 37],[6.13483146 7.86516854] ; [32.86516854 42.13483146],0
s8,1,0.003914,8.323154,[ 1 13] ; [36 38],[5.88636364 8.11363636] ; [31.11363636 42.88636364],0
u3,1,0.004701,7.991037,[1 5] ; [18  5],[3.93103448 2.06896552] ; [15.06896552  7.93103448],0
n5,1,0.006768,7.333411,[ 4 10] ; [49 24],[8.52873563 5.47126437] ; [44.47126437 28.52873563],0
s6,1,0.00769,7.104284,[6 8] ; [56 16],[10.09302326  3.90697674] ; [51.90697674 20.09302326],0
s7,1,0.015474,5.861712,[2 9] ; [38 28],[5.71428571 5.28571429] ; [34.28571429 31.71428571],0
p4,1,0.01747,5.648566,[6 8] ; [56 19],[9.75280899 4.24719101] ; [52.24719101 22.75280899],0
p10,1,0.042192,4.127471,[ 4 10] ; [43 31],[7.47727273 6.52272727] ; [39.52272727 34.47727273],0
p6,1,0.048976,3.87619,[ 3 11] ; [37 37],[6.36363636 7.63636364] ; [33.63636364 40.36363636],0
d5,1,0.059747,3.544397,[9 5] ; [64 11],[11.48314607  2.51685393] ; [61.51685393 13.48314607],0
p9,1,0.061206,3.504402,[6 8] ; [51 23],[9.06818182 4.93181818] ; [47.93181818 26.06818182],0
p7,1,0.090431,2.866677,[6 8] ; [50 25],[8.80898876 5.19101124] ; [47.19101124 27.80898876],0
d2,1,0.092721,2.826484,[5 9] ; [45 30],[7.86516854 6.13483146] ; [42.13483146 32.86516854],0
a2,1,0.114246,2.494481,[ 1 13] ; [20 55],[ 3.30337079 10.69662921] ; [17.69662921 57.30337079],0
a4,1,0.15252,2.046862,[ 4 10] ; [37 38],[6.4494382 7.5505618] ; [34.5505618 40.4494382],0
n6,1,0.162825,1.947791,[8 6] ; [55 18],[10.13793103  3.86206897] ; [52.86206897 20.13793103],0
s5,1,0.232542,1.425243,[ 3 10] ; [28 41],[4.91463415 8.08536585] ; [26.08536585 42.91463415],0
p2,1,0.244684,1.353401,[9 5] ; [59 16],[10.69662921  3.30337079] ; [57.30337079 17.69662921],0
v2,1,0.262635,1.254816,[5 9] ; [38 35],[6.91954023 7.08045977] ; [36.08045977 36.91954023],0
a6,1,0.273763,1.197794,[6 8] ; [44 31],[7.86516854 6.13483146] ; [42.13483146 32.86516854],0
a7,1,0.317149,1.000667,[8 6] ; [53 22],[9.59550562 4.40449438] ; [51.40449438 23.59550562],0
s3,1,0.317516,0.999153,[6 8] ; [43 32],[7.70786517 6.29213483] ; [41.29213483 33.70786517],0
d1,1,0.322328,0.979476,[7 7] ; [48 27],[8.65168539 5.34831461] ; [46.34831461 28.65168539],0
b1,1,0.323915,0.973074,[10  4] ; [43 32],[8.33707865 5.66292135] ; [44.66292135 30.33707865],0
a3,1,0.333523,0.935172,[8 6] ; [52 22],[9.54545455 4.45454545] ; [50.45454545 23.54545455],0
s2,1,0.338165,0.917375,[6 8] ; [42 32],[7.63636364 6.36363636] ; [40.36363636 33.63636364],0
s4,1,0.359223,0.840607,[ 2 12] ; [19 55],[ 3.34090909 10.65909091] ; [17.65909091 56.34090909],0
a5,1,0.371654,0.798126,[8 6] ; [52 23],[9.43820225 4.56179775] ; [50.56179775 24.43820225],0
p1,1,0.440076,0.596085,[ 1 13] ; [11 63],[ 1.90909091 12.09090909] ; [10.09090909 63.90909091],0
d3,1,0.485318,0.486889,[11  3] ; [52 23],[9.91011236 4.08988764] ; [53.08988764 21.91011236],0
v3,1,0.541193,0.373333,[ 4 10] ; [26 44],[5. 9.] ; [25. 45.],0
a8,1,0.592341,0.286703,[ 1 13] ; [ 8 58],[ 1.575 12.425] ; [ 7.425 58.575],0
s1,1,0.610897,0.258871,[ 1 13] ; [ 3 71],[ 0.63636364 13.36363636] ; [ 3.36363636 70.63636364],0
n1,1,0.624073,0.240184,[2 2] ; [12  7],[2.43478261 1.56521739] ; [11.56521739  7.43478261],0
b2,1,0.727054,0.121834,[1 4] ; [12 32],[1.32653061 3.67346939] ; [11.67346939 32.32653061],0
b3,1,0.727054,0.121834,[1 4] ; [12 32],[1.32653061 3.67346939] ; [11.67346939 32.32653061],0
b4,1,0.768253,0.086825,[8 6] ; [46 29],[8.49438202 5.50561798] ; [45.50561798 29.49438202],0
d4,1,0.779759,0.078195,[12  2] ; [62 13],[11.64044944  2.35955056] ; [62.35955056 12.64044944],0
b5,1,0.785467,0.074094,[9 5] ; [51 24],[9.43820225 4.56179775] ; [50.56179775 24.43820225],0
n2,1,0.861894,0.030263,[3 1] ; [15  4],[3.13043478 0.86956522] ; [14.86956522  4.13043478],0
v1,1,0.926096,0.008604,[7 7] ; [38 36],[7.15909091 6.84090909] ; [37.84090909 36.15909091],0
n4,1,0.930585,0.007588,[10  4] ; [52 22],[9.86363636 4.13636364] ; [52.13636364 21.86363636],0
