Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.004055,8.259167,[10  1] ; [14 20],[5.86666667 5.13333333] ; [18.13333333 15.86666667],0
p4,1,0.004643,8.01332,[9 2] ; [12 24],[4.91489362 6.08510638] ; [16.08510638 19.91489362],0
p3,1,0.004836,7.939759,[8 3] ; [ 9 26],[4.06521739 6.93478261] ; [12.93478261 22.06521739],0
p7,1,0.008952,6.832298,[9 2] ; [12 21],[5.25 5.75] ; [15.75 17.25],0
p11,1,0.010324,6.57811,[10  1] ; [17 19],[6.31914894 4.68085106] ; [20.68085106 15.31914894],0
s7,1,0.039776,4.227397,[6 3] ; [10 24],[3.34883721 5.65116279] ; [12.65116279 21.34883721],0
p5,1,0.045094,4.015128,[3 8] ; [ 2 33],[1.19565217 9.80434783] ; [ 3.80434783 31.19565217],0
d5,1,0.045989,3.981992,[10  1] ; [21 15],[7.25531915 3.74468085] ; [23.74468085 12.25531915],0
n6,1,0.053247,3.73614,[9 2] ; [16 17],[6.25 4.75] ; [18.75 14.25],0
p8,1,0.0658,3.384801,[6 5] ; [ 9 27],[3.5106383 7.4893617] ; [11.4893617 24.5106383],0
p12,1,0.06738,3.345711,[2 9] ; [ 1 35],[ 0.70212766 10.29787234] ; [ 2.29787234 33.70212766],0
n3,1,0.075752,3.15377,[1 3] ; [13  5],[2.54545455 1.45454545] ; [11.45454545  6.54545455],0
p2,1,0.077777,3.110761,[10  1] ; [22 13],[7.65217391 3.34782609] ; [24.34782609 10.65217391],0
n5,1,0.089258,2.887701,[9 2] ; [18 16],[6.6 4.4] ; [20.4 13.6],0
s8,1,0.131664,2.272773,[5 6] ; [ 8 28],[3.04255319 7.95744681] ; [ 9.95744681 26.04255319],0
b5,1,0.184532,1.760739,[8 3] ; [18 18],[6.08510638 4.91489362] ; [19.91489362 16.08510638],0
s2,1,0.229767,1.442301,[6 5] ; [12 23],[4.30434783 6.69565217] ; [13.69565217 21.30434783],0
a6,1,0.265103,1.241912,[7 4] ; [16 20],[5.38297872 5.61702128] ; [17.61702128 18.38297872],0
d3,1,0.275556,1.188877,[5 6] ; [23 13],[6.55319149 4.44680851] ; [21.44680851 14.55319149],0
a2,1,0.30127,1.068562,[3 8] ; [ 5 31],[1.87234043 9.12765957] ; [ 6.12765957 29.87234043],0
a5,1,0.309785,1.031594,[8 3] ; [20 16],[6.55319149 4.44680851] ; [21.44680851 14.55319149],0
r3,1,0.321553,0.98262,[8 3] ; [19 15],[6.6 4.4] ; [20.4 13.6],0
b4,1,0.340532,0.908428,[7 4] ; [17 19],[5.61702128 5.38297872] ; [18.38297872 17.61702128],0
u1,1,0.353842,0.859632,[2 9] ; [ 3 33],[1.17021277 9.82978723] ; [ 3.82978723 32.17021277],0
s4,1,0.353842,0.859632,[2 9] ; [ 3 33],[1.17021277 9.82978723] ; [ 3.82978723 32.17021277],0
a4,1,0.358006,0.844875,[6 5] ; [14 22],[4.68085106 6.31914894] ; [15.31914894 20.68085106],0
u2,1,0.393153,0.729167,[3 1] ; [5 5],[2.28571429 1.71428571] ; [5.71428571 4.28571429],0
p9,1,0.394703,0.724403,[9 2] ; [24 11],[7.89130435 3.10869565] ; [25.10869565  9.89130435],0
v4,1,0.429324,0.624651,[8 3] ; [19 13],[6.90697674 4.09302326] ; [20.09302326 11.90697674],0
p10,1,0.445572,0.581892,[8 3] ; [21 14],[6.93478261 4.06521739] ; [22.06521739 12.93478261],0
d2,1,0.482843,0.492434,[3 8] ; [14 22],[3.9787234 7.0212766] ; [13.0212766 22.9787234],0
s5,1,0.578747,0.308265,[3 8] ; [ 7 29],[2.34042553 8.65957447] ; [ 7.65957447 28.34042553],0
d1,1,0.69776,0.150813,[5 6] ; [14 22],[4.44680851 6.55319149] ; [14.55319149 21.44680851],0
n4,1,0.702809,0.145566,[7 4] ; [20 15],[6.45652174 4.54347826] ; [20.54347826 14.45652174],0
b1,1,0.705883,0.142424,[8 3] ; [24 12],[7.4893617 3.5106383] ; [24.5106383 11.4893617],0
a3,1,0.717601,0.130803,[7 4] ; [25 11],[7.4893617 3.5106383] ; [24.5106383 11.4893617],0
r2,1,0.723296,0.125356,[6 5] ; [20 13],[6.5 4.5] ; [19.5 13.5],0
v3,1,0.7607,0.092758,[4 7] ; [11 24],[3.58695652 7.41304348] ; [11.41304348 23.58695652],0
b2,1,0.765688,0.088816,[3 5] ; [ 6 13],[2.66666667 5.33333333] ; [ 6.33333333 12.66666667],0
b3,1,0.765688,0.088816,[3 5] ; [ 6 13],[2.66666667 5.33333333] ; [ 6.33333333 12.66666667],0
r1,1,0.806243,0.06016,[4 7] ; [11 23],[3.66666667 7.33333333] ; [11.33333333 22.66666667],0
n1,1,0.840039,0.040741,[2 2] ; [ 8 10],[1.81818182 2.18181818] ; [8.18181818 9.81818182],0
s6,1,0.856748,0.032586,[6 5] ; [18 17],[5.73913043 5.26086957] ; [18.26086957 16.73913043],0
a7,1,0.856748,0.032586,[5 6] ; [17 18],[5.26086957 5.73913043] ; [16.73913043 18.26086957],0
s3,1,0.85813,0.031954,[4 7] ; [13 20],[4.25 6.75] ; [12.75 20.25],0
u3,1,0.875996,0.024351,[2 2] ; [6 5],[2.13333333 1.86666667] ; [5.86666667 5.13333333],0
d4,1,0.973855,0.001074,[8 3] ; [26 10],[7.95744681 3.04255319] ; [26.04255319  9.95744681],0
