Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,7.7e-05,15.63988,[14 29] ; [31 10],[23.03571429 19.96428571] ; [21.96428571 19.03571429],1
d5,1,0.000181,14.016753,[20 23] ; [35  6],[28.1547619 14.8452381] ; [26.8452381 14.1547619],1
a2,1,0.001336,10.291548,[ 1 42] ; [11 30],[ 6.14285714 36.85714286] ; [ 5.85714286 35.14285714],0
a6,1,0.002303,9.290981,[13 30] ; [26 15],[19.96428571 23.03571429] ; [19.03571429 21.96428571],0
n5,1,0.004129,8.226275,[33 10] ; [19 22],[26.61904762 16.38095238] ; [25.38095238 15.61904762],0
d4,1,0.026783,4.904764,[25 18] ; [33  8],[29.69047619 13.30952381] ; [28.30952381 12.69047619],0
u3,1,0.040147,4.211667,[ 3 17] ; [7 8],[ 5.71428571 14.28571429] ; [ 4.28571429 10.71428571],0
u2,1,0.040147,4.211667,[ 3 17] ; [7 8],[ 5.71428571 14.28571429] ; [ 4.28571429 10.71428571],0
b1,1,0.04947,3.859331,[26 17] ; [16 25],[21.5 21.5] ; [20.5 20.5],0
d1,1,0.050425,3.827278,[16 27] ; [24 17],[20.47619048 22.52380952] ; [19.52380952 21.47619048],0
b4,1,0.061674,3.491792,[23 20] ; [30 11],[27.13095238 15.86904762] ; [25.86904762 15.13095238],0
u1,1,0.079147,3.082333,[ 1 42] ; [ 5 36],[ 3.07142857 39.92857143] ; [ 2.92857143 38.07142857],0
p10,1,0.079434,3.076454,[14 28] ; [21 19],[17.92682927 24.07317073] ; [17.07317073 22.92682927],0
n4,1,0.08188,3.027181,[30 13] ; [21 20],[26.10714286 16.89285714] ; [24.89285714 16.10714286],0
v3,1,0.087286,2.923735,[ 6 37] ; [12 29],[ 9.21428571 33.78571429] ; [ 8.78571429 32.21428571],0
v2,1,0.116074,2.469512,[10 30] ; [17 24],[13.33333333 26.66666667] ; [13.66666667 27.33333333],0
a5,1,0.119751,2.420572,[20 23] ; [26 15],[23.54761905 19.45238095] ; [22.45238095 18.54761905],0
r3,1,0.149664,2.075673,[19 24] ; [24 16],[22.27710843 20.72289157] ; [20.72289157 19.27710843],0
a8,1,0.258481,1.276876,[ 1 41] ; [ 3 35],[ 2.1 39.9] ; [ 1.9 36.1],0
p5,1,0.282915,1.153035,[ 1 42] ; [ 3 38],[ 2.04761905 40.95238095] ; [ 1.95238095 39.04761905],0
a3,1,0.286595,1.135547,[23 20] ; [26 14],[25.38554217 17.61445783] ; [23.61445783 16.38554217],0
s7,1,0.315975,1.005536,[13 28] ; [ 8 29],[11.03846154 29.96153846] ; [ 9.96153846 27.03846154],0
a4,1,0.322621,0.97829,[14 28] ; [18 23],[16.19277108 25.80722892] ; [15.80722892 25.19277108],0
n6,1,0.322621,0.97829,[28 14] ; [23 18],[25.80722892 16.19277108] ; [25.19277108 15.80722892],0
s1,1,0.431271,0.619399,[ 4 39] ; [ 2 39],[ 3.07142857 39.92857143] ; [ 2.92857143 38.07142857],0
s5,1,0.447189,0.577767,[ 5 38] ; [ 7 33],[ 6.21686747 36.78313253] ; [ 5.78313253 34.21686747],0
v1,1,0.48178,0.494831,[11 31] ; [13 26],[12.44444444 29.55555556] ; [11.55555556 27.44444444],0
v4,1,0.49732,0.460651,[22 21] ; [24 17],[23.54761905 19.45238095] ; [22.45238095 18.54761905],0
r1,1,0.534445,0.385933,[11 32] ; [13 28],[12.28571429 30.71428571] ; [11.71428571 29.28571429],0
b3,1,0.567022,0.327691,[14 15] ; [ 8 12],[13.02040816 15.97959184] ; [ 8.97959184 11.02040816],0
b2,1,0.567022,0.327691,[14 15] ; [ 8 12],[13.02040816 15.97959184] ; [ 8.97959184 11.02040816],0
p9,1,0.572714,0.318162,[19 21] ; [21 18],[20.25316456 19.74683544] ; [19.74683544 19.25316456],0
