Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,145.037731,[45 38] ; [317   3],[74.55583127  8.44416873] ; [287.44416873  32.55583127],1
r2,1,0.0,109.979348,[47 35] ; [311   8],[73.20698254  8.79301746] ; [284.79301746  34.20698254],1
v4,1,0.0,101.037136,[47 37] ; [307  12],[73.7866005 10.2133995] ; [280.2133995  38.7866005],1
r1,1,0.0,85.651744,[28 58] ; [263  54],[62.09925558 23.90074442] ; [228.90074442  88.09925558],1
p11,1,0.0,30.192367,[37 50] ; [236  84],[58.35626536 28.64373464] ; [214.64373464 105.35626536],1
n6,1,1e-06,24.472265,[46 38] ; [258  61],[63.36476427 20.63523573] ; [240.63523573  78.36476427],1
s6,1,2e-06,22.691402,[28 59] ; [193 124],[47.59158416 39.40841584] ; [173.40841584 143.59158416],1
p10,1,6e-06,20.383151,[41 45] ; [231  84],[58.33416459 27.66583541] ; [213.66583541 101.33416459],1
u3,1,3e-05,17.428125,[ 9 27] ; [63 33],[19.63636364 16.36363636] ; [52.36363636 43.63636364],1
a7,1,3.6e-05,17.04724,[40 45] ; [227  93],[56.03703704 28.96296296] ; [210.96296296 109.03703704],1
s8,1,8.6e-05,15.431785,[14 73] ; [123 196],[29.35714286 57.64285714] ; [107.64285714 211.35714286],1
s2,1,0.000159,14.265579,[21 66] ; [148 169],[36.39356436 50.60643564] ; [132.60643564 184.39356436],1
p2,1,0.000167,14.168111,[45 40] ; [237  83],[59.18518519 25.81481481] ; [222.81481481  97.18518519],1
p9,1,0.000275,13.235891,[47 36] ; [243  74],[60.175 22.825] ; [229.825  87.175],1
p4,1,0.000649,11.628757,[22 65] ; [145 173],[35.87407407 51.12592593] ; [131.12592593 186.87407407],1
p7,1,0.000711,11.460627,[21 64] ; [141 172],[34.59798995 50.40201005] ; [127.40201005 185.59798995],1
a1,1,0.001445,10.147695,[11 76] ; [ 12 308],[ 4.91646192 82.08353808] ; [ 18.08353808 301.91646192],0
s7,1,0.002244,9.338623,[20 60] ; [134 172],[31.91709845 48.08290155] ; [122.08290155 183.91709845],0
a6,1,0.002377,9.232634,[46 41] ; [224  95],[57.85714286 29.14285714] ; [212.14285714 106.85714286],0
a2,1,0.003218,8.679824,[10 77] ; [ 85 235],[20.30712531 66.69287469] ; [ 74.69287469 245.30712531],0
s3,1,0.003744,8.404062,[30 55] ; [168 149],[41.86567164 43.13432836] ; [156.13432836 160.86567164],0
p3,1,0.004573,8.041001,[17 68] ; [116 204],[27.91358025 57.08641975] ; [105.08641975 214.91358025],0
b1,1,0.004639,8.015212,[49 38] ; [126 194],[37.40786241 49.59213759] ; [137.59213759 182.40786241],0
u2,1,0.005744,7.628849,[12 22] ; [59 35],[18.859375 15.140625] ; [52.140625 41.859375],0
b5,1,0.006812,7.321951,[43 44] ; [209 111],[53.86732187 33.13267813] ; [198.13267813 121.86732187],0
d5,1,0.007301,7.197494,[58 29] ; [256  63],[67.28571429 19.71428571] ; [246.71428571  72.28571429],0
n3,1,0.008946,6.833625,[19 17] ; [71 22],[25.11627907 10.88372093] ; [64.88372093 28.11627907],0
n4,1,0.013346,6.122702,[54 32] ; [242  76],[63.00990099 22.99009901] ; [232.99009901  85.00990099],0
u1,1,0.016974,5.69907,[ 7 80] ; [ 60 260],[14.32186732 72.67813268] ; [ 52.67813268 267.32186732],0
v3,1,0.022295,5.22258,[20 66] ; [109 190],[28.81558442 57.18441558] ; [100.18441558 198.81558442],0
v2,1,0.022927,5.174017,[32 51] ; [159 143],[41.17662338 41.82337662] ; [149.82337662 152.17662338],0
a5,1,0.024365,5.068458,[48 39] ; [218 102],[56.85995086 30.14004914] ; [209.14004914 110.85995086],0
d3,1,0.026716,4.909057,[44 42] ; [205 114],[52.87407407 33.12592593] ; [196.12592593 122.87407407],0
p6,1,0.035964,4.398821,[11 73] ; [ 75 242],[18.01496259 65.98503741] ; [ 67.98503741 249.01496259],0
d4,1,0.038563,4.280012,[60 26] ; [255  63],[67.05445545 18.94554455] ; [247.94554455  70.05445545],0
d1,1,0.049897,3.844926,[37 50] ; [174 146],[45.1031941 41.8968059] ; [165.8968059 154.1031941],0
d2,1,0.056258,3.644407,[33 52] ; [160 157],[40.80845771 44.19154229] ; [152.19154229 164.80845771],0
p12,1,0.066306,3.372178,[ 1 86] ; [ 19 300],[ 4.28571429 82.71428571] ; [ 15.71428571 303.28571429],0
a3,1,0.089674,2.880219,[51 34] ; [223  97],[57.50617284 27.49382716] ; [216.49382716 103.50617284],0
v1,1,0.09198,2.839376,[31 52] ; [147 161],[37.78516624 45.21483376] ; [140.21483376 167.78516624],0
a8,1,0.09379,2.808091,[ 7 77] ; [ 45 245],[11.67914439 72.32085561] ; [ 40.32085561 249.67914439],0
p1,1,0.108058,2.582393,[ 8 79] ; [ 15 304],[ 4.92857143 82.07142857] ; [ 18.07142857 300.92857143],0
n2,1,0.111102,2.538478,[21 16] ; [67 27],[24.85496183 12.14503817] ; [63.14503817 30.85496183],0
n5,1,0.130772,2.283317,[53 32] ; [224  92],[58.71571072 26.28428928] ; [218.28428928  97.71571072],0
a4,1,0.152582,2.046243,[33 53] ; [150 169],[38.85925926 47.14074074] ; [144.14074074 174.85925926],0
s5,1,0.282487,1.155086,[16 71] ; [ 73 233],[19.70229008 67.29770992] ; [ 69.29770992 236.70229008],0
b4,1,0.420611,0.648608,[55 32] ; [187 133],[51.72972973 35.27027027] ; [190.27027027 129.72972973],0
s1,1,0.605835,0.266285,[ 3 83] ; [ 15 298],[ 3.87969925 82.12030075] ; [ 14.12030075 298.87969925],0
b2,1,0.848185,0.036647,[20 31] ; [ 83 121],[20.6 30.4] ; [ 82.4 121.6],0
b3,1,0.848185,0.036647,[20 31] ; [ 83 121],[20.6 30.4] ; [ 82.4 121.6],0
p5,1,0.87156,0.026139,[ 4 82] ; [ 16 299],[ 4.28927681 81.71072319] ; [ 15.71072319 299.28927681],0
n1,1,0.982636,0.000474,[14 23] ; [35 57],[14.05426357 22.94573643] ; [34.94573643 57.05426357],0
