Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s1,1,0.018251,5.571851,[ 5 30] ; [ 3 93],[ 2.13740458 32.86259542] ; [ 5.86259542 90.13740458],0
b4,1,0.022179,5.231683,[25 10] ; [47 49],[19.23664122 15.76335878] ; [52.76335878 43.23664122],0
p9,1,0.062523,3.469172,[14 20] ; [55 37],[18.61904762 15.38095238] ; [50.38095238 41.61904762],0
p3,1,0.072779,3.219208,[ 5 30] ; [28 66],[ 8.95348837 26.04651163] ; [24.04651163 69.95348837],0
a4,1,0.118483,2.437262,[15 20] ; [27 68],[11.30769231 23.69230769] ; [30.69230769 64.30769231],0
d4,1,0.139033,2.188627,[26  8] ; [60 36],[22.49230769 11.50769231] ; [63.50769231 32.49230769],0
n5,1,0.145845,2.115182,[17 17] ; [61 34],[20.55813953 13.44186047] ; [57.44186047 37.55813953],0
s5,1,0.166835,1.911152,[ 8 27] ; [12 81],[ 5.46875 29.53125] ; [14.53125 78.46875],0
p11,1,0.183696,1.767469,[14 21] ; [51 45],[17.36641221 17.63358779] ; [47.63358779 48.36641221],0
b1,1,0.210586,1.567396,[15 20] ; [53 43],[18.16793893 16.83206107] ; [49.83206107 46.16793893],0
n3,1,0.244882,1.352268,[ 9 13] ; [22 17],[11.18032787 10.81967213] ; [19.81967213 19.18032787],0
d2,1,0.273028,1.201471,[10 24] ; [38 57],[12.65116279 21.34883721] ; [35.34883721 59.65116279],0
d5,1,0.287603,1.130808,[24 11] ; [56 40],[21.3740458 13.6259542] ; [58.6259542 37.3740458],0
a7,1,0.313675,1.015139,[19 15] ; [44 52],[16.47692308 17.52307692] ; [46.52307692 49.47692308],0
u2,1,0.314364,1.012253,[7 6] ; [16 26],[5.43636364 7.56363636] ; [17.56363636 24.43636364],0
p8,1,0.317336,0.999897,[ 7 28] ; [27 67],[ 9.2248062 25.7751938] ; [24.7751938 69.2248062],0
p4,1,0.322574,0.978483,[ 9 25] ; [34 61],[11.33333333 22.66666667] ; [31.66666667 63.33333333],0
s4,1,0.335215,0.928645,[ 5 30] ; [21 75],[ 6.94656489 28.05343511] ; [19.05343511 76.94656489],0
v2,1,0.345885,0.888498,[15 18] ; [34 60],[12.73228346 20.26771654] ; [36.26771654 57.73228346],0
p6,1,0.358435,0.843369,[ 5 30] ; [20 73],[ 6.8359375 28.1640625] ; [18.1640625 74.8359375],0
a6,1,0.406978,0.687611,[15 20] ; [49 47],[17.09923664 17.90076336] ; [46.90076336 49.09923664],0
s3,1,0.453825,0.561081,[14 19] ; [33 61],[12.21259843 20.78740157] ; [34.78740157 59.21259843],0
p10,1,0.454452,0.559523,[19 15] ; [45 48],[17.13385827 16.86614173] ; [46.86614173 46.13385827],0
v3,1,0.464364,0.535356,[ 9 26] ; [19 77],[ 7.48091603 27.51908397] ; [20.51908397 75.48091603],0
p1,1,0.503831,0.446857,[ 2 33] ; [ 9 87],[ 2.9389313 32.0610687] ; [ 8.0610687 87.9389313],0
b2,1,0.516808,0.420259,[ 5 15] ; [19 39],[ 6.15384615 13.84615385] ; [17.84615385 40.15384615],0
b3,1,0.516808,0.420259,[ 5 15] ; [19 39],[ 6.15384615 13.84615385] ; [17.84615385 40.15384615],0
p7,1,0.537723,0.379776,[11 23] ; [36 58],[12.484375 21.515625] ; [34.515625 59.484375],0
a3,1,0.545458,0.365517,[21 13] ; [53 42],[19.50387597 14.49612403] ; [54.49612403 40.50387597],0
s7,1,0.546071,0.364403,[11 20] ; [27 64],[ 9.6557377 21.3442623] ; [28.3442623 62.6557377],0
d3,1,0.553051,0.35188,[19 16] ; [46 49],[17.5 17.5] ; [47.5 47.5],0
v4,1,0.5698,0.323017,[19 14] ; [60 35],[20.3671875 12.6328125] ; [58.6328125 36.3671875],0
u3,1,0.614696,0.253394,[5 9] ; [12 30],[4.25 9.75] ; [12.75 29.25],0
d1,1,0.629979,0.232089,[14 21] ; [34 62],[12.82442748 22.17557252] ; [35.17557252 60.82442748],0
