Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000664,11.588467,[ 9 57] ; [14 17],[15.64948454 50.35051546] ; [ 7.35051546 23.64948454],1
p9,1,0.001651,9.902534,[25 38] ; [23  8],[32.17021277 30.82978723] ; [15.82978723 15.17021277],0
v2,1,0.003995,8.286031,[14 50] ; [15 14],[19.95698925 44.04301075] ; [ 9.04301075 19.95698925],0
n2,1,0.019382,5.466717,[13 20] ; [12  4],[16.83673469 16.16326531] ; [8.16326531 7.83673469],0
u1,1,0.020079,5.404993,[ 2 64] ; [ 5 26],[ 4.7628866 61.2371134] ; [ 2.2371134 28.7628866],0
v3,1,0.024758,5.040701,[ 9 57] ; [10 20],[13.0625 52.9375] ; [ 5.9375 24.0625],0
p7,1,0.027438,4.863022,[15 49] ; [13 15],[19.47826087 44.52173913] ; [ 8.52173913 19.47826087],0
p2,1,0.044453,4.039257,[28 37] ; [19 10],[32.5 32.5] ; [14.5 14.5],0
p10,1,0.05502,3.681479,[26 38] ; [18 11],[30.27956989 33.72043011] ; [13.72043011 15.27956989],0
d3,1,0.070077,3.281214,[27 38] ; [19 12],[31.14583333 33.85416667] ; [14.85416667 16.14583333],0
a3,1,0.088114,2.908503,[32 33] ; [21 10],[35.88541667 29.11458333] ; [17.11458333 13.88541667],0
n3,1,0.102172,2.671304,[14 18] ; [11  5],[16.66666667 15.33333333] ; [8.33333333 7.66666667],0
s1,1,0.124784,2.356224,[ 3 63] ; [ 4 26],[ 4.8125 61.1875] ; [ 2.1875 27.8125],0
u2,1,0.126699,2.332495,[13 21] ; [6 3],[15.02325581 18.97674419] ; [3.97674419 5.02325581],0
s7,1,0.136074,2.221809,[ 9 53] ; [ 8 21],[11.58241758 50.41758242] ; [ 5.41758242 23.58241758],0
a2,1,0.152229,2.049767,[ 6 60] ; [ 6 25],[ 8.16494845 57.83505155] ; [ 3.83505155 27.16494845],0
p12,1,0.178746,1.808016,[ 1 65] ; [ 2 28],[ 2.0625 63.9375] ; [ 0.9375 29.0625],0
p3,1,0.188711,1.727652,[11 55] ; [ 8 20],[13.34042553 52.65957447] ; [ 5.65957447 22.34042553],0
s8,1,0.19641,1.668872,[ 5 61] ; [ 5 26],[ 6.80412371 59.19587629] ; [ 3.19587629 27.80412371],0
p11,1,0.198781,1.651305,[27 39] ; [17 14],[29.93814433 36.06185567] ; [14.06185567 16.93814433],0
a6,1,0.198781,1.651305,[27 39] ; [17 14],[29.93814433 36.06185567] ; [14.06185567 16.93814433],0
s3,1,0.204707,1.608467,[10 54] ; [ 8 22],[12.25531915 51.74468085] ; [ 5.74468085 24.25531915],0
a7,1,0.209589,1.574264,[30 35] ; [18 12],[32.84210526 32.15789474] ; [15.15789474 14.84210526],0
s4,1,0.224925,1.472672,[10 56] ; [ 2 29],[ 8.16494845 57.83505155] ; [ 3.83505155 27.16494845],0
r2,1,0.232513,1.42542,[32 31] ; [18 10],[34.61538462 28.38461538] ; [15.38461538 12.61538462],0
u3,1,0.232915,1.422968,[ 7 26] ; [4 6],[ 8.44186047 24.55813953] ; [2.55813953 7.44186047],0
v4,1,0.237053,1.398032,[37 29] ; [20  9],[39.6 26.4] ; [17.4 11.6],0
p5,1,0.241478,1.371942,[ 4 61] ; [ 4 26],[ 5.47368421 59.52631579] ; [ 2.52631579 27.47368421],0
b1,1,0.287048,1.133417,[35 31] ; [20 11],[37.42268041 28.57731959] ; [17.57731959 13.42268041],0
a5,1,0.308129,1.038677,[31 35] ; [18 13],[33.34020619 32.65979381] ; [15.65979381 15.34020619],0
b4,1,0.326888,0.961188,[41 25] ; [16 15],[38.78350515 27.21649485] ; [18.21649485 12.78350515],0
a4,1,0.356381,0.850607,[21 44] ; [13 18],[23.02083333 41.97916667] ; [10.97916667 20.02083333],0
r3,1,0.358906,0.841717,[27 38] ; [15 14],[29.04255319 35.95744681] ; [12.95744681 16.04255319],0
n1,1,0.362427,0.829467,[12 21] ; [8 8],[13.46938776 19.53061224] ; [6.53061224 9.46938776],0
p6,1,0.364513,0.822284,[ 7 57] ; [ 5 23],[ 8.34782609 55.65217391] ; [ 3.65217391 24.34782609],0
n5,1,0.457885,0.551059,[42 23] ; [17 13],[40.36842105 24.63157895] ; [18.63157895 11.36842105],0
b2,1,0.457965,0.550865,[15 26] ; [8 9],[16.25862069 24.74137931] ; [ 6.74137931 10.25862069],0
b3,1,0.457965,0.550865,[15 26] ; [8 9],[16.25862069 24.74137931] ; [ 6.74137931 10.25862069],0
b5,1,0.46978,0.522493,[31 35] ; [17 14],[32.65979381 33.34020619] ; [15.34020619 15.65979381],0
d5,1,0.609749,0.260541,[39 27] ; [20 11],[40.1443299 25.8556701] ; [18.8556701 12.1443299],0
n6,1,0.624671,0.239356,[36 29] ; [15 15],[34.89473684 30.10526316] ; [16.10526316 13.89473684],0
