Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,111.648891,[21 28] ; [188   2],[42.84937238  6.15062762] ; [166.15062762  23.84937238],1
v4,1,0.0,83.875363,[24 27] ; [183   6],[43.9875  7.0125] ; [163.0125  25.9875],1
r1,1,0.0,66.2011,[13 38] ; [158  31],[36.3375 14.6625] ; [134.6625  54.3375],1
r2,1,0.0,62.240487,[29 18] ; [185   3],[42.8  4.2] ; [171.2  16.8],1
p2,1,0.0,46.189464,[18 31] ; [160  30],[36.49372385 12.50627615] ; [141.50627615  48.49372385],1
p11,1,0.0,44.559218,[20 31] ; [161  29],[38.30290456 12.69709544] ; [142.69709544  47.30290456],1
p10,1,0.0,26.869099,[19 29] ; [148  42],[33.68067227 14.31932773] ; [133.31932773  56.68067227],1
p7,1,0.0,26.021826,[11 39] ; [118  71],[26.9874477 23.0125523] ; [102.0125523  86.9874477],1
a7,1,1.5e-05,18.720648,[21 29] ; [141  49],[33.75 16.25] ; [128.25  61.75],1
n6,1,3.7e-05,17.002832,[28 21] ; [160  30],[38.54393305 10.45606695] ; [149.45606695  40.54393305],1
p9,1,8.1e-05,15.542388,[23 24] ; [147  42],[33.8559322 13.1440678] ; [136.1440678  52.8559322],1
a1,1,0.000248,13.42753,[ 8 43] ; [  5 185],[ 2.75103734 48.24896266] ; [ 10.24896266 179.75103734],1
v2,1,0.000403,12.518927,[15 34] ; [108  75],[25.97844828 23.02155172] ; [97.02155172 85.97844828],1
p8,1,0.000717,11.443839,[12 38] ; [95 92],[22.57383966 27.42616034] ; [ 84.42616034 102.57383966],1
d3,1,0.001173,10.532569,[22 29] ; [129  61],[31.95435685 19.04564315] ; [119.04564315  70.95435685],0
v1,1,0.002148,9.41835,[13 36] ; [96 92],[22.53586498 26.46413502] ; [ 86.46413502 101.53586498],0
p3,1,0.003311,8.627518,[13 37] ; [93 96],[22.17573222 27.82426778] ; [ 83.82426778 105.17573222],0
n3,1,0.003634,8.458435,[12 12] ; [29  5],[16.96551724  7.03448276] ; [24.03448276  9.96551724],0
p4,1,0.00543,7.730492,[14 35] ; [96 93],[22.64705882 26.35294118] ; [ 87.35294118 101.64705882],0
a6,1,0.005798,7.611895,[28 23] ; [142  48],[35.97510373 15.02489627] ; [134.02489627  55.97510373],0
s1,1,0.006233,7.48154,[ 4 47] ; [  2 185],[ 1.28571429 49.71428571] ; [  4.71428571 182.28571429],0
d4,1,0.007786,7.081967,[31 19] ; [152  38],[38.125 11.875] ; [144.875  45.125],0
u3,1,0.010071,6.62225,[ 3 18] ; [25 29],[ 7.84 13.16] ; [20.16 33.84],0
d5,1,0.013088,6.157157,[32 19] ; [151  39],[38.72614108 12.27385892] ; [144.27385892  45.72614108],0
b1,1,0.023831,5.10689,[28 23] ; [ 71 119],[20.95020747 30.04979253] ; [ 78.04979253 111.95020747],0
v3,1,0.024655,5.047946,[13 38] ; [ 78 104],[19.91845494 31.08154506] ; [ 71.08154506 110.91845494],0
p6,1,0.027305,4.871435,[ 7 41] ; [ 57 130],[13.07234043 34.92765957] ; [ 50.92765957 136.07234043],0
b5,1,0.028023,4.826649,[21 30] ; [111  79],[27.93360996 23.06639004] ; [104.06639004  85.93360996],0
a5,1,0.040439,4.199374,[31 20] ; [143  47],[36.82157676 14.17842324] ; [137.17842324  52.82157676],0
s8,1,0.055048,3.680635,[ 6 45] ; [ 46 144],[11.00414938 39.99585062] ; [ 40.99585062 149.00414938],0
s5,1,0.086145,2.94497,[ 3 47] ; [ 28 155],[ 6.65236052 43.34763948] ; [ 24.34763948 158.65236052],0
a3,1,0.10258,2.664968,[30 20] ; [136  53],[34.72803347 15.27196653] ; [131.27196653  57.72803347],0
s3,1,0.126567,2.334114,[ 9 39] ; [ 56 132],[13.22033898 34.77966102] ; [ 51.77966102 136.22033898],0
u2,1,0.186814,1.742563,[ 6 15] ; [24 29],[ 8.51351351 12.48648649] ; [21.48648649 31.51351351],0
s2,1,0.257058,1.28453,[ 7 43] ; [ 40 149],[ 9.83263598 40.16736402] ; [ 37.16736402 151.83263598],0
n2,1,0.263552,1.25,[14 10] ; [26 10],[16.  8.] ; [24. 12.],0
d1,1,0.286653,1.135277,[25 26] ; [109  81],[28.35684647 22.64315353] ; [105.64315353  84.35684647],0
p5,1,0.298055,1.082878,[ 4 47] ; [  8 180],[ 2.56066946 48.43933054] ; [  9.43933054 178.56066946],0
a8,1,0.362566,0.828984,[ 4 43] ; [ 23 148],[ 5.82110092 41.17889908] ; [ 21.17889908 149.82110092],0
p1,1,0.383385,0.75982,[ 7 44] ; [ 18 171],[ 5.3125 45.6875] ; [ 19.6875 169.3125],0
s4,1,0.387696,0.746156,[ 5 46] ; [ 12 178],[ 3.59751037 47.40248963] ; [ 13.40248963 176.59751037],0
b4,1,0.480156,0.498509,[31 20] ; [105  85],[28.78008299 22.21991701] ; [107.21991701  82.78008299],0
a2,1,0.538653,0.378042,[ 9 42] ; [ 41 149],[10.58091286 40.41908714] ; [ 39.41908714 150.58091286],0
u1,1,0.581565,0.303711,[ 5 46] ; [ 24 166],[ 6.13692946 44.86307054] ; [ 22.86307054 167.13692946],0
a4,1,0.623488,0.240995,[22 28] ; [91 99],[23.54166667 26.45833333] ; [ 89.45833333 100.54166667],0
p12,1,0.675512,0.175222,[ 1 48] ; [  6 183],[ 1.44117647 47.55882353] ; [  5.55882353 183.44117647],0
n1,1,0.724301,0.124409,[11 13] ; [14 20],[10.34482759 13.65517241] ; [14.65517241 19.34482759],0
d2,1,0.770003,0.085481,[25 24] ; [92 97],[24.08823529 24.91176471] ; [92.91176471 96.08823529],0
b2,1,0.950409,0.003868,[14 17] ; [53 66],[13.84666667 17.15333333] ; [53.15333333 65.84666667],0
b3,1,0.950409,0.003868,[14 17] ; [53 66],[13.84666667 17.15333333] ; [53.15333333 65.84666667],0
s7,1,0.957136,0.002889,[12 34] ; [ 46 133],[11.85777778 34.14222222] ; [ 46.14222222 132.85777778],0
n5,1,0.984721,0.000367,[40 11] ; [148  41],[39.95 11.05] ; [148.05  40.95],0
