Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.002948,8.839286,[22 11] ; [ 2 10],[17.6 15.4] ; [6.4 5.6],0
d2,1,0.003285,8.642045,[19 14] ; [ 1 11],[14.66666667 18.33333333] ; [5.33333333 6.66666667],0
d4,1,0.011486,6.38859,[30  3] ; [7 5],[27.13333333  5.86666667] ; [9.86666667 2.13333333],0
a4,1,0.021421,5.292173,[15 18] ; [ 1 11],[11.73333333 21.26666667] ; [4.26666667 7.73333333],0
d3,1,0.021597,5.278003,[21 12] ; [3 9],[17.6 15.4] ; [6.4 5.6],0
v2,1,0.023739,5.113636,[18 15] ; [ 2 10],[14.66666667 18.33333333] ; [5.33333333 6.66666667],0
s5,1,0.085534,2.95647,[11 19] ; [ 1 10],[ 8.7804878 21.2195122] ; [3.2195122 7.7804878],0
v3,1,0.093533,2.8125,[11 22] ; [ 1 11],[ 8.8 24.2] ; [3.2 8.8],0
s4,1,0.098842,2.724131,[ 8 25] ; [6 6],[10.26666667 22.73333333] ; [3.73333333 8.26666667],0
s1,1,0.10487,2.62987,[ 1 32] ; [ 2 10],[ 2.2 30.8] ; [ 0.8 11.2],0
n5,1,0.106787,2.601135,[21 10] ; [11  1],[23.06976744  7.93023256] ; [8.93023256 3.06976744],0
p3,1,0.110434,2.548002,[14 19] ; [ 2 10],[11.73333333 21.26666667] ; [4.26666667 7.73333333],0
r3,1,0.112819,2.514286,[24  8] ; [6 6],[21.81818182 10.18181818] ; [8.18181818 3.81818182],0
s6,1,0.149996,2.072293,[21 11] ; [5 7],[18.90909091 13.09090909] ; [7.09090909 4.90909091],0
p11,1,0.170022,1.882748,[26  7] ; [7 5],[24.2  8.8] ; [8.8 3.2],0
s3,1,0.172784,1.858621,[23  9] ; [6 6],[21.09090909 10.90909091] ; [7.90909091 4.09090909],0
p9,1,0.18924,1.723524,[25  7] ; [7 5],[23.27272727  8.72727273] ; [8.72727273 3.27272727],0
a7,1,0.208096,1.584621,[18 15] ; [4 8],[16.13333333 16.86666667] ; [5.86666667 6.13333333],0
p8,1,0.214044,1.54386,[12 20] ; [7 5],[13.81818182 18.18181818] ; [5.18181818 6.81818182],0
u2,1,0.220671,1.5,[5 3] ; [1 3],[4. 4.] ; [2. 2.],0
a5,1,0.222215,1.490008,[23 10] ; [6 6],[21.26666667 11.73333333] ; [7.73333333 4.26666667],0
p7,1,0.255014,1.295627,[18 14] ; [4 7],[16.37209302 15.62790698] ; [5.62790698 5.37209302],0
v1,1,0.264069,1.247296,[14 16] ; [3 8],[12.43902439 17.56097561] ; [4.56097561 6.43902439],0
v4,1,0.371729,0.797878,[24  7] ; [7 4],[22.88095238  8.11904762] ; [8.11904762 2.88095238],0
n3,1,0.381905,0.76456,[ 6 10] ; [4 3],[6.95652174 9.04347826] ; [3.04347826 3.95652174],0
r2,1,0.435484,0.608154,[19  9] ; [6 5],[17.94871795 10.05128205] ; [7.05128205 3.94871795],0
p6,1,0.435959,0.606897,[12 20] ; [3 9],[10.90909091 21.09090909] ; [4.09090909 7.90909091],0
a1,1,0.445249,0.582717,[ 1 32] ; [ 1 11],[ 1.46666667 31.53333333] ; [ 0.53333333 11.46666667],0
n2,1,0.549185,0.358779,[14  3] ; [5 2],[13.45833333  3.54166667] ; [5.54166667 1.45833333],0
p5,1,0.551846,0.354021,[ 5 28] ; [ 1 11],[ 4.4 28.6] ; [ 1.6 10.4],0
b4,1,0.558917,0.341583,[17 16] ; [5 7],[16.13333333 16.86666667] ; [5.86666667 6.13333333],0
p4,1,0.558917,0.341583,[17 16] ; [5 7],[16.13333333 16.86666667] ; [5.86666667 6.13333333],0
u3,1,0.568618,0.325,[6 3] ; [2 2],[5.53846154 3.46153846] ; [2.46153846 1.53846154],0
p10,1,0.58042,0.305556,[24  8] ; [8 4],[23.27272727  8.72727273] ; [8.72727273 3.27272727],0
n6,1,0.619668,0.246334,[20 11] ; [8 3],[20.66666667 10.33333333] ; [7.33333333 3.66666667],0
n4,1,0.691615,0.157343,[24  9] ; [8 4],[23.46666667  9.53333333] ; [8.53333333 3.46666667],0
a3,1,0.691615,0.157343,[24  9] ; [8 4],[23.46666667  9.53333333] ; [8.53333333 3.46666667],0
s8,1,0.786944,0.073052,[18 15] ; [6 6],[17.6 15.4] ; [6.4 5.6],0
b5,1,0.821098,0.051136,[18 15] ; [7 5],[18.33333333 14.66666667] ; [6.66666667 5.33333333],0
b2,1,0.841219,0.040134,[10 17] ; [3 6],[ 9.75 17.25] ; [3.25 5.75],0
b3,1,0.841219,0.040134,[10 17] ; [3 6],[ 9.75 17.25] ; [3.25 5.75],0
p2,1,0.878825,0.023244,[24  9] ; [9 3],[24.2  8.8] ; [8.8 3.2],0
b1,1,0.928354,0.008085,[16 17] ; [6 6],[16.13333333 16.86666667] ; [5.86666667 6.13333333],0
n1,1,0.939491,0.005762,[ 7 10] ; [3 4],[7.08333333 9.91666667] ; [2.91666667 4.08333333],0
r1,1,0.948238,0.004215,[11 21] ; [4 8],[10.90909091 21.09090909] ; [4.09090909 7.90909091],0
s2,1,0.963708,0.00207,[19 14] ; [7 5],[19.06666667 13.93333333] ; [6.93333333 5.06666667],0
