Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,36.03116,[ 7 10] ; [68  2],[14.65517241  2.34482759] ; [60.34482759  9.65517241],1
v4,1,4e-06,21.202856,[11  6] ; [69  1],[15.63218391  1.36781609] ; [64.36781609  5.63218391],1
r1,1,4.1e-05,16.842427,[ 4 13] ; [54 17],[11.20454545  5.79545455] ; [46.79545455 24.20454545],1
p9,1,0.00039,12.577653,[ 7 10] ; [58 12],[12.70114943  4.29885057] ; [52.29885057 17.70114943],1
s6,1,0.003497,8.528192,[9 8] ; [58 10],[13.4  3.6] ; [53.6 14.4],0
n6,1,0.004494,8.072772,[9 8] ; [60 11],[13.32954545  3.67045455] ; [55.67045455 15.32954545],0
p10,1,0.005105,7.84193,[8 9] ; [57 14],[12.55681818  4.44318182] ; [52.44318182 18.55681818],0
n2,1,0.012524,6.235105,[4 5] ; [20  3],[6.75 2.25] ; [17.25  5.75],0
d1,1,0.019997,5.412188,[ 4 13] ; [39 32],[8.30681818 8.69318182] ; [34.69318182 36.30681818],0
a7,1,0.021771,5.264026,[ 6 11] ; [46 24],[10.16091954  6.83908046] ; [41.83908046 28.16091954],0
d5,1,0.031597,4.620236,[9 8] ; [55 15],[12.50574713  4.49425287] ; [51.49425287 18.50574713],0
v1,1,0.047849,3.915273,[ 3 14] ; [31 40],[ 6.56818182 10.43181818] ; [27.43181818 43.56818182],0
s8,1,0.054737,3.690078,[ 4 13] ; [35 36],[7.53409091 9.46590909] ; [31.46590909 39.53409091],0
s5,1,0.05637,3.641076,[ 4 12] ; [34 32],[7.41463415 8.58536585] ; [30.58536585 35.41463415],0
n3,1,0.063515,3.443127,[4 5] ; [18  5],[6.1875 2.8125] ; [15.8125  7.1875],0
u2,1,0.064517,3.417279,[7 2] ; [10 14],[4.63636364 4.36363636] ; [12.36363636 11.63636364],0
a5,1,0.067938,3.332149,[8 9] ; [50 21],[11.20454545  5.79545455] ; [46.79545455 24.20454545],0
d4,1,0.078069,3.104652,[9 8] ; [53 18],[11.97727273  5.02272727] ; [50.02272727 20.97727273],0
a6,1,0.094423,2.797301,[ 7 10] ; [45 26],[10.04545455  6.95454545] ; [41.95454545 29.04545455],0
b4,1,0.118681,2.434645,[ 6 11] ; [40 31],[8.88636364 8.11363636] ; [37.11363636 33.88636364],0
a3,1,0.143175,2.143496,[8 9] ; [47 24],[10.625  6.375] ; [44.375 26.625],0
p3,1,0.145732,2.116368,[ 6 11] ; [39 32],[8.69318182 8.30681818] ; [36.30681818 34.69318182],0
s2,1,0.180783,1.791176,[9 8] ; [49 21],[11.33333333  5.66666667] ; [46.66666667 23.33333333],0
v3,1,0.208268,1.583427,[ 1 16] ; [13 58],[ 2.70454545 14.29545455] ; [11.29545455 59.70454545],0
p4,1,0.216815,1.52533,[8 9] ; [45 26],[10.23863636  6.76136364] ; [42.76136364 28.23863636],0
a2,1,0.250101,1.322739,[ 1 16] ; [12 59],[ 2.51136364 14.48863636] ; [10.48863636 60.51136364],0
d2,1,0.28309,1.152196,[ 5 12] ; [31 40],[ 6.95454545 10.04545455] ; [29.04545455 41.95454545],0
p6,1,0.331183,0.944267,[ 5 12] ; [30 41],[ 6.76136364 10.23863636] ; [28.23863636 42.76136364],0
s3,1,0.356384,0.850594,[10  7] ; [50 21],[11.59090909  5.40909091] ; [48.40909091 22.59090909],0
u1,1,0.358355,0.84365,[ 1 16] ; [10 61],[ 2.125 14.875] ; [ 8.875 62.125],0
b2,1,0.361094,0.834085,[ 2 12] ; [10 28],[ 3.23076923 10.76923077] ; [ 8.76923077 29.23076923],0
b3,1,0.361094,0.834085,[ 2 12] ; [10 28],[ 3.23076923 10.76923077] ; [ 8.76923077 29.23076923],0
n4,1,0.364762,0.821431,[9 8] ; [46 25],[10.625  6.375] ; [44.375 26.625],0
s1,1,0.367685,0.811472,[ 2 15] ; [ 4 67],[ 1.15909091 15.84090909] ; [ 4.84090909 66.15909091],0
d3,1,0.376278,0.782827,[10  7] ; [49 21],[11.52873563  5.47126437] ; [47.47126437 22.52873563],0
u3,1,0.407016,0.6875,[5 4] ; [17  7],[6. 3.] ; [16.  8.],0
p1,1,0.427904,0.628505,[ 1 16] ; [ 9 62],[ 1.93181818 15.06818182] ; [ 8.06818182 62.93181818],0
p2,1,0.428651,0.626476,[13  4] ; [60 11],[14.10227273  2.89772727] ; [58.89772727 12.10227273],0
p7,1,0.464466,0.535111,[8 8] ; [42 28],[9.30232558 6.69767442] ; [40.69767442 29.30232558],0
s7,1,0.464481,0.535074,[11  5] ; [40 28],[9.71428571 6.28571429] ; [41.28571429 26.71428571],0
a4,1,0.507097,0.440052,[ 5 12] ; [27 44],[ 6.18181818 10.81818182] ; [25.81818182 45.18181818],0
p8,1,0.631826,0.229592,[8 9] ; [38 33],[8.88636364 8.11363636] ; [37.11363636 33.88636364],0
p11,1,0.646175,0.210756,[11  6] ; [50 21],[11.78409091  5.21590909] ; [49.21590909 21.78409091],0
n1,1,0.760705,0.092754,[3 6] ; [ 9 14],[3.375 5.625] ; [ 8.625 14.375],0
b1,1,0.895258,0.017333,[ 7 10] ; [28 43],[ 6.76136364 10.23863636] ; [28.23863636 42.76136364],0
n5,1,0.899404,0.01598,[12  5] ; [49 22],[11.78409091  5.21590909] ; [49.21590909 21.78409091],0
b5,1,0.980085,0.000623,[10  7] ; [42 29],[10.04545455  6.95454545] ; [41.95454545 29.04545455],0
