Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,60.78421,[53  8] ; [32 91],[28.17934783 32.82065217] ; [56.82065217 66.17934783],1
s7,1,0.0,37.07706,[39 20] ; [23 94],[20.78409091 38.21590909] ; [41.21590909 75.78409091],1
s8,1,0.0,29.140759,[35 27] ; [ 22 102],[19. 43.] ; [38. 86.],1
s6,1,0.0,28.986991,[49 12] ; [47 76],[31.82608696 29.17391304] ; [64.17391304 58.82608696],1
s5,1,1.6e-05,18.606483,[24 38] ; [ 14 108],[12.80434783 49.19565217] ; [25.19565217 96.80434783],1
s4,1,0.000432,12.388404,[19 42] ; [ 13 112],[10.49462366 50.50537634] ; [ 21.50537634 103.49462366],1
p10,1,0.010898,6.4819,[48 12] ; [74 47],[40.44198895 19.55801105] ; [81.55801105 39.44198895],0
r2,1,0.01215,6.28879,[58  3] ; [101  23],[52.42702703  8.57297297] ; [106.57297297  17.42702703],0
n6,1,0.03294,4.548913,[52 10] ; [86 38],[46. 16.] ; [92. 32.],0
d5,1,0.054268,3.704436,[32 29] ; [47 78],[25.90860215 35.09139785] ; [53.09139785 71.90860215],0
n2,1,0.074462,3.181818,[16  2] ; [28 14],[13.2  4.8] ; [30.8 11.2],0
r4,1,0.100774,2.693244,[51 11] ; [89 36],[46.4171123 15.5828877] ; [93.5828877 31.4171123],0
p9,1,0.102645,2.663952,[49 13] ; [81 39],[44.28571429 17.71428571] ; [85.71428571 34.28571429],0
p7,1,0.108562,2.575024,[39 21] ; [64 58],[33.95604396 26.04395604] ; [69.04395604 52.95604396],0
b3,1,0.112947,2.512492,[ 7 32] ; [23 49],[10.54054054 28.45945946] ; [19.45945946 52.54054054],0
b2,1,0.112947,2.512492,[ 7 32] ; [23 49],[10.54054054 28.45945946] ; [19.45945946 52.54054054],0
u2,1,0.124681,2.357516,[ 9 21] ; [33 38],[12.47524752 17.52475248] ; [29.52475248 41.47524752],0
r3,1,0.125107,2.352188,[55  7] ; [98 25],[51.27567568 10.72432432] ; [101.72432432  21.27567568],0
r1,1,0.14433,2.131175,[42 19] ; [71 52],[37.46195652 23.53804348] ; [75.53804348 47.46195652],0
p6,1,0.183712,1.767334,[21 41] ; [30 92],[17.18478261 44.81521739] ; [33.81521739 88.18478261],0
