Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,269.185715,[245  30] ; [ 74 258],[144.52224053 130.47775947] ; [174.47775947 157.52224053],1
s6,1,0.0,103.044808,[231  44] ; [145 186],[170.62706271 104.37293729] ; [205.37293729 125.62706271],1
s7,1,0.0,94.673253,[184  88] ; [ 87 229],[125.36054422 146.63945578] ; [145.63945578 170.36054422],1
s8,1,0.0,87.667911,[178 100] ; [ 88 246],[120.83006536 157.16993464] ; [145.16993464 188.83006536],1
s5,1,0.0,52.307401,[121 149] ; [ 58 271],[ 80.68447412 189.31552588] ; [ 98.31552588 230.68447412],1
p12,1,4.5e-05,16.642682,[ 40 237] ; [ 16 315],[ 25.51315789 251.48684211] ; [ 30.48684211 300.51315789],1
d4,1,7.1e-05,15.789743,[246  31] ; [256  79],[227.2124183  49.7875817] ; [274.7875817  60.2124183],1
n5,1,0.000126,14.694218,[230  47] ; [232 101],[209.79344262  67.20655738] ; [252.20655738  80.79344262],1
d1,1,0.000146,14.425022,[185  95] ; [171 165],[161.81818182 118.18181818] ; [194.18181818 141.81818182],1
p10,1,0.000418,12.451658,[251  26] ; [266  65],[235.54111842  41.45888158] ; [281.45888158  49.54111842],1
a3,1,0.000807,11.226056,[217  61] ; [221 115],[198.31270358  79.68729642] ; [239.68729642  96.31270358],1
p4,1,0.001642,9.912138,[185  91] ; [182 152],[166.05245902 109.94754098] ; [200.94754098 133.05245902],0
v3,1,0.00181,9.733239,[129 136] ; [118 210],[110.37942664 154.62057336] ; [136.62057336 191.37942664],0
v1,1,0.003362,8.599866,[166 101] ; [164 163],[148.33333333 118.66666667] ; [181.66666667 145.33333333],0
p6,1,0.003616,8.467096,[113 161] ; [ 98 230],[ 96.03654485 177.96345515] ; [114.96345515 213.03654485],0
n4,1,0.005432,7.729566,[237  43] ; [254  82],[223.18181818  56.81818182] ; [267.81818182  68.18181818],0
a2,1,0.005716,7.637848,[ 75 205] ; [ 59 277],[ 60.90909091 219.09090909] ; [ 73.09090909 262.90909091],0
u1,1,0.011274,6.421622,[ 56 224] ; [ 42 294],[ 44.54545455 235.45454545] ; [ 53.45454545 282.54545455],0
u4,1,0.011825,6.336877,[ 11 269] ; [  3 333],[  6.36363636 273.63636364] ; [  7.63636364 328.36363636],0
a5,1,0.012138,6.290616,[220  59] ; [235 101],[206.41463415  72.58536585] ; [248.58536585  87.41463415],0
v4,1,0.013709,6.075207,[269   7] ; [312  23],[262.44844517  13.55155483] ; [318.55155483  16.44844517],0
a8,1,0.017616,5.63394,[ 52 208] ; [ 38 263],[ 41.71122995 218.28877005] ; [ 48.28877005 252.71122995],0
p3,1,0.01988,5.42239,[153 123] ; [154 181],[138.67757774 137.32242226] ; [168.32242226 166.67757774],0
d2,1,0.025645,4.979796,[145 133] ; [144 190],[131.27777778 146.72222222] ; [157.72222222 176.27777778],0
r2,1,0.033836,4.50297,[265  11] ; [303  27],[258.69306931  17.30693069] ; [309.30693069  20.69306931],0
p7,1,0.03569,4.411865,[187  80] ; [204 126],[174.86934673  92.13065327] ; [216.13065327 113.86934673],0
n6,1,0.042754,4.105096,[245  31] ; [278  57],[236.2487725  39.7512275] ; [286.7512275  48.2487725],0
a1,1,0.04376,4.065787,[ 19 261] ; [ 11 325],[ 13.63636364 266.36363636] ; [ 16.36363636 319.63636364],0
u3,1,0.054978,3.682747,[42 21] ; [59 55],[35.94915254 27.05084746] ; [65.05084746 48.94915254],0
p9,1,0.055146,3.67767,[248  27] ; [283  50],[240.17269737  34.82730263] ; [290.82730263  42.17269737],0
a6,1,0.059427,3.5533,[179  98] ; [241  95],[189.78792822  87.21207178] ; [230.21207178 105.78792822],0
n1,1,0.079028,3.084778,[22 26] ; [23 53],[17.41935484 30.58064516] ; [27.58064516 48.41935484],0
r1,1,0.080199,3.060859,[230  48] ; [258  77],[221.31158238  56.68841762] ; [266.68841762  68.31158238],0
r4,1,0.086924,2.930432,[259  21] ; [297  39],[252.72727273  27.27272727] ; [303.27272727  32.72727273],0
d5,1,0.106062,2.611944,[232  46] ; [263  73],[224.12052117  53.87947883] ; [270.87947883  65.12052117],0
p5,1,0.106291,2.608517,[ 42 230] ; [ 37 299],[ 35.34210526 236.65789474] ; [ 43.65789474 292.34210526],0
v2,1,0.115173,2.481768,[171  98] ; [183 137],[161.67402377 107.32597623] ; [192.32597623 127.67402377],0
r3,1,0.188926,1.725971,[272   7] ; [319  15],[268.98694943  10.01305057] ; [322.01305057  11.98694943],0
a4,1,0.221245,1.496276,[129 150] ; [138 196],[121.52202284 157.47797716] ; [145.47797716 188.52202284],0
n2,1,0.222353,1.489123,[39 10] ; [53 23],[36.064 12.936] ; [55.936 20.064],0
d3,1,0.248888,1.329532,[191  87] ; [216 120],[184.27687296  93.72312704] ; [222.72312704 113.27687296],0
s1,1,0.252975,1.306799,[  9 268] ; [  6 326],[  6.8226601 270.1773399] ; [  8.1773399 323.8226601],0
b2,1,0.262703,1.254455,[ 84 107] ; [ 78 125],[ 78.53299492 112.46700508] ; [ 83.46700508 119.53299492],0
b3,1,0.262703,1.254455,[ 84 107] ; [ 78 125],[ 78.53299492 112.46700508] ; [ 83.46700508 119.53299492],0
n3,1,0.357387,0.847054,[35 15] ; [58 17],[37.2 12.8] ; [55.8 19.2],0
u2,1,0.455897,0.555949,[40 22] ; [67 47],[37.69318182 24.30681818] ; [69.30681818 44.69318182],0
p8,1,0.51833,0.417215,[156 119] ; [178 151],[152.06953642 122.93046358] ; [181.93046358 147.06953642],0
a7,1,0.545676,0.36512,[202  76] ; [236  99],[198.63621533  79.36378467] ; [239.36378467  95.63621533],0
b1,1,0.72454,0.124184,[103 177] ; [119 217],[100.90909091 179.09090909] ; [121.09090909 214.90909091],0
b4,1,0.753226,0.09884,[164 116] ; [201 135],[165.90909091 114.09090909] ; [199.09090909 136.90909091],0
p2,1,0.838237,0.041677,[237  39] ; [284  49],[236.1182266  39.8817734] ; [284.8817734  48.1182266],0
p1,1,0.870964,0.026385,[ 25 251] ; [ 29 305],[ 24.43278689 251.56721311] ; [ 29.56721311 304.43278689],0
b5,1,0.905053,0.014228,[162 118] ; [196 140],[162.72727273 117.27272727] ; [195.27272727 140.72727273],0
