Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.676086,[3 3] ; [316  16],[5.66272189 0.33727811] ; [313.33727811  18.66272189],1
r1,1,0.000401,12.527091,[2 4] ; [282  47],[5.08656716 0.91343284] ; [278.91343284  50.08656716],1
s3,1,0.005271,7.78416,[3 3] ; [289  39],[5.24550898 0.75449102] ; [286.75449102  41.24550898],0
s7,1,0.007812,7.076065,[1 5] ; [216 101],[4.03095975 1.96904025] ; [212.96904025 104.03095975],0
d5,1,0.024663,5.047362,[3 3] ; [278  52],[5.01785714 0.98214286] ; [275.98214286  54.01785714],0
a3,1,0.02559,4.983494,[2 4] ; [245  86],[4.39762611 1.60237389] ; [242.60237389  88.39762611],0
r3,1,0.032244,4.585451,[5 1] ; [322   8],[5.83928571 0.16071429] ; [321.16071429   8.83928571],0
p9,1,0.060411,3.526054,[4 2] ; [293  32],[5.3836858 0.6163142] ; [291.6163142  33.3836858],0
n5,1,0.10574,2.616768,[3 3] ; [257  73],[4.64285714 1.35714286] ; [255.35714286  74.64285714],0
n4,1,0.10997,2.554649,[3 3] ; [257  74],[4.62908012 1.37091988] ; [255.37091988  75.62908012],0
a5,1,0.125748,2.34423,[3 3] ; [255  77],[4.57988166 1.42011834] ; [253.42011834  78.57988166],0
a4,1,0.136231,2.220023,[1 5] ; [157 175],[2.80473373 3.19526627] ; [155.19526627 176.80473373],0
a1,1,0.164892,1.928778,[1 5] ; [ 15 317],[0.28402367 5.71597633] ; [ 15.71597633 316.28402367],0
p2,1,0.178496,1.810101,[4 2] ; [284  46],[5.14285714 0.85714286] ; [282.85714286  47.14285714],0
v3,1,0.211609,1.560384,[1 5] ; [132 182],[2.49375 3.50625] ; [130.50625 183.49375],0
s8,1,0.23437,1.414141,[2 4] ; [190 140],[3.42857143 2.57142857] ; [188.57142857 141.42857143],0
v1,1,0.259745,1.270117,[2 4] ; [181 140],[3.35779817 2.64220183] ; [179.64220183 141.35779817],0
d1,1,0.338782,0.915036,[3 3] ; [227 105],[4.08284024 1.91715976] ; [225.91715976 106.08284024],0
p3,1,0.357301,0.847356,[2 4] ; [172 157],[3.11641791 2.88358209] ; [170.88358209 158.11641791],0
b5,1,0.394678,0.72448,[5 1] ; [222 110],[4.0295858 1.9704142] ; [222.9704142 109.0295858],0
p7,1,0.425937,0.633876,[3 3] ; [208 109],[3.91950464 2.08049536] ; [207.08049536 109.91950464],0
u3,1,0.446984,0.578289,[2 2] ; [58 27],[2.69662921 1.30337079] ; [57.30337079 27.69662921],0
s5,1,0.482545,0.493106,[2 4] ; [151 165],[2.85093168 3.14906832] ; [150.14906832 165.85093168],0
b1,1,0.505118,0.444166,[3 3] ; [122 210],[2.21893491 3.78106509] ; [122.78106509 209.21893491],0
a6,1,0.610683,0.259181,[4 2] ; [249  80],[4.53134328 1.46865672] ; [248.46865672  80.53134328],0
u2,1,0.654726,0.199994,[2 2] ; [52 33],[2.42696629 1.57303371] ; [51.57303371 33.42696629],0
s4,1,0.693318,0.155517,[1 5] ; [ 77 250],[1.40540541 4.59459459] ; [ 76.59459459 250.40540541],0
p12,1,0.71392,0.134393,[1 5] ; [ 39 292],[0.71216617 5.28783383] ; [ 39.28783383 291.71216617],0
p6,1,0.71963,0.128848,[3 3] ; [140 188],[2.56886228 3.43113772] ; [140.43113772 187.56886228],0
v2,1,0.722775,0.125849,[4 2] ; [188 128],[3.57763975 2.42236025] ; [188.42236025 127.57763975],0
p10,1,0.762769,0.091111,[5 1] ; [286  41],[5.24324324 0.75675676] ; [285.75675676  41.24324324],0
b4,1,0.771993,0.083966,[4 2] ; [202 130],[3.65680473 2.34319527] ; [202.34319527 129.65680473],0
p5,1,0.782015,0.07656,[1 5] ; [ 42 285],[0.77477477 5.22522523] ; [ 42.22522523 284.77477477],0
n6,1,0.798499,0.065173,[5 1] ; [285  43],[5.20958084 0.79041916] ; [284.79041916  43.20958084],0
s6,1,0.819656,0.051978,[5 1] ; [283  44],[5.18918919 0.81081081] ; [282.81081081  44.18918919],0
p8,1,0.852366,0.034633,[3 3] ; [176 151],[3.22522523 2.77477477] ; [175.77477477 151.22522523],0
a8,1,0.976833,0.000843,[1 5] ; [ 49 253],[0.97402597 5.02597403] ; [ 49.02597403 252.97402597],0
p4,1,0.983399,0.000433,[4 2] ; [218 111],[3.9761194 2.0238806] ; [218.0238806 110.9761194],0
