Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,29.695315,[193  59] ; [19 31],[176.90066225  75.09933775] ; [35.09933775 14.90066225],1
s8,1,1e-06,24.479448,[182  82] ; [17 35],[166.25316456  97.74683544] ; [32.74683544 19.25316456],1
s6,1,3e-06,21.641272,[236  24] ; [34 17],[225.72347267  34.27652733] ; [44.27652733  6.72347267],1
s5,1,4e-06,21.349756,[128 123] ; [ 8 43],[113.03311258 137.96688742] ; [22.96688742 28.03311258],1
p9,1,1.7e-05,18.46616,[240  24] ; [36 16],[230.58227848  33.41772152] ; [45.41772152  6.58227848],1
p10,1,0.000333,12.874037,[232  31] ; [35 16],[223.63375796  39.36624204] ; [43.36624204  7.63375796],1
d4,1,0.000424,12.421557,[233  31] ; [36 16],[224.73417722  39.26582278] ; [44.26582278  7.73417722],1
d1,1,0.001631,9.924943,[187  78] ; [25 27],[177.22397476  87.77602524] ; [34.77602524 17.22397476],0
u2,1,0.002959,8.832649,[38 16] ; [ 6 13],[32.54794521 21.45205479] ; [11.45205479  7.54794521],0
r2,1,0.012327,6.263264,[253   9] ; [46  6],[249.48407643  12.51592357] ; [49.51592357  2.48407643],0
a3,1,0.013891,6.051884,[210  55] ; [33 19],[203.13880126  61.86119874] ; [39.86119874 12.13880126],0
v4,1,0.016331,5.766878,[257   7] ; [47  5],[253.97468354  10.02531646] ; [50.02531646  1.97468354],0
a2,1,0.025918,4.961449,[ 81 184] ; [ 8 44],[ 74.40063091 190.59936909] ; [14.59936909 37.40063091],0
v1,1,0.036139,4.39055,[153 102] ; [23 29],[146.18892508 108.81107492] ; [29.81107492 22.18892508],0
d5,1,0.039278,4.248812,[224  40] ; [38 14],[218.88607595  45.11392405] ; [43.11392405  8.88607595],0
u1,1,0.056833,3.627487,[ 62 203] ; [ 6 46],[ 56.84542587 208.15457413] ; [11.15457413 40.84542587],0
n2,1,0.066238,3.373881,[39  8] ; [5 4],[36.92857143 10.07142857] ; [7.07142857 1.92857143],0
n5,1,0.066292,3.372538,[222  43] ; [38 14],[217.35015773  47.64984227] ; [42.64984227  9.35015773],0
n4,1,0.068291,3.323616,[221  43] ; [38 14],[216.37974684  47.62025316] ; [42.62025316  9.37974684],0
r1,1,0.071045,3.258717,[224  39] ; [39 13],[219.58412698  43.41587302] ; [43.41587302  8.58412698],0
p12,1,0.080452,3.055744,[ 39 225] ; [ 3 49],[ 35.08860759 228.91139241] ; [ 6.91139241 45.08860759],0
a4,1,0.081523,3.034271,[134 131] ; [19 32],[128.30696203 136.69303797] ; [24.69303797 26.30696203],0
n6,1,0.082449,3.015951,[235  28] ; [42 10],[231.27301587  31.72698413] ; [45.72698413  6.27301587],0
p7,1,0.101324,2.684576,[193  68] ; [44  8],[197.62619808  63.37380192] ; [39.37380192 12.62619808],0
p6,1,0.116775,2.460056,[137 125] ; [21 31],[131.8343949 130.1656051] ; [26.1656051 25.8343949],0
p8,1,0.14225,2.153449,[163 101] ; [37 14],[167.61904762  96.38095238] ; [32.38095238 18.61904762],0
u3,1,0.233767,1.417795,[36 17] ; [10  9],[33.86111111 19.13888889] ; [12.13888889  6.86111111],0
b3,1,0.24671,1.341837,[ 67 105] ; [10 25],[ 63.98067633 108.01932367] ; [13.01932367 21.98067633],0
b2,1,0.24671,1.341837,[ 67 105] ; [10 25],[ 63.98067633 108.01932367] ; [13.01932367 21.98067633],0
u4,1,0.296779,1.088614,[ 14 251] ; [ 1 51],[ 12.53943218 252.46056782] ; [ 2.46056782 49.53943218],0
p11,1,0.310988,1.026477,[215  50] ; [39 13],[212.33438486  52.66561514] ; [41.66561514 10.33438486],0
s4,1,0.323069,0.976484,[ 62 201] ; [ 9 43],[ 59.27936508 203.72063492] ; [11.72063492 40.27936508],0
a7,1,0.331604,0.942624,[195  69] ; [35 17],[192.15189873  71.84810127] ; [37.84810127 14.15189873],0
a1,1,0.378275,0.776301,[ 19 246] ; [ 2 50],[ 17.55520505 247.44479495] ; [ 3.44479495 48.55520505],0
b5,1,0.381198,0.766835,[155 110] ; [27 25],[152.14511041 112.85488959] ; [29.85488959 22.14511041],0
d2,1,0.409075,0.681488,[149 116] ; [26 26],[146.29337539 118.70662461] ; [28.70662461 23.29337539],0
d3,1,0.43746,0.602937,[202  63] ; [37 15],[199.79495268  65.20504732] ; [39.20504732 12.79495268],0
p3,1,0.502619,0.449403,[185  79] ; [34 18],[182.96202532  81.03797468] ; [36.03797468 15.96202532],0
v2,1,0.547404,0.361988,[144 111] ; [27 25],[142.03583062 112.96416938] ; [28.96416938 23.03583062],0
p5,1,0.560061,0.339599,[ 50 211] ; [ 8 43],[ 48.51923077 212.48076923] ; [ 9.48076923 41.51923077],0
p2,1,0.582082,0.30288,[240  24] ; [46  6],[238.93670886  25.06329114] ; [47.06329114  4.93670886],0
a6,1,0.60429,0.268574,[178  87] ; [33 19],[176.38801262  88.61198738] ; [34.61198738 17.38801262],0
r4,1,0.653655,0.201323,[249  16] ; [48  4],[248.2807571  16.7192429] ; [48.7192429  3.2807571],0
s1,1,0.68593,0.163526,[ 12 251] ; [ 3 48],[ 12.56369427 250.43630573] ; [ 2.43630573 48.56369427],0
p1,1,0.707212,0.141077,[ 30 233] ; [ 5 47],[ 29.22222222 233.77777778] ; [ 5.77777778 46.22222222],0
b1,1,0.714057,0.134259,[115 150] ; [24 28],[116.19873817 148.80126183] ; [22.80126183 29.19873817],0
r3,1,0.758704,0.094361,[256   8] ; [50  2],[255.64556962   8.35443038] ; [50.35443038  1.64556962],0
n1,1,0.760447,0.09296,[23 23] ; [4 5],[22.58181818 23.41818182] ; [4.41818182 4.58181818],0
a8,1,0.775571,0.08128,[ 36 215] ; [ 6 41],[ 35.37583893 215.62416107] ; [ 6.62416107 40.37583893],0
a5,1,0.802245,0.062722,[208  57] ; [40 12],[207.31861199  57.68138801] ; [40.68138801 11.31861199],0
v3,1,0.928104,0.008142,[110 141] ; [22 29],[109.70860927 141.29139073] ; [22.29139073 28.70860927],0
n3,1,0.949497,0.004012,[37 10] ; [7 2],[36.92857143 10.07142857] ; [7.07142857 1.92857143],0
b4,1,0.995363,3.4e-05,[153 112] ; [30 22],[152.98107256 112.01892744] ; [30.01892744 21.98107256],0
