Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,50.860769,[134  32] ; [ 94 117],[100.39257294  65.60742706] ; [127.60742706  83.39257294],1
v1,1,2e-06,22.407198,[121  46] ; [102 109],[98.52116402 68.47883598] ; [124.47883598  86.52116402],1
p12,1,0.001053,10.732375,[ 31 137] ; [ 16 200],[ 20.5625 147.4375] ; [ 26.4375 189.5625],0
n4,1,0.001482,10.100483,[147  22] ; [161  57],[134.50129199  34.49870801] ; [173.49870801  44.50129199],0
s4,1,0.002413,9.205176,[ 28 141] ; [ 64 150],[ 40.59530026 128.40469974] ; [ 51.40469974 162.59530026],0
s8,1,0.006394,7.435638,[115  53] ; [120  99],[102.01550388  65.98449612] ; [132.98449612  86.01550388],0
n5,1,0.006558,7.39029,[141  27] ; [156  60],[129.9375  38.0625] ; [167.0625  48.9375],0
p5,1,0.013006,6.168235,[ 30 138] ; [ 20 196],[ 21.875 146.125] ; [ 28.125 187.875],0
a5,1,0.015141,5.899991,[141  28] ; [160  59],[131.1056701  37.8943299] ; [169.8943299  49.1056701],0
p8,1,0.019138,5.488846,[103  63] ; [107 107],[91.73684211 74.26315789] ; [118.26315789  95.73684211],0
p1,1,0.024635,5.049394,[ 20 148] ; [ 12 205],[ 13.96363636 154.03636364] ; [ 18.03636364 198.96363636],0
r1,1,0.040663,4.189994,[146  22] ; [172  46],[138.40414508  29.59585492] ; [179.59585492  38.40414508],0
p3,1,0.044678,4.030766,[102  66] ; [110 108],[92.26943005 75.73056995] ; [119.73056995  98.26943005],0
a3,1,0.050363,3.829328,[139  29] ; [163  56],[131.10077519  36.89922481] ; [170.89922481  48.10077519],0
s7,1,0.054419,3.699811,[120  41] ; [137  73],[111.52830189  49.47169811] ; [145.47169811  64.52830189],0
a1,1,0.057311,3.613534,[ 17 152] ; [ 11 208],[ 12.19587629 156.80412371] ; [ 15.80412371 203.19587629],0
n6,1,0.075746,3.153885,[149  18] ; [178  37],[142.95549738  24.04450262] ; [184.04450262  30.95549738],0
a4,1,0.081753,3.029694,[93 76] ; [101 118],[84.5 84.5] ; [109.5 109.5],0
u4,1,0.087517,2.919469,[  7 162] ; [  3 216],[  4.3556701 164.6443299] ; [  5.6443299 213.3556701],0
b5,1,0.107049,2.597255,[96 73] ; [142  77],[103.66494845  65.33505155] ; [134.33505155  84.66494845],0
u1,1,0.119439,2.424668,[ 47 122] ; [ 46 173],[ 40.50773196 128.49226804] ; [ 52.49226804 166.50773196],0
r4,1,0.129234,2.301682,[158  11] ; [195  24],[153.75515464  15.24484536] ; [199.24484536  19.75515464],0
d1,1,0.150383,2.068364,[127  42] ; [150  69],[120.65206186  48.34793814] ; [156.34793814  62.65206186],0
p6,1,0.174406,1.844657,[66 99] ; [101 114],[72.51315789 92.48684211] ; [ 94.48684211 120.51315789],0
r3,1,0.180221,1.795803,[166   3] ; [207   9],[163.73246753   5.26753247] ; [209.26753247   6.73246753],0
d5,1,0.181144,1.788216,[150  19] ; [184  35],[145.47938144  23.52061856] ; [188.52061856  30.47938144],0
p10,1,0.18966,1.720259,[148  20] ; [180  36],[143.5  24.5] ; [184.5  31.5],0
d2,1,0.23082,1.435802,[100  68] ; [117 102],[94.20155039 73.79844961] ; [122.79844961  96.20155039],0
a2,1,0.247767,1.33585,[ 53 116] ; [ 57 162],[ 47.91237113 121.08762887] ; [ 62.08762887 156.91237113],0
p11,1,0.271717,1.208058,[136  33] ; [166  53],[131.54123711  37.45876289] ; [170.45876289  48.54123711],0
s5,1,0.277698,1.178321,[88 75] ; [ 99 106],[82.82880435 80.17119565] ; [104.17119565 100.82880435],0
p7,1,0.280261,1.165822,[114  48] ; [136  73],[109.16442049  52.83557951] ; [140.83557951  68.16442049],0
p4,1,0.304304,1.055239,[116  52] ; [139  78],[111.27272727  56.72727273] ; [143.72727273  73.27272727],0
a7,1,0.319821,0.98968,[119  49] ; [165  54],[123.28682171  44.71317829] ; [160.71317829  58.28682171],0
b4,1,0.375675,0.784806,[104  65] ; [125  94],[99.74484536 69.25515464] ; [129.25515464  89.74484536],0
p2,1,0.378303,0.77621,[147  21] ; [183  34],[144.  24.] ; [186.  31.],0
b3,1,0.400707,0.706204,[44 54] ; [54 83],[40.86808511 57.13191489] ; [57.13191489 79.86808511],0
b2,1,0.400707,0.706204,[44 54] ; [54 83],[40.86808511 57.13191489] ; [57.13191489 79.86808511],0
s3,1,0.437413,0.603059,[141  25] ; [192  27],[143.57922078  22.42077922] ; [189.42077922  29.57922078],0
a8,1,0.45155,0.566758,[ 22 135] ; [ 35 172],[ 24.58516484 132.41483516] ; [ 32.41483516 174.58516484],0
r2,1,0.458963,0.548423,[163   6] ; [204  11],[161.51822917   7.48177083] ; [205.48177083   9.51822917],0
n1,1,0.556524,0.345758,[12 21] ; [21 28],[13.2804878 19.7195122] ; [19.7195122 29.2804878],0
s1,1,0.615025,0.252921,[  6 161] ; [ 10 206],[  6.97650131 160.02349869] ; [  9.02349869 206.97650131],0
b1,1,0.618963,0.247328,[ 66 103] ; [ 91 128],[ 68.38402062 100.61597938] ; [ 88.61597938 130.38402062],0
p9,1,0.621924,0.243173,[147  18] ; [188  27],[145.46052632  19.53947368] ; [189.53947368  25.46052632],0
s6,1,0.718294,0.130133,[143  22] ; [189  26],[144.15789474  20.84210526] ; [187.84210526  27.15789474],0
n2,1,0.730117,0.119004,[26  7] ; [37 12],[25.35365854  7.64634146] ; [37.64634146 11.35365854],0
v4,1,0.845701,0.037872,[162   6] ; [211   7],[162.34196891   5.65803109] ; [210.65803109   7.34196891],0
u2,1,0.86176,0.030323,[20 10] ; [37 17],[20.35714286  9.64285714] ; [36.64285714 17.35714286],0
n3,1,0.866472,0.028272,[23 11] ; [34 15],[23.34939759 10.65060241] ; [33.65060241 15.34939759],0
a6,1,0.873645,0.025291,[111  57] ; [143  76],[110.26356589  57.73643411] ; [143.73643411  75.26356589],0
d3,1,0.903076,0.01483,[129  40] ; [166  53],[128.49226804  40.50773196] ; [166.50773196  52.49226804],0
u3,1,0.975562,0.000938,[21  8] ; [40 15],[21.05952381  7.94047619] ; [39.94047619 15.05952381],0
