Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,186.74486,[192  27] ; [ 57 181],[119.3238512  99.6761488] ; [129.6761488 108.3238512],1
s6,1,0.0,98.969003,[189  26] ; [102 135],[138.41814159  76.58185841] ; [152.58185841  84.41814159],1
s7,1,0.0,84.99542,[137  73] ; [ 50 180],[ 89.25 120.75] ; [ 97.75 132.25],1
s8,1,0.0,64.141907,[120  99] ; [ 45 194],[ 78.89737991 140.10262009] ; [ 86.10262009 152.89737991],1
s5,1,0.0,34.454024,[ 99 106] ; [ 51 184],[ 69.88636364 135.11363636] ; [ 80.11363636 154.88636364],1
s4,1,0.0,28.464162,[ 64 150] ; [ 24 215],[ 41.57174393 172.42825607] ; [ 46.42825607 192.57174393],1
p6,1,0.0,25.441929,[101 114] ; [ 57 178],[ 75.48888889 139.51111111] ; [ 82.51111111 152.48888889],1
v4,1,0.0001,15.130879,[211   7] ; [207  32],[199.39606127  18.60393873] ; [218.60393873  20.39606127],1
p4,1,0.000228,13.586799,[139  78] ; [112 127],[119.44517544  97.55482456] ; [131.55482456 107.44517544],1
p9,1,0.00059,11.80592,[188  27] ; [177  60],[173.61725664  41.38274336] ; [191.38274336  45.61725664],1
p10,1,0.000686,11.527463,[180  36] ; [166  72],[164.61674009  51.38325991] ; [181.38325991  56.61674009],1
p7,1,0.00744,7.163637,[136  73] ; [124 112],[122.11235955  86.88764045] ; [137.88764045  98.11235955],0
r3,1,0.00758,7.130126,[207   9] ; [214  26],[199.42105263  16.57894737] ; [221.57894737  18.42105263],0
p3,1,0.007726,7.096015,[110 108] ; [ 91 148],[ 95.88183807 122.11816193] ; [105.11816193 133.88183807],0
r4,1,0.007807,7.077286,[195  24] ; [192  48],[184.64705882  34.35294118] ; [202.35294118  37.64705882],0
u3,1,0.009254,6.773056,[40 15] ; [37 37],[32.82945736 22.17054264] ; [44.17054264 29.82945736],0
p12,1,0.015898,5.814138,[ 16 200] ; [  6 231],[ 10.49006623 205.50993377] ; [ 11.50993377 225.49006623],0
u2,1,0.016841,5.712887,[37 17] ; [35 39],[30.375 23.625] ; [41.625 32.375],0
p2,1,0.016993,5.697081,[183  34] ; [180  59],[172.74342105  44.25657895] ; [190.25657895  48.74342105],0
a8,1,0.022116,5.236618,[ 35 172] ; [ 21 201],[ 27.02097902 179.97902098] ; [ 28.97902098 193.02097902],0
r2,1,0.029998,4.709401,[204  11] ; [209  25],[197.76169265  17.23830735] ; [215.23830735  18.76169265],0
n5,1,0.034012,4.494101,[156  60] ; [149  88],[145.43046358  70.56953642] ; [159.56953642  77.43046358],0
v1,1,0.042309,4.122784,[102 109] ; [ 92 145],[ 91.37053571 119.62946429] ; [102.62946429 134.37053571],0
u1,1,0.053753,3.720354,[ 46 173] ; [ 34 206],[ 38.16993464 180.83006536] ; [ 41.83006536 198.16993464],0
d1,1,0.058221,3.587356,[150  69] ; [144  96],[140.2745098  78.7254902] ; [153.7254902  86.2745098],0
n6,1,0.081259,3.039535,[178  37] ; [182  57],[170.4845815  44.5154185] ; [189.5154185  49.4845815],0
