Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,43.795769,[76 15] ; [103 137],[49.21148036 41.78851964] ; [129.78851964 110.21148036],1
p7,1,0.0,35.972785,[77 12] ; [119 119],[53.34556575 35.65443425] ; [142.65443425  95.34556575],1
p8,1,0.0,26.942534,[67 22] ; [102 135],[46.13803681 42.86196319] ; [122.86196319 114.13803681],1
p3,1,0.0,26.005582,[63 28] ; [ 91 149],[42.33836858 48.66163142] ; [111.66163142 128.33836858],1
p2,1,3.6e-05,17.073985,[85  6] ; [173  66],[71.14545455 19.85454545] ; [186.85454545  52.14545455],1
s8,1,0.000304,13.045074,[37 53] ; [ 51 188],[24.07294833 65.92705167] ; [ 63.92705167 175.07294833],1
n6,1,0.005709,7.639871,[82  9] ; [183  56],[73.07575758 17.92424242] ; [191.92424242  47.07575758],0
p9,1,0.007472,7.155937,[80 10] ; [178  58],[71.22699387 18.77300613] ; [186.77300613  49.22699387],0
r4,1,0.012285,6.269212,[85  6] ; [199  42],[77.84337349 13.15662651] ; [206.15662651  34.84337349],0
d1,1,0.014695,5.95271,[64 27] ; [134 107],[54.27108434 36.72891566] ; [143.72891566  97.27108434],0
v1,1,0.01753,5.642478,[54 37] ; [105 130],[44.38343558 46.61656442] ; [114.61656442 120.38343558],0
v3,1,0.017675,5.628124,[40 50] ; [ 70 160],[30.9375 59.0625] ; [ 79.0625 150.9375],0
p10,1,0.020324,5.383838,[75 13] ; [175  65],[67.07317073 20.92682927] ; [182.92682927  57.07317073],0
r3,1,0.023868,5.104235,[88  3] ; [212  27],[82.72727273  8.27272727] ; [217.27272727  21.72727273],0
p1,1,0.029502,4.738101,[13 78] ; [ 16 223],[ 7.9969697 83.0030303] ; [ 21.0030303 217.9969697],0
n4,1,0.029995,4.709561,[78 13] ; [179  61],[70.65558912 20.34441088] ; [186.34441088  53.65558912],0
b4,1,0.043387,4.080272,[61 30] ; [132 109],[52.90060241 38.09939759] ; [140.09939759 100.90060241],0
r2,1,0.057751,3.60083,[86  3] ; [212  23],[81.85802469  7.14197531] ; [216.14197531  18.85802469],0
s7,1,0.064999,3.404997,[32 54] ; [ 60 166],[25.35897436 60.64102564] ; [ 66.64102564 159.35897436],0
