Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,34.672218,[15 89] ; [84 85],[37.71428571 66.28571429] ; [ 61.28571429 107.71428571],1
a3,1,0.0,33.457554,[41 63] ; [126  43],[63.61904762 40.38095238] ; [103.38095238  65.61904762],1
d5,1,0.0,27.034184,[56 48] ; [141  29],[74.77372263 29.22627737] ; [122.22627737  47.77372263],1
n4,1,1e-06,23.34174,[50 53] ; [131  39],[68.28937729 34.71062271] ; [112.71062271  57.28937729],1
d1,1,3e-06,22.110508,[29 75] ; [97 73],[47.82481752 56.17518248] ; [78.17518248 91.82481752],1
d4,1,5e-06,20.915461,[58 44] ; [140  30],[74.25 27.75] ; [123.75  46.25],1
d2,1,1.8e-05,18.347673,[25 78] ; [85 83],[41.80811808 61.19188192] ; [68.19188192 99.80811808],1
r1,1,1.9e-05,18.317725,[52 52] ; [128  42],[68.32116788 35.67883212] ; [111.67883212  58.32116788],1
a6,1,3.3e-05,17.212122,[50 54] ; [124  46],[66.04379562 37.95620438] ; [107.95620438  62.04379562],1
p10,1,5.4e-05,16.31777,[47 54] ; [119  48],[62.55970149 38.44029851] ; [103.44029851  63.55970149],1
d3,1,0.00059,11.80786,[48 55] ; [115  55],[61.4981685 41.5018315] ; [101.5018315  68.4981685],1
p9,1,0.001415,10.185721,[55 46] ; [122  44],[66.95505618 34.04494382] ; [110.04494382  55.95505618],0
r2,1,0.00352,8.516357,[79 24] ; [150  17],[87.35925926 15.64074074] ; [141.64074074  25.35925926],0
r4,1,0.003775,8.389049,[69 35] ; [139  31],[78.94890511 25.05109489] ; [129.05109489  40.94890511],0
s6,1,0.004781,7.960337,[26 76] ; [71 96],[36.78066914 65.21933086] ; [ 60.21933086 106.78066914],0
a7,1,0.00777,7.08576,[55 48] ; [118  52],[65.27106227 37.72893773] ; [107.72893773  62.27106227],0
s7,1,0.009125,6.798273,[14 87] ; [ 44 115],[22.53076923 78.46923077] ; [ 35.46923077 123.53076923],0
n5,1,0.009131,6.796962,[53 49] ; [114  54],[63.08888889 38.91111111] ; [103.91111111  64.08888889],0
p5,1,0.013267,6.133088,[  3 101] ; [ 19 149],[ 8.41176471 95.58823529] ; [ 13.58823529 154.41176471],0
u1,1,0.014243,6.007766,[  3 101] ; [ 19 151],[ 8.35036496 95.64963504] ; [ 13.64963504 156.35036496],0
p3,1,0.023985,5.095743,[26 78] ; [ 65 105],[34.54014599 69.45985401] ; [ 56.45985401 113.54014599],0
s5,1,0.025323,5.001675,[12 89] ; [ 38 128],[18.91385768 82.08614232] ; [ 31.08614232 134.91385768],0
s8,1,0.039782,4.227169,[14 90] ; [ 40 129],[20.57142857 83.42857143] ; [ 33.42857143 135.57142857],0
p4,1,0.042082,4.131898,[33 68] ; [76 92],[40.92565056 60.07434944] ; [68.07434944 99.92565056],0
b5,1,0.047018,3.944755,[63 41] ; [82 88],[55.03649635 48.96350365] ; [89.96350365 80.03649635],0
r3,1,0.066722,3.361889,[81 22] ; [148  22],[86.3992674 16.6007326] ; [142.6007326  27.3992674],0
p7,1,0.075869,3.151246,[40 60] ; [86 82],[47.01492537 52.98507463] ; [78.98507463 89.01492537],0
b2,1,0.108143,2.581158,[12 42] ; [36 68],[16.40506329 37.59493671] ; [31.59493671 72.40506329],0
b3,1,0.108143,2.581158,[12 42] ; [36 68],[16.40506329 37.59493671] ; [31.59493671 72.40506329],0
b4,1,0.128737,2.307668,[66 38] ; [92 78],[59.97080292 44.02919708] ; [98.02919708 71.97080292],0
n6,1,0.129601,2.297273,[70 34] ; [128  41],[75.42857143 28.57142857] ; [122.57142857  46.42857143],0
n1,1,0.147854,2.094249,[10 28] ; [24 35],[13.31958763 24.68041237] ; [20.68041237 38.31958763],0
v2,1,0.169553,1.886894,[30 68] ; [ 64 100],[35.16030534 62.83969466] ; [ 58.83969466 105.16030534],0
v3,1,0.194256,1.685041,[20 81] ; [ 44 120],[24.39245283 76.60754717] ; [ 39.60754717 124.39245283],0
v4,1,0.217135,1.523206,[84 19] ; [148  22],[87.53113553 15.46886447] ; [144.46886447  25.53113553],0
a1,1,0.257337,1.283028,[  3 101] ; [ 10 160],[ 4.93430657 99.06569343] ; [  8.06569343 161.93430657],0
u2,1,0.360162,0.837329,[28 35] ; [23 20],[30.31132075 32.68867925] ; [20.68867925 22.31132075],0
p11,1,0.36044,0.836359,[66 38] ; [117  53],[69.45985401 34.54014599] ; [113.54014599  56.45985401],0
u3,1,0.387864,0.745628,[24 39] ; [20 23],[26.1509434 36.8490566] ; [17.8490566 25.1509434],0
p8,1,0.409463,0.680361,[37 67] ; [67 98],[40.20817844 63.79182156] ; [ 63.79182156 101.20817844],0
p1,1,0.438691,0.599704,[ 6 98] ; [ 14 155],[ 7.61904762 96.38095238] ; [ 12.38095238 156.61904762],0
n2,1,0.442463,0.589886,[21 16] ; [40 22],[22.7979798 14.2020202] ; [38.2020202 23.7979798],0
p6,1,0.489235,0.478208,[19 83] ; [ 37 130],[21.23420074 80.76579926] ; [ 34.76579926 132.23420074],0
p2,1,0.498908,0.457258,[66 38] ; [114  55],[68.57142857 35.42857143] ; [111.42857143  57.57142857],0
p12,1,0.595032,0.282554,[  3 100] ; [  7 161],[ 3.80073801 99.19926199] ; [  6.19926199 161.80073801],0
s1,1,0.692468,0.156426,[ 4 99] ; [  5 162],[ 3.43333333 99.56666667] ; [  5.56666667 161.43333333],0
b1,1,0.702001,0.146398,[41 63] ; [71 99],[42.51094891 61.48905109] ; [ 69.48905109 100.51094891],0
s4,1,0.71905,0.129405,[13 90] ; [ 19 151],[12.07326007 90.92673993] ; [ 19.92673993 150.07326007],0
s3,1,0.756934,0.095796,[24 77] ; [ 43 126],[25.06296296 75.93703704] ; [ 41.93703704 127.06296296],0
n3,1,0.813143,0.055872,[24 14] ; [38 20],[24.54166667 13.45833333] ; [37.45833333 20.54166667],0
a8,1,0.814499,0.05505,[10 87] ; [ 18 142],[10.56809339 86.43190661] ; [ 17.43190661 142.56809339],0
