Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,72.949099,[16 27] ; [184  16],[35.3909465  7.6090535] ; [164.6090535  35.3909465],1
d1,1,0.0,64.687193,[ 1 42] ; [139  62],[24.67213115 18.32786885] ; [115.32786885  85.67213115],1
d3,1,3e-06,22.130691,[18 25] ; [156  45],[30.66393443 12.33606557] ; [143.33606557  57.66393443],1
d2,1,0.000329,12.896384,[ 9 34] ; [102  98],[19.64197531 23.35802469] ; [ 91.35802469 108.64197531],1
a4,1,0.001699,9.849491,[ 9 34] ; [ 94 106],[18.22633745 24.77366255] ; [ 84.77366255 115.22633745],0
a5,1,0.008554,6.913712,[24 19] ; [152  49],[31.01639344 11.98360656] ; [144.98360656  56.01639344],0
u1,1,0.011343,6.410836,[ 1 42] ; [ 35 166],[ 6.3442623 36.6557377] ; [ 29.6557377 171.3442623],0
a2,1,0.034111,4.489126,[ 4 39] ; [ 48 153],[ 9.16393443 33.83606557] ; [ 42.83606557 158.16393443],0
a3,1,0.042282,4.123861,[26 17] ; [152  49],[31.36885246 11.63114754] ; [146.63114754  54.36885246],0
p1,1,0.070811,3.264112,[ 6 37] ; [ 12 188],[ 3.18518519 39.81481481] ; [ 14.81481481 185.18518519],0
s3,1,0.093942,2.805492,[13 29] ; [ 38 159],[ 8.9623431 33.0376569] ; [ 42.0376569 154.9623431],0
n2,1,0.132067,2.268032,[9 1] ; [29 15],[7.03703704 2.96296296] ; [30.96296296 13.03703704],0
p12,1,0.138606,2.193362,[ 4 38] ; [  8 190],[ 2.1 39.9] ; [  9.9 188.1],0
b1,1,0.176364,1.827997,[19 24] ; [ 67 134],[15.1557377 27.8442623] ; [ 70.8442623 130.1557377],0
p4,1,0.180783,1.791175,[20 22] ; [116  81],[23.89958159 18.10041841] ; [112.10041841  84.89958159],0
p2,1,0.194116,1.686102,[32 11] ; [165  34],[35.00413223  7.99586777] ; [161.99586777  37.00413223],0
a8,1,0.199501,1.646022,[ 2 38] ; [ 21 155],[ 4.25925926 35.74074074] ; [ 18.74074074 157.25925926],0
s5,1,0.265651,1.239067,[ 6 36] ; [ 43 153],[ 8.64705882 33.35294118] ; [ 40.35294118 155.64705882],0
b3,1,0.336384,0.924164,[ 7 17] ; [51 78],[ 9.09803922 14.90196078] ; [48.90196078 80.09803922],0
