Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,28.845737,[33 64] ; [102  46],[53.44897959 43.55102041] ; [81.55102041 66.44897959],1
d5,1,3e-06,21.671922,[51 46] ; [120  29],[67.42682927 29.57317073] ; [103.57317073  45.42682927],1
a6,1,1.3e-05,19.00226,[42 55] ; [106  43],[58.35772358 38.64227642] ; [89.64227642 59.35772358],1
d1,1,0.000851,11.126726,[28 69] ; [75 74],[40.61382114 56.38617886] ; [62.38617886 86.61382114],1
a2,1,0.002487,9.150322,[ 6 91] ; [ 30 119],[14.19512195 82.80487805] ; [ 21.80487805 127.19512195],0
d4,1,0.003127,8.731613,[57 40] ; [114  35],[67.42682927 29.57317073] ; [103.57317073  45.42682927],0
p8,1,0.017609,5.634605,[31 66] ; [69 77],[39.91769547 57.08230453] ; [60.08230453 85.91769547],0
r4,1,0.018852,5.515167,[63 34] ; [117  32],[70.97560976 26.02439024] ; [109.02439024  39.97560976],0
n1,1,0.021272,5.304375,[ 9 27] ; [23 23],[14.04878049 21.95121951] ; [17.95121951 28.04878049],0
u3,1,0.021593,5.27826,[17 33] ; [31 24],[22.85714286 27.14285714] ; [25.14285714 29.85714286],0
a3,1,0.023101,5.160879,[47 49] ; [93 53],[55.53719008 40.46280992] ; [84.46280992 61.53719008],0
r1,1,0.031146,4.644885,[53 44] ; [101  47],[60.97142857 36.02857143] ; [93.02857143 54.97142857],0
u1,1,0.032579,4.567747,[ 4 93] ; [ 18 131],[ 8.67479675 88.32520325] ; [ 13.32520325 135.67479675],0
r3,1,0.033948,4.497313,[72 25] ; [126  22],[78.39183673 18.60816327] ; [119.60816327  28.39183673],0
p2,1,0.044892,4.022693,[60 35] ; [112  37],[66.96721311 28.03278689] ; [105.03278689  43.96721311],0
b1,1,0.045072,4.015941,[49 48] ; [56 93],[41.40243902 55.59756098] ; [63.59756098 85.40243902],0
s3,1,0.062138,3.479382,[30 65] ; [ 31 117],[23.84773663 71.15226337] ; [ 37.15226337 110.84773663],0
v4,1,0.064676,3.413212,[76 20] ; [131  18],[81.11020408 14.88979592] ; [125.88979592  23.11020408],0
