Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,26.83904,[201  20] ; [32 19],[189.3125  31.6875] ; [43.6875  7.3125],1
p9,1,0.000241,13.48294,[205  17] ; [38 13],[197.6043956  24.3956044] ; [45.3956044  5.6043956],1
p8,1,0.00127,10.385639,[134  85] ; [19 33],[123.64206642  95.35793358] ; [29.35793358 22.64206642],0
n5,1,0.001421,10.178128,[181  40] ; [32 20],[172.42857143  48.57142857] ; [40.57142857 11.42857143],0
p2,1,0.002462,9.168823,[193  29] ; [37 16],[185.67272727  36.32727273] ; [44.32727273  8.67272727],0
n6,1,0.003103,8.745643,[197  22] ; [38 13],[190.61111111  28.38888889] ; [44.38888889  6.61111111],0
b1,1,0.003574,8.488298,[ 74 149] ; [29 24],[ 83.22101449 139.77898551] ; [19.77898551 33.22101449],0
d4,1,0.015937,5.809788,[199  23] ; [41 12],[193.74545455  28.25454545] ; [46.25454545  6.74545455],0
v3,1,0.016958,5.700736,[134  84] ; [22 29],[126.42379182  91.57620818] ; [29.57620818 21.42379182],0
p12,1,0.020171,5.397033,[ 36 186] ; [ 2 50],[ 30.78832117 191.21167883] ; [ 7.21167883 44.78832117],0
n4,1,0.024819,5.036451,[185  38] ; [36 16],[179.21090909  43.78909091] ; [41.78909091 10.21090909],0
p7,1,0.043816,4.063651,[158  58] ; [30 21],[152.08988764  63.91011236] ; [35.91011236 15.08988764],0
a3,1,0.064623,3.414578,[177  45] ; [36 17],[171.94909091  50.05090909] ; [41.05090909 11.94909091],0
r3,1,0.110956,2.540553,[220   2] ; [50  2],[218.75912409   3.24087591] ; [51.24087591  0.75912409],0
p5,1,0.113938,2.498725,[ 30 192] ; [ 3 50],[ 26.64 195.36] ; [ 6.36 46.64],0
s4,1,0.116686,2.461254,[ 38 185] ; [14 39],[ 42.01449275 180.98550725] ; [ 9.98550725 43.01449275],0
p3,1,0.124404,2.360975,[128  93] ; [24 28],[123.04761905  97.95238095] ; [28.95238095 23.04761905],0
s6,1,0.130232,2.289742,[183  36] ; [46  4],[186.43494424  32.56505576] ; [42.56505576  7.43494424],0
b2,1,0.156798,2.004838,[60 84] ; [ 7 19],[56.75294118 87.24705882] ; [10.24705882 15.75294118],0
b3,1,0.156798,2.004838,[60 84] ; [ 7 19],[56.75294118 87.24705882] ; [10.24705882 15.75294118],0
v4,1,0.158258,1.990797,[211  10] ; [48  5],[208.90145985  12.09854015] ; [50.09854015  2.90145985],0
s8,1,0.220994,1.497902,[141  80] ; [29 24],[137.11678832  83.88321168] ; [32.88321168 20.11678832],0
s1,1,0.273081,1.201202,[  6 213] ; [ 3 49],[  7.27306273 211.72693727] ; [ 1.72693727 50.27306273],0
d5,1,0.293314,1.104347,[189  33] ; [42 11],[186.48  35.52] ; [44.52  8.48],0
b4,1,0.339482,0.912387,[142  81] ; [30 23],[138.97101449  84.02898551] ; [33.02898551 19.97101449],0
d1,1,0.341595,0.904436,[150  73] ; [32 21],[147.05072464  75.94927536] ; [34.94927536 18.05072464],0
n1,1,0.344354,0.894156,[12 21] ; [9 9],[13.58823529 19.41176471] ; [ 7.41176471 10.58823529],0
a5,1,0.358536,0.843015,[177  46] ; [39 14],[174.52173913  48.47826087] ; [41.47826087 11.52173913],0
s7,1,0.384386,0.756629,[151  69] ; [36 12],[153.50746269  66.49253731] ; [33.49253731 14.50746269],0
a6,1,0.398749,0.712096,[151  70] ; [33 20],[148.40875912  72.59124088] ; [35.59124088 17.40875912],0
a1,1,0.421547,0.645997,[ 15 208] ; [ 2 51],[ 13.73550725 209.26449275] ; [ 3.26449275 49.73550725],0
d2,1,0.447618,0.576677,[117 105] ; [31 22],[119.47636364 102.52363636] ; [28.52363636 24.47636364],0
r1,1,0.470951,0.519744,[189  33] ; [43 10],[187.28727273  34.71272727] ; [44.71272727  8.28727273],0
p4,1,0.486955,0.483248,[140  80] ; [31 22],[137.8021978  82.1978022] ; [33.1978022 19.8021978],0
p1,1,0.495382,0.464815,[ 19 204] ; [ 6 46],[ 20.27272727 202.72727273] ; [ 4.72727273 47.27272727],0
a7,1,0.501997,0.450713,[169  53] ; [38 15],[167.10545455  54.89454545] ; [39.89454545 13.10545455],0
a2,1,0.536844,0.38142,[ 54 169] ; [15 38],[ 55.75 167.25] ; [13.25 39.75],0
s5,1,0.564018,0.332794,[ 91 119] ; [23 25],[ 92.79069767 117.20930233] ; [21.20930233 26.79069767],0
r4,1,0.577141,0.310879,[207  16] ; [48  5],[206.0326087  16.9673913] ; [48.9673913  4.0326087],0
p6,1,0.619374,0.246748,[ 90 128] ; [23 28],[ 91.57620818 126.42379182] ; [21.42379182 29.57620818],0
u3,1,0.639864,0.21892,[30 16] ; [10  7],[29.20634921 16.79365079] ; [10.79365079  6.20634921],0
n2,1,0.654447,0.20034,[29  6] ; [14  4],[28.39622642  6.60377358] ; [14.60377358  3.39622642],0
r2,1,0.689361,0.159778,[213   6] ; [51  2],[212.55882353   6.44117647] ; [51.44117647  1.55882353],0
v1,1,0.7143,0.13402,[139  75] ; [33 20],[137.8576779  76.1423221] ; [34.1423221 18.8576779],0
u2,1,0.731862,0.117409,[26 19] ; [9 8],[25.40322581 19.59677419] ; [9.59677419 7.40322581],0
s2,1,0.754725,0.097603,[181  42] ; [44  9],[181.79347826  41.20652174] ; [43.20652174  9.79347826],0
a4,1,0.792759,0.069027,[ 97 126] ; [22 31],[ 96.14855072 126.85144928] ; [22.85144928 30.14855072],0
d3,1,0.793559,0.068483,[159  63] ; [37 16],[158.22545455  63.77454545] ; [37.77454545 15.22545455],0
n3,1,0.850157,0.03569,[28  7] ; [14  4],[27.73584906  7.26415094] ; [14.26415094  3.73584906],0
a8,1,0.894737,0.017507,[ 35 176] ; [ 8 38],[ 35.30350195 175.69649805] ; [ 7.69649805 38.30350195],0
u1,1,0.925411,0.008765,[ 45 178] ; [11 42],[ 45.24637681 177.75362319] ; [10.75362319 42.24637681],0
