Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,102.613132,[19 32] ; [347  33],[43.30858469  7.69141531] ; [322.69141531  57.30858469],1
n6,1,6.3e-05,16.007759,[35 17] ; [333  45],[44.50232558  7.49767442] ; [323.49767442  54.50232558],1
s6,1,0.000265,13.304668,[35 17] ; [324  49],[43.92470588  8.07529412] ; [315.07529412  57.92470588],1
s2,1,0.000476,12.208863,[31 21] ; [309  73],[40.73732719 11.26267281] ; [299.26267281  82.73732719],1
p11,1,0.000666,11.58305,[33 19] ; [318  64],[42.05529954  9.94470046] ; [308.94470046  73.05529954],1
b1,1,0.001839,9.704044,[30 22] ; [135 247],[19.76958525 32.23041475] ; [145.23041475 236.76958525],0
v2,1,0.002136,9.4289,[17 32] ; [212 154],[27.03855422 21.96144578] ; [201.96144578 164.03855422],0
n5,1,0.002232,9.348604,[32 20] ; [305  75],[40.56481481 11.43518519] ; [296.43518519  83.56481481],0
a3,1,0.004051,8.260844,[30 22] ; [290  90],[38.51851852 13.48148148] ; [281.48148148  98.51851852],0
d4,1,0.005276,7.782331,[36 15] ; [327  54],[42.85416667  8.14583333] ; [320.14583333  60.85416667],0
p3,1,0.008449,6.935824,[19 32] ; [217 165],[27.79676674 23.20323326] ; [208.20323326 173.79676674],0
s5,1,0.009746,6.680721,[13 37] ; [164 198],[21.48058252 28.51941748] ; [155.51941748 206.48058252],0
s8,1,0.011913,6.323824,[22 30] ; [231 150],[30.38337182 21.61662818] ; [222.61662818 158.38337182],0
a5,1,0.017696,5.626045,[31 21] ; [287  95],[38.10138249 13.89861751] ; [279.89861751 102.10138249],0
a4,1,0.024393,5.066437,[15 36] ; [176 206],[22.4965358 28.5034642] ; [168.5034642 213.4965358],0
s7,1,0.028101,4.82185,[25 24] ; [247 122],[31.88516746 17.11483254] ; [240.11483254 128.88516746],0
d1,1,0.037062,4.347578,[25 27] ; [241 141],[31.87096774 20.12903226] ; [234.12903226 147.87096774],0
v1,1,0.037705,4.318296,[21 31] ; [204 162],[27.99043062 24.00956938] ; [197.00956938 168.99043062],0
p8,1,0.070461,3.272246,[24 28] ; [225 154],[30.04176334 21.95823666] ; [218.95823666 160.04176334],0
a2,1,0.07839,3.097975,[ 8 44] ; [102 280],[13.1797235 38.8202765] ; [ 96.8202765 285.1797235],0
a8,1,0.09026,2.869735,[ 3 42] ; [ 58 298],[ 6.84538653 38.15461347] ; [ 54.15461347 301.84538653],0
p5,1,0.092692,2.826997,[ 3 49] ; [ 54 327],[ 6.84526559 45.15473441] ; [ 50.15473441 330.84526559],0
v3,1,0.101649,2.679478,[16 36] ; [158 212],[21.44075829 30.55924171] ; [152.55924171 217.44075829],0
d5,1,0.129915,2.293517,[38 14] ; [312  69],[42.03233256  9.96766744] ; [307.96766744  73.03233256],0
p6,1,0.188572,1.72874,[17 34] ; [163 216],[21.34883721 29.65116279] ; [158.65116279 220.34883721],0
r2,1,0.220684,1.499921,[49  3] ; [366  10],[50.42056075  1.57943925] ; [364.57943925  11.42056075],0
b2,1,0.236608,1.400692,[10 24] ; [ 92 138],[13.13636364 20.86363636] ; [ 88.86363636 141.13636364],0
b3,1,0.236608,1.400692,[10 24] ; [ 92 138],[13.13636364 20.86363636] ; [ 88.86363636 141.13636364],0
a7,1,0.253111,1.306049,[34 18] ; [278 103],[37.46882217 14.53117783] ; [274.53117783 106.46882217],0
s4,1,0.263835,1.24852,[14 36] ; [ 80 300],[10.93023256 39.06976744] ; [ 83.06976744 296.93023256],0
r3,1,0.272268,1.205283,[49  3] ; [369  11],[50.31481481  1.68518519] ; [367.68518519  12.31481481],0
n4,1,0.303157,1.060256,[39 13] ; [308  72],[41.76851852 10.23148148] ; [305.23148148  74.76851852],0
b4,1,0.334689,0.930669,[34 18] ; [223 159],[30.79262673 21.20737327] ; [226.20737327 155.79262673],0
r4,1,0.366038,0.817071,[46  6] ; [352  30],[47.68663594  4.31336406] ; [350.31336406  31.68663594],0
d3,1,0.457998,0.550783,[35 17] ; [276 106],[37.26267281 14.73732719] ; [273.73732719 108.26267281],0
d2,1,0.463524,0.537373,[24 28] ; [197 185],[26.47926267 25.52073733] ; [194.52073733 187.47926267],0
u1,1,0.464837,0.534223,[ 8 44] ; [ 75 307],[ 9.94470046 42.05529954] ; [ 73.05529954 308.94470046],0
p4,1,0.487738,0.481512,[32 20] ; [253 128],[34.22632794 17.77367206] ; [250.77367206 130.22632794],0
v4,1,0.494032,0.467733,[49  1] ; [365  15],[48.13953488  1.86046512] ; [365.86046512  14.13953488],0
u4,1,0.628727,0.233791,[ 1 51] ; [ 12 370],[ 1.55760369 50.44239631] ; [ 11.44239631 370.55760369],0
a1,1,0.66828,0.183621,[ 2 50] ; [ 20 362],[ 2.6359447 49.3640553] ; [ 19.3640553 362.6359447],0
n3,1,0.689354,0.159785,[11  4] ; [57 16],[11.59090909  3.40909091] ; [56.40909091 16.59090909],0
b5,1,0.693788,0.155015,[29 23] ; [224 158],[30.31336406 21.68663594] ; [222.68663594 159.31336406],0
p7,1,0.730613,0.11855,[35 16] ; [264 108],[36.04964539 14.95035461] ; [262.95035461 109.04964539],0
r1,1,0.784016,0.075125,[42 10] ; [312  67],[42.7099768  9.2900232] ; [311.2900232  67.7099768],0
u2,1,0.815135,0.054666,[12 10] ; [51 38],[12.48648649  9.51351351] ; [50.51351351 38.48648649],0
u3,1,0.827182,0.047662,[14  8] ; [55 35],[13.55357143  8.44642857] ; [55.44642857 34.55357143],0
n2,1,0.84576,0.037842,[11  3] ; [59 14],[11.26436782  2.73563218] ; [58.73563218 14.26436782],0
s1,1,0.914508,0.011525,[ 2 48] ; [ 14 365],[ 1.86480186 48.13519814] ; [ 14.13519814 364.86480186],0
p1,1,0.920166,0.010045,[ 5 47] ; [ 35 346],[ 4.80369515 47.19630485] ; [ 35.19630485 345.80369515],0
a6,1,0.922517,0.00946,[35 17] ; [259 122],[35.30715935 16.69284065] ; [258.69284065 122.30715935],0
n1,1,0.931536,0.007381,[5 8] ; [29 44],[5.13953488 7.86046512] ; [28.86046512 44.13953488],0
