Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,42.771551,[95 87] ; [ 29 131],[ 65.98830409 116.01169591] ; [ 58.01169591 101.98830409],1
v1,1,0.0,37.927324,[122  62] ; [ 52 106],[93.61403509 90.38596491] ; [80.38596491 77.61403509],1
r1,1,0.000139,14.517374,[152  34] ; [101  58],[136.4  49.6] ; [116.6  42.4],1
d1,1,0.000383,12.614219,[118  68] ; [71 89],[101.60115607  84.39884393] ; [87.39884393 72.60115607],1
n4,1,0.001506,10.071069,[152  34] ; [107  53],[139.23121387  46.76878613] ; [119.76878613  40.23121387],0
d3,1,0.001933,9.612297,[136  50] ; [91 68],[122.3826087  63.6173913] ; [104.6173913  54.3826087],0
a2,1,0.002728,8.981138,[ 47 139] ; [ 20 140],[ 36.01734104 149.98265896] ; [ 30.98265896 129.01734104],0
a4,1,0.004352,8.130751,[91 94] ; [ 54 105],[ 77.97965116 107.02034884] ; [67.02034884 91.97965116],0
d5,1,0.006169,7.50038,[157  29] ; [115  44],[146.64347826  39.35652174] ; [125.35652174  33.64347826],0
u1,1,0.006342,7.450427,[ 37 149] ; [ 15 145],[ 27.95375723 158.04624277] ; [ 24.04624277 135.95375723],0
d4,1,0.006742,7.340556,[159  26] ; [119  41],[149.07246377  35.92753623] ; [128.92753623  31.07246377],0
p3,1,0.00826,6.976268,[99 87] ; [62 97],[86.8 99.2] ; [74.2 84.8],0
a6,1,0.013012,6.167434,[134  52] ; [95 65],[123.10404624  62.89595376] ; [105.89595376  54.10404624],0
p4,1,0.013566,6.093726,[113  72] ; [76 83],[101.64244186  83.35755814] ; [87.35755814 71.64244186],0
p10,1,0.017403,5.655284,[153  32] ; [113  44],[143.88888889  41.11111111] ; [122.11111111  34.88888889],0
d2,1,0.020109,5.402403,[91 94] ; [ 58 100],[ 80.36443149 104.63556851] ; [68.63556851 89.36443149],0
r3,1,0.023322,5.144397,[177   8] ; [142  17],[171.55523256  13.44476744] ; [147.44476744  11.55523256],0
v4,1,0.02814,4.819469,[180   6] ; [146  14],[175.24855491  10.75144509] ; [150.75144509   9.24855491],0
p7,1,0.02982,4.719665,[118  66] ; [83 75],[108.14035088  75.85964912] ; [92.85964912 65.14035088],0
r4,1,0.034906,4.449748,[166  20] ; [130  30],[159.12138728  26.87861272] ; [136.87861272  23.12138728],0
a3,1,0.036602,4.36885,[130  56] ; [94 65],[120.76521739  65.23478261] ; [103.23478261  55.76521739],0
p11,1,0.055306,3.672834,[152  34] ; [117  43],[144.60693642  41.39306358] ; [124.39306358  35.60693642],0
