Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,71.037436,[133  63] ; [ 28 107],[ 95.33534743 100.66465257] ; [65.66465257 69.33534743],1
p6,1,0.0,44.585071,[98 97] ; [ 19 114],[ 69.55792683 125.44207317] ; [47.44207317 85.55792683],1
p8,1,0.0,27.829329,[129  64] ; [50 84],[105.64831804  87.35168196] ; [73.35168196 60.64831804],1
p7,1,0.0,27.340515,[141  53] ; [59 75],[118.29268293  75.70731707] ; [81.70731707 52.29268293],1
s6,1,7.6e-05,15.64514,[108  84] ; [46 89],[ 90.42201835 101.57798165] ; [63.57798165 71.42201835],1
n4,1,0.000156,14.293354,[159  37] ; [85 51],[144.04819277  51.95180723] ; [99.95180723 36.04819277],1
v1,1,0.000198,13.852939,[123  70] ; [58 77],[106.50304878  86.49695122] ; [74.49695122 60.50304878],1
n5,1,0.000279,13.208243,[157  37] ; [85 50],[142.69908815  51.30091185] ; [99.30091185 35.69908815],1
p2,1,0.000314,12.987314,[176  19] ; [102  33],[164.27272727  30.72727273] ; [113.72727273  21.27272727],1
p10,1,0.001646,9.907796,[184  11] ; [114  22],[175.55891239  19.44108761] ; [122.44108761  13.55891239],0
s7,1,0.001986,9.562303,[ 67 116] ; [ 27 105],[ 54.60952381 128.39047619] ; [39.39047619 92.60952381],0
p5,1,0.006091,7.523123,[ 31 165] ; [  8 127],[ 23.09365559 172.90634441] ; [ 15.90634441 119.09365559],0
s8,1,0.011145,6.442108,[ 65 130] ; [ 28 108],[ 54.78851964 140.21148036] ; [38.21148036 97.78851964],0
r1,1,0.013818,6.061195,[156  40] ; [92 44],[146.40963855  49.59036145] ; [101.59036145  34.40963855],0
u3,1,0.016619,5.736164,[38 23] ; [17 27],[31.95238095 29.04761905] ; [23.04761905 20.95238095],0
d5,1,0.016841,5.712889,[166  30] ; [100  35],[157.51057402  38.48942598] ; [108.48942598  26.51057402],0
s5,1,0.037586,4.323645,[ 53 137] ; [ 24 110],[ 45.15432099 144.84567901] ; [ 31.84567901 102.15432099],0
v2,1,0.044886,4.02291,[115  75] ; [65 67],[106.21118012  83.78881988] ; [73.78881988 58.21118012],0
p11,1,0.049046,3.873769,[169  27] ; [106  30],[162.34939759  33.65060241] ; [112.65060241  23.34939759],0
a4,1,0.053445,3.729961,[ 94 101] ; [51 85],[ 85.42296073 109.57703927] ; [59.57703927 76.42296073],0
d1,1,0.057072,3.620491,[113  83] ; [64 72],[104.4939759  91.5060241] ; [72.5060241 63.4939759],0
d2,1,0.06022,3.531317,[ 90 106] ; [48 87],[ 81.71601208 114.28398792] ; [56.28398792 78.71601208],0
u1,1,0.072335,3.229232,[ 34 162] ; [ 14 122],[ 28.3373494 167.6626506] ; [ 19.6626506 116.3373494],0
n6,1,0.100595,2.696081,[170  26] ; [108  27],[164.6163142  31.3836858] ; [113.3836858  21.6163142],0
b5,1,0.116947,2.457742,[116  80] ; [92 44],[122.79518072  73.20481928] ; [85.20481928 50.79518072],0
v4,1,0.122204,2.388843,[188   8] ; [125  11],[184.78313253  11.21686747] ; [128.21686747   7.78313253],0
a1,1,0.124961,2.354015,[  6 190] ; [  9 127],[  8.85542169 187.14457831] ; [  6.14457831 129.85542169],0
r4,1,0.153775,2.034404,[176  20] ; [115  21],[171.79518072  24.20481928] ; [119.20481928  16.79518072],0
u2,1,0.166045,1.918294,[38 24] ; [21 23],[34.50943396 27.49056604] ; [24.49056604 19.50943396],0
a5,1,0.173622,1.851389,[150  46] ; [95 41],[144.63855422  51.36144578] ; [100.36144578  35.63855422],0
a6,1,0.246147,1.345043,[140  56] ; [89 47],[135.19277108  60.80722892] ; [93.80722892 42.19277108],0
a7,1,0.263641,1.249536,[146  50] ; [93 42],[141.52265861  54.47734139] ; [97.47734139 37.52265861],0
s2,1,0.301181,1.068958,[ 31 164] ; [ 16 119],[ 27.77272727 167.22727273] ; [ 19.22727273 115.77272727],0
b4,1,0.326114,0.964266,[113  83] ; [71 65],[108.62650602  87.37349398] ; [75.37349398 60.62650602],0
b2,1,0.377078,0.780205,[49 69] ; [26 48],[46.09375 71.90625] ; [28.90625 45.09375],0
b3,1,0.377078,0.780205,[49 69] ; [26 48],[46.09375 71.90625] ; [28.90625 45.09375],0
v3,1,0.399514,0.709787,[ 73 117] ; [45 88],[ 69.41176471 120.58823529] ; [48.58823529 84.41176471],0
p1,1,0.40024,0.707606,[ 18 178] ; [  9 127],[ 15.93975904 180.06024096] ; [ 11.06024096 124.93975904],0
n2,1,0.422729,0.642716,[23 14] ; [29 12],[24.66666667 12.33333333] ; [27.33333333 13.66666667],0
d4,1,0.451908,0.565861,[158  38] ; [105  31],[155.26506024  40.73493976] ; [107.73493976  28.26506024],0
n1,1,0.469873,0.522274,[13 24] ; [11 29],[11.53246753 25.46753247] ; [12.46753247 27.53246753],0
a2,1,0.496447,0.462524,[ 42 154] ; [ 25 111],[ 39.55421687 156.44578313] ; [ 27.44578313 108.55421687],0
r2,1,0.503162,0.44826,[176  17] ; [121  15],[174.22796353  18.77203647] ; [122.77203647  13.22796353],0
d3,1,0.513831,0.426257,[134  62] ; [87 47],[131.26060606  64.73939394] ; [89.73939394 44.26060606],0
n3,1,0.533827,0.387102,[24 12] ; [30 11],[25.24675325 10.75324675] ; [28.75324675 12.24675325],0
b1,1,0.616707,0.250523,[ 64 132] ; [48 88],[ 66.12048193 129.87951807] ; [45.87951807 90.12048193],0
p12,1,0.636192,0.223757,[ 11 185] ; [  6 129],[ 10.06646526 185.93353474] ; [  6.93353474 128.06646526],0
s1,1,0.640895,0.217573,[  3 192] ; [  3 131],[  3.556231 191.443769] ; [  2.443769 131.556231],0
r3,1,0.692352,0.156551,[185  11] ; [126   9],[184.1570997  11.8429003] ; [126.8429003   8.1570997],0
a8,1,0.809038,0.058403,[ 21 145] ; [ 15 113],[ 20.32653061 145.67346939] ; [ 15.67346939 112.32653061],0
a3,1,0.836817,0.042422,[134  61] ; [92 44],[133.14199396  61.85800604] ; [92.85800604 43.14199396],0
s4,1,0.912945,0.011952,[ 22 170] ; [ 16 119],[ 22.31192661 169.68807339] ; [ 15.68807339 119.31192661],0
