Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,29.392073,[72 62] ; [13 67],[53.22429907 80.77570093] ; [31.77570093 48.22429907],1
p9,1,1e-06,24.263561,[102  30] ; [33 43],[85.67307692 46.32692308] ; [49.32692308 26.67307692],1
v4,1,1e-06,23.215857,[128   8] ; [56 24],[115.85185185  20.14814815] ; [68.14814815 11.85185185],1
p11,1,6e-06,20.471886,[102  34] ; [36 45],[86.48847926 49.51152074] ; [51.51152074 29.48847926],1
r3,1,1.3e-05,19.039758,[124  10] ; [56 24],[112.71028037  21.28971963] ; [67.28971963 12.71028037],1
p10,1,2.1e-05,18.074396,[94 40] ; [32 47],[79.26760563 54.73239437] ; [46.73239437 32.26760563],1
p8,1,3.4e-05,17.156824,[53 78] ; [11 70],[39.54716981 91.45283019] ; [24.45283019 56.54716981],1
v1,1,0.000133,14.605472,[62 73] ; [16 64],[48.97674419 86.02325581] ; [29.02325581 50.97674419],1
r4,1,0.000372,12.668782,[112  24] ; [49 32],[100.90322581  35.09677419] ; [60.09677419 20.90322581],1
d3,1,0.003984,8.291166,[88 46] ; [37 44],[77.90697674 56.09302326] ; [47.09302326 33.90697674],0
r1,1,0.00494,7.901194,[98 37] ; [43 37],[88.53488372 46.46511628] ; [52.46511628 27.53488372],0
v2,1,0.013664,6.080981,[66 66] ; [25 52],[57.47368421 74.52631579] ; [33.52631579 43.47368421],0
b5,1,0.028448,4.800703,[94 42] ; [44 37],[86.48847926 49.51152074] ; [51.51152074 29.48847926],0
a1,1,0.031068,4.649214,[  5 131] ; [ 9 72],[  8.77419355 127.22580645] ; [ 5.22580645 75.77419355],0
d5,1,0.031197,4.642105,[102  33] ; [50 31],[95. 40.] ; [57. 24.],0
s5,1,0.05326,3.73574,[ 25 109] ; [ 7 72],[ 20.1314554 113.8685446] ; [11.8685446 67.1314554],0
p6,1,0.05352,3.727606,[ 22 109] ; [ 6 74],[ 17.38388626 113.61611374] ; [10.61611374 69.38388626],0
a8,1,0.059631,3.54761,[ 17 109] ; [ 4 73],[ 13.03448276 112.96551724] ; [ 7.96551724 69.03448276],0
n6,1,0.064167,3.426269,[105  30] ; [53 27],[99.20930233 35.79069767] ; [58.79069767 21.20930233],0
p3,1,0.075345,3.162563,[ 32 104] ; [11 70],[ 26.94930876 109.05069124] ; [16.05069124 64.94930876],0
