Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,118.102128,[143  64] ; [ 30 165],[ 89.08208955 117.91791045] ; [ 83.91791045 111.08208955],1
d3,1,0.0,115.597438,[186  23] ; [ 73 121],[134.32009926  74.67990074] ; [124.67990074  69.32009926],1
d4,1,0.0,111.133745,[204   4] ; [105  91],[159.08910891  48.91089109] ; [149.91089109  46.08910891],1
d5,1,0.0,110.221436,[207   2] ; [109  86],[163.47524752  45.52475248] ; [152.52475248  42.47524752],1
a5,1,0.0,45.121433,[173  36] ; [101  95],[141.39753086  67.60246914] ; [132.60246914  63.39753086],1
a2,1,0.0,44.517815,[ 68 141] ; [ 12 184],[ 41.28395062 167.71604938] ; [ 38.71604938 157.28395062],1
a4,1,0.0,42.278917,[119  88] ; [ 50 146],[ 86.80645161 120.19354839] ; [ 82.19354839 113.80645161],1
u1,1,0.0,31.32154,[ 47 162] ; [  7 189],[ 27.86666667 181.13333333] ; [ 26.13333333 169.86666667],1
a3,1,1e-06,24.512916,[157  51] ; [101  94],[133.16129032  74.83870968] ; [124.83870968  70.16129032],1
r2,1,3.5e-05,17.118695,[194  10] ; [159  35],[180.93467337  23.06532663] ; [172.06532663  21.93467337],1
r4,1,8.6e-05,15.42577,[183  26] ; [141  55],[167.2  41.8] ; [156.8  39.2],1
r1,1,0.000194,13.887757,[166  42] ; [123  72],[149.16129032  58.83870968] ; [139.83870968  55.16129032],1
v2,1,0.000442,12.346822,[122  83] ; [ 79 110],[104.58121827 100.41878173] ; [96.41878173 92.58121827],1
a7,1,0.000479,12.195133,[160  48] ; [118  76],[143.84079602  64.15920398] ; [134.15920398  59.84079602],1
a6,1,0.000682,11.538,[153  56] ; [112  84],[136.75308642  72.24691358] ; [128.24691358  67.75308642],1
v4,1,0.000761,11.333339,[198  11] ; [165  30],[187.78960396  21.21039604] ; [175.21039604  19.78960396],1
r3,1,0.003294,8.637012,[194  14] ; [163  31],[184.71641791  23.28358209] ; [172.28358209  21.71641791],0
n4,1,0.004535,8.056323,[158  51] ; [122  73],[144.85148515  64.14851485] ; [135.14851485  59.85148515],0
n6,1,0.004761,7.968243,[176  33] ; [141  53],[164.39950372  44.60049628] ; [152.60049628  41.39950372],0
p4,1,0.007883,7.059936,[114  93] ; [ 82 114],[100.67493797 106.32506203] ; [ 95.32506203 100.67493797],0
p8,1,0.013523,6.09932,[104 100] ; [ 75 119],[ 91.74874372 112.25125628] ; [ 87.25125628 106.74874372],0
p7,1,0.017675,5.62807,[120  87] ; [ 89 104],[108.1575  98.8425] ; [100.8425  92.1575],0
s8,1,0.022202,5.229901,[ 57 150] ; [ 35 160],[ 47.37313433 159.62686567] ; [ 44.62686567 150.37313433],0
s1,1,0.024427,5.064062,[  2 205] ; [  9 185],[  5.67830424 201.32169576] ; [  5.32169576 188.67830424],0
b1,1,0.041034,4.17463,[ 70 139] ; [ 85 111],[ 79.98765432 129.01234568] ; [ 75.01234568 120.98765432],0
v3,1,0.053558,3.726407,[ 73 129] ; [ 52 140],[ 64.08629442 137.91370558] ; [ 60.91370558 131.08629442],0
p11,1,0.0841,2.98383,[156  53] ; [131  65],[148.10617284  60.89382716] ; [138.89382716  57.10617284],0
v1,1,0.100668,2.69493,[106 102] ; [ 83 111],[ 97.79104478 110.20895522] ; [ 91.20895522 102.79104478],0
p9,1,0.106972,2.598395,[158  47] ; [135  58],[150.91708543  54.08291457] ; [142.08291457  50.91708543],0
p6,1,0.10951,2.561282,[ 67 138] ; [ 49 144],[ 59.74874372 145.25125628] ; [ 56.25125628 136.74874372],0
p3,1,0.120718,2.407984,[ 90 118] ; [ 70 126],[ 82.37623762 125.62376238] ; [ 77.62376238 118.37623762],0
p10,1,0.120982,2.40456,[151  56] ; [127  66],[143.865  63.135] ; [134.135  58.865],0
s6,1,0.152657,2.045499,[ 90 118] ; [ 70 123],[ 82.9925187 125.0074813] ; [ 77.0074813 115.9925187],0
p2,1,0.169531,1.887087,[159  49] ; [138  58],[152.91089109  55.08910891] ; [144.08910891  51.91089109],0
n1,1,0.185798,1.750629,[15 42] ; [23 38],[18.3559322 38.6440678] ; [19.6440678 41.3559322],0
s5,1,0.235352,1.408218,[ 41 166] ; [ 29 161],[ 36.49874055 170.50125945] ; [ 33.50125945 156.49874055],0
s2,1,0.238098,1.391818,[ 33 174] ; [ 23 171],[ 28.90773067 178.09226933] ; [ 27.09226933 166.90773067],0
a1,1,0.269433,1.219632,[  7 202] ; [ 11 185],[  9.28888889 199.71111111] ; [  8.71111111 187.28888889],0
s7,1,0.291518,1.112598,[ 54 142] ; [ 43 145],[ 49.51041667 146.48958333] ; [ 47.48958333 140.51041667],0
u3,1,0.348307,0.879615,[28 24] ; [43 51],[25.28767123 26.71232877] ; [45.71232877 48.28767123],0
b5,1,0.357461,0.846795,[133  76] ; [116  80],[128.4962963  80.5037037] ; [120.5037037  75.4962963],0
b4,1,0.372346,0.795821,[118  91] ; [102  94],[113.5308642  95.4691358] ; [106.4691358  89.5308642],0
s4,1,0.409451,0.680395,[ 21 185] ; [ 25 170],[ 23.63092269 182.36907731] ; [ 22.36907731 172.63092269],0
p1,1,0.432724,0.615502,[ 12 197] ; [ 15 180],[ 13.96782178 195.03217822] ; [ 13.03217822 181.96782178],0
b2,1,0.530879,0.392709,[42 87] ; [39 68],[44.27542373 84.72457627] ; [36.72457627 70.27542373],0
b3,1,0.530879,0.392709,[42 87] ; [39 68],[44.27542373 84.72457627] ; [36.72457627 70.27542373],0
p12,1,0.690888,0.158126,[  5 202] ; [  6 190],[  5.65012407 201.34987593] ; [  5.34987593 190.65012407],0
a8,1,0.696047,0.152616,[ 21 159] ; [ 19 164],[ 19.83471074 160.16528926] ; [ 20.16528926 162.83471074],0
n2,1,0.784164,0.075019,[36 21] ; [40 21],[36.71186441 20.28813559] ; [39.28813559 21.71186441],0
u2,1,0.828971,0.046665,[24 27] ; [46 48],[24.62068966 26.37931034] ; [45.37931034 48.62068966],0
n3,1,0.903439,0.014718,[37 19] ; [39 21],[36.68965517 19.31034483] ; [39.31034483 20.68965517],0
n5,1,0.920571,0.009943,[140  68] ; [129  64],[139.53117207  68.46882793] ; [129.46882793  63.53117207],0
