Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,25.252547,[19 57] ; [34 14],[32.48387097 43.51612903] ; [20.51612903 27.48387097],1
s6,1,0.000449,12.317259,[34 46] ; [37 13],[43.69230769 36.30769231] ; [27.30769231 22.69230769],1
s2,1,0.002126,9.437088,[12 70] ; [19 31],[19.25757576 62.74242424] ; [11.74242424 38.25757576],0
v1,1,0.005615,7.669775,[43 40] ; [38 12],[50.54887218 32.45112782] ; [30.45112782 19.54887218],0
s5,1,0.007283,7.201851,[19 63] ; [22 26],[25.86153846 56.13846154] ; [15.13846154 32.86153846],0
a5,1,0.008803,6.862439,[52 31] ; [42  8],[58.66165414 24.33834586] ; [35.33834586 14.66165414],0
a6,1,0.031725,4.613282,[60 23] ; [27 23],[54.29323308 28.70676692] ; [32.70676692 17.29323308],0
b5,1,0.033744,4.507647,[48 35] ; [38 12],[53.66917293 29.33082707] ; [32.33082707 17.66917293],0
u1,1,0.034989,4.445725,[11 72] ; [14 36],[15.60150376 67.39849624] ; [ 9.39849624 40.60150376],0
p9,1,0.042816,4.10265,[70 13] ; [47  2],[73.56818182  9.43181818] ; [43.43181818  5.56818182],0
b1,1,0.044234,4.04761,[36 47] ; [13 37],[30.57894737 52.42105263] ; [18.42105263 31.57894737],0
n4,1,0.046858,3.950474,[61 22] ; [44  6],[65.52631579 17.47368421] ; [39.47368421 10.52631579],0
r1,1,0.049708,3.851267,[57 26] ; [42  8],[61.78195489 21.21804511] ; [37.21804511 12.78195489],0
p4,1,0.064723,3.412024,[62 21] ; [44  6],[66.15037594 16.84962406] ; [39.84962406 10.15037594],0
d4,1,0.066883,3.357914,[60 23] ; [43  7],[64.27819549 18.72180451] ; [38.72180451 11.27819549],0
n2,1,0.069983,3.283429,[17  8] ; [3 6],[14.70588235 10.29411765] ; [5.29411765 3.70588235],0
n5,1,0.076455,3.138696,[55 26] ; [41  9],[59.35877863 21.64122137] ; [36.64122137 13.35877863],0
d2,1,0.116044,2.469915,[30 53] ; [25 25],[34.32330827 48.67669173] ; [20.67669173 29.32330827],0
