Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n1,1,0.005278,7.781621,[1 9] ; [21 14],[4.88888889 5.11111111] ; [17.11111111 17.88888889],0
a8,1,0.00926,6.771982,[ 1 41] ; [ 26 113],[ 6.26519337 35.73480663] ; [ 20.73480663 118.26519337],0
s2,1,0.021022,5.324999,[42  6] ; [110  45],[35.9408867 12.0591133] ; [116.0591133  38.9408867],0
n4,1,0.034545,4.467504,[31 17] ; [124  32],[36.47058824 11.52941176] ; [118.52941176  37.47058824],0
p8,1,0.042714,4.106668,[22 25] ; [97 56],[27.965 19.035] ; [91.035 61.965],0
v3,1,0.052174,3.770188,[16 32] ; [75 77],[21.84 26.16] ; [69.16 82.84],0
s3,1,0.054512,3.696958,[39  9] ; [100  50],[33.6969697 14.3030303] ; [105.3030303  44.6969697],0
b1,1,0.060821,3.514841,[11 37] ; [59 98],[16.3902439 31.6097561] ; [ 53.6097561 103.3902439],0
b5,1,0.062451,3.471068,[35 13] ; [91 66],[29.50243902 18.49756098] ; [96.49756098 60.50243902],0
p5,1,0.064987,3.405299,[ 6 42] ; [ 39 116],[10.64039409 37.35960591] ; [ 34.35960591 120.64039409],0
u2,1,0.081872,3.02735,[4 9] ; [19 13],[6.64444444 6.35555556] ; [16.35555556 15.64444444],0
b4,1,0.093869,2.806738,[34 14] ; [90 67],[29.03414634 18.96585366] ; [94.96585366 62.03414634],0
p11,1,0.116993,2.457117,[33 15] ; [125  32],[36.99512195 11.00487805] ; [121.00487805  35.99512195],0
s6,1,0.143352,2.141598,[45  3] ; [133  22],[42.08866995  5.91133005] ; [135.91133005  19.08866995],0
r4,1,0.166591,1.913359,[47  1] ; [145  12],[44.95609756  3.04390244] ; [147.04390244   9.95609756],0
p2,1,0.203237,1.618958,[39  9] ; [137  18],[41.61576355  6.38423645] ; [134.38423645  20.61576355],0
p12,1,0.214438,1.541209,[ 4 44] ; [ 24 132],[ 6.58823529 41.41176471] ; [ 21.41176471 134.58823529],0
p3,1,0.216216,1.529312,[23 25] ; [90 65],[26.71921182 21.28078818] ; [86.28078818 68.71921182],0
p1,1,0.240562,1.377296,[ 4 44] ; [ 23 131],[ 6.41584158 41.58415842] ; [ 20.58415842 133.41584158],0
p9,1,0.274887,1.192194,[45  2] ; [138  14],[43.22110553  3.77889447] ; [139.77889447  12.22110553],0
s7,1,0.30204,1.065164,[34 12] ; [96 50],[31.14583333 14.85416667] ; [98.85416667 47.14583333],0
v2,1,0.304578,1.054042,[26 21] ; [98 56],[28.99502488 18.00497512] ; [95.00497512 58.99502488],0
b3,1,0.331199,0.944203,[ 8 18] ; [40 57],[10.14634146 15.85365854] ; [37.85365854 59.14634146],0
b2,1,0.331199,0.944203,[ 8 18] ; [40 57],[10.14634146 15.85365854] ; [37.85365854 59.14634146],0
p6,1,0.33598,0.925711,[25 23] ; [68 86],[22.0990099 25.9009901] ; [70.9009901 83.0990099],0
v1,1,0.336837,0.922431,[26 22] ; [96 59],[28.84729064 19.15270936] ; [93.15270936 61.84729064],0
a3,1,0.337032,0.92169,[35 13] ; [124  32],[37.41176471 10.58823529] ; [121.58823529  34.41176471],0
n5,1,0.351466,0.868157,[34 14] ; [120  35],[36.4137931 11.5862069] ; [117.5862069  37.4137931],0
r3,1,0.380994,0.767493,[46  1] ; [148   8],[44.91625616  2.08374384] ; [149.08374384   6.91625616],0
d3,1,0.442256,0.590422,[40  8] ; [122  34],[38.11764706  9.88235294] ; [123.88235294  32.11764706],0
d5,1,0.504489,0.44548,[39  9] ; [133  23],[40.47058824  7.52941176] ; [131.52941176  24.47058824],0
a2,1,0.55286,0.352218,[14 34] ; [ 53 104],[15.68780488 32.31219512] ; [ 51.31219512 105.68780488],0
u3,1,0.719814,0.128671,[9 4] ; [21 12],[8.47826087 4.52173913] ; [21.52173913 11.47826087],0
d2,1,0.724939,0.123809,[24 24] ; [82 73],[25.06403941 22.93596059] ; [80.93596059 74.06403941],0
n3,1,0.742971,0.107532,[8 2] ; [27  9],[7.60869565 2.39130435] ; [27.39130435  8.60869565],0
s8,1,0.747363,0.10376,[29 19] ; [89 65],[28.03960396 19.96039604] ; [89.96039604 64.03960396],0
v4,1,0.767004,0.087791,[46  2] ; [148   5],[46.32835821  1.67164179] ; [147.67164179   5.32835821],0
r1,1,0.771342,0.08446,[40  8] ; [131  23],[40.63366337  7.36633663] ; [130.36633663  23.63366337],0
p7,1,0.817312,0.053363,[32 14] ; [107  43],[32.62244898 13.37755102] ; [106.37755102  43.62244898],0
a6,1,0.841419,0.040032,[36 12] ; [114  41],[35.4679803 12.5320197] ; [114.5320197  40.4679803],0
a5,1,0.885228,0.020835,[39  9] ; [129  28],[39.33658537  8.66341463] ; [128.66341463  28.33658537],0
a4,1,0.891178,0.018718,[23 25] ; [77 80],[23.41463415 24.58536585] ; [76.58536585 80.41463415],0
p10,1,0.901526,0.01531,[43  5] ; [138  15],[43.2238806  4.7761194] ; [137.7761194  15.2238806],0
n6,1,0.901526,0.01531,[43  5] ; [138  15],[43.2238806  4.7761194] ; [137.7761194  15.2238806],0
s1,1,0.94611,0.004569,[ 2 46] ; [  6 146],[ 1.92 46.08] ; [  6.08 145.92],0
u1,1,0.946161,0.00456,[14 34] ; [ 45 112],[13.81463415 34.18536585] ; [ 45.18536585 111.81463415],0
d4,1,0.953565,0.003391,[42  6] ; [136  20],[41.88235294  6.11764706] ; [136.11764706  19.88235294],0
d1,1,0.95655,0.002968,[32 16] ; [104  53],[31.84390244 16.15609756] ; [104.15609756  52.84390244],0
n2,1,0.968749,0.001535,[8 2] ; [29  7],[8.04347826 1.95652174] ; [28.95652174  7.04347826],0
p4,1,0.98726,0.000255,[33 15] ; [105  48],[32.95522388 15.04477612] ; [105.04477612  47.95522388],0
