Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.002737,8.975069,[ 1 37] ; [1 1],[ 1.9 36.1] ; [0.1 1.9],0
a8,1,0.120693,2.408304,[ 4 31] ; [1 1],[ 4.72972973 30.27027027] ; [0.27027027 1.72972973],0
s6,1,0.172831,1.858218,[31  5] ; [1 1],[30.31578947  5.68421053] ; [1.68421053 0.31578947],0
p5,1,0.48192,0.494516,[10 27] ; [1 1],[10.43589744 26.56410256] ; [0.56410256 1.43589744],0
v1,1,0.648172,0.208213,[13 25] ; [1 1],[13.3 24.7] ; [0.7 1.3],0
s2,1,0.707932,0.140351,[24 14] ; [1 1],[23.75 14.25] ; [1.25 0.75],0
s3,1,0.791082,0.070175,[22 15] ; [1 1],[21.82051282 15.17948718] ; [1.17948718 0.82051282],0
b1,1,0.825767,0.048459,[16 22] ; [1 1],[16.15 21.85] ; [0.85 1.15],0
b5,1,0.825767,0.048459,[16 22] ; [1 1],[16.15 21.85] ; [0.85 1.15],0
v3,1,0.851116,0.035229,[16 21] ; [1 1],[16.12820513 20.87179487] ; [0.87179487 1.12820513],0
a6,1,0.884059,0.021265,[21 17] ; [1 1],[20.9 17.1] ; [1.1 0.9],0
p6,1,0.884059,0.021265,[17 21] ; [1 1],[17.1 20.9] ; [0.9 1.1],0
v2,1,0.970293,0.001387,[19 18] ; [1 1],[18.97435897 18.02564103] ; [1.02564103 0.97435897],0
