Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000149,14.386777,[13  2] ; [16 35],[6.59090909 8.40909091] ; [22.40909091 28.59090909],1
s7,1,0.000766,11.322208,[10  5] ; [ 9 36],[ 4.75 10.25] ; [14.25 30.75],1
p3,1,0.001177,10.526154,[10  5] ; [11 39],[ 4.84615385 10.15384615] ; [16.15384615 33.84615385],0
s4,1,0.006082,7.525792,[7 8] ; [ 7 44],[ 3.18181818 11.81818182] ; [10.81818182 40.18181818],0
p6,1,0.006109,7.517995,[7 7] ; [ 7 40],[ 3.21311475 10.78688525] ; [10.78688525 36.21311475],0
p1,1,0.007068,7.255686,[ 4 11] ; [ 2 49],[ 1.36363636 13.63636364] ; [ 4.63636364 46.36363636],0
v1,1,0.013632,6.085229,[11  4] ; [19 32],[6.81818182 8.18181818] ; [23.18181818 27.81818182],0
s2,1,0.0304,4.686555,[9 6] ; [15 36],[5.45454545 9.54545455] ; [18.54545455 32.45454545],0
n3,1,0.035987,4.397744,[2 5] ; [16  6],[4.34482759 2.65517241] ; [13.65517241  8.34482759],0
p7,1,0.038867,4.266667,[11  4] ; [21 28],[7.5 7.5] ; [24.5 24.5],0
s3,1,0.039598,4.235039,[12  3] ; [25 25],[8.53846154 6.46153846] ; [28.46153846 21.53846154],0
r3,1,0.041498,4.155556,[14  1] ; [34 17],[10.90909091  4.09090909] ; [37.09090909 13.90909091],0
v4,1,0.042259,4.124808,[14  1] ; [32 16],[10.95238095  4.04761905] ; [35.04761905 12.95238095],0
d4,1,0.071423,3.25,[12  3] ; [27 23],[9. 6.] ; [30. 20.],0
p11,1,0.125193,2.351121,[11  4] ; [26 25],[8.40909091 6.59090909] ; [28.59090909 22.40909091],0
b4,1,0.125193,2.351121,[11  4] ; [26 25],[8.40909091 6.59090909] ; [28.59090909 22.40909091],0
p2,1,0.127443,2.323378,[11  4] ; [25 24],[8.4375 6.5625] ; [27.5625 21.4375],0
p8,1,0.128253,2.313519,[7 8] ; [13 37],[ 4.61538462 10.38461538] ; [15.38461538 34.61538462],0
a6,1,0.133941,2.246218,[ 3 12] ; [21 30],[5.45454545 9.54545455] ; [18.54545455 32.45454545],0
r4,1,0.160099,1.973286,[11  4] ; [27 24],[8.63636364 6.36363636] ; [29.36363636 21.63636364],0
d5,1,0.228661,1.449173,[10  5] ; [25 26],[7.95454545 7.04545455] ; [27.04545455 23.95454545],0
p4,1,0.252076,1.311763,[8 7] ; [18 31],[6.09375 8.90625] ; [19.90625 29.09375],0
s8,1,0.264823,1.243368,[ 5 10] ; [10 41],[ 3.40909091 11.59090909] ; [11.59090909 39.40909091],0
u2,1,0.27198,1.206734,[5 1] ; [13  9],[3.85714286 2.14285714] ; [14.14285714  7.85714286],0
b1,1,0.274495,1.194147,[8 7] ; [35 16],[9.77272727 5.22727273] ; [33.22727273 17.77272727],0
r1,1,0.283481,1.150327,[10  5] ; [26 25],[8.18181818 6.81818182] ; [27.81818182 23.18181818],0
p9,1,0.41488,0.664773,[9 6] ; [24 26],[7.61538462 7.38461538] ; [25.38461538 24.61538462],0
b3,1,0.432599,0.615836,[5 6] ; [10 21],[3.92857143 7.07142857] ; [11.07142857 19.92857143],0
b2,1,0.432599,0.615836,[5 6] ; [10 21],[3.92857143 7.07142857] ; [11.07142857 19.92857143],0
v2,1,0.503807,0.446907,[7 8] ; [17 29],[5.90163934 9.09836066] ; [18.09836066 27.90163934],0
a1,1,0.51557,0.422745,[ 2 13] ; [ 4 47],[ 1.36363636 13.63636364] ; [ 4.63636364 46.36363636],0
p10,1,0.566749,0.328153,[8 7] ; [22 27],[7.03125 7.96875] ; [22.96875 26.03125],0
n5,1,0.585679,0.297143,[6 9] ; [24 26],[6.92307692 8.07692308] ; [23.07692308 26.92307692],0
n1,1,0.589876,0.290538,[4 3] ; [10 12],[3.37931034 3.62068966] ; [10.62068966 11.37931034],0
a4,1,0.626046,0.23746,[ 4 11] ; [17 34],[ 4.77272727 10.22727273] ; [16.22727273 34.77272727],0
b5,1,0.629352,0.232941,[6 9] ; [24 27],[6.81818182 8.18181818] ; [23.18181818 27.81818182],0
d3,1,0.633835,0.226896,[6 9] ; [17 34],[5.22727273 9.77272727] ; [17.77272727 33.22727273],0
p5,1,0.665947,0.18638,[ 1 14] ; [ 2 48],[ 0.69230769 14.30769231] ; [ 2.30769231 47.69230769],0
a5,1,0.768968,0.086275,[7 8] ; [26 25],[7.5 7.5] ; [25.5 25.5],0
d2,1,0.808698,0.058615,[7 8] ; [22 29],[6.59090909 8.40909091] ; [22.40909091 28.59090909],0
a3,1,0.828899,0.046705,[9 6] ; [29 22],[8.63636364 6.36363636] ; [29.36363636 21.63636364],0
r2,1,0.840889,0.040303,[12  3] ; [38 11],[11.71875  3.28125] ; [38.28125 10.71875],0
u3,1,0.84313,0.039161,[3 3] ; [10 12],[2.78571429 3.21428571] ; [10.21428571 11.78571429],0
v3,1,0.877369,0.02381,[ 3 11] ; [11 36],[ 3.21311475 10.78688525] ; [10.78688525 36.21311475],0
n4,1,0.914588,0.011503,[8 7] ; [28 23],[8.18181818 6.81818182] ; [27.81818182 23.18181818],0
d1,1,1.0,0.0,[ 5 10] ; [17 34],[ 5. 10.] ; [17. 34.],0
